League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-01-02 13:36:51,2026-01-02 19:10,Washington Wizards,Brooklyn Nets,No,203.5,Yes,-110.11,-109.56,-133.89,108.56,-109.62,-109.62,East,Southeast,East,Atlantic,-110,-110,-164,138,-108,-112,-110,-110,-167,135,-110,-110,-112,-108,-162,136,-112,-108,-106,-106,-160,141,-107,-107,-110,-110,-160,140,-110,-110,-110,-110,100,-120,-110,-110,-110,-110,-165,142,-110,-110,-113,-112,-162,130,,,-110.0,-110.0,-165,135,-110,-110
NBA,2026-01-02 13:36:51,2026-01-02 19:10,Indiana Pacers,San Antonio Spurs,No,997.0,Yes,-110.22,-109.56,191.22,-231.89,-107.62,-111.75,East,Central,West,Southwest,-110,-110,198,-240,-106,-114,-110,-110,189,-238,-110,-110,-102,-118,200,-245,-108,-112,-111,-101,188,-219,-102,-113,-115,-105,186,-220,-105,-115,-115,-105,195,-235,-110,-110,-110,-110,185,-220,-110,-110,-114,-112,185,-235,,,-105.0,-115.0,195,-235,-110,-110
NBA,2026-01-02 13:36:51,2026-01-02 19:40,New York Knicks,Atlanta Hawks,No,748.3,Yes,-112.44,-107.22,-279.67,226.22,-109.62,-109.62,East,Atlantic,East,Southeast,-112,-108,-300,245,-110,-110,-110,-110,-278,215,-110,-110,-118,-102,-270,220,-110,-110,-111,-101,-258,218,-107,-107,-115,-105,-260,215,-110,-110,-105,-115,-330,265,-110,-110,-110,-110,-260,218,-110,-110,-113,-112,-286,220,,,-118.0,-102.0,-275,220,-110,-110
NBA,2026-01-02 13:36:51,2026-01-02 19:40,Cleveland Cavaliers,Denver Nuggets,No,1228.2,Yes,-112.0,-107.78,-844.0,563.22,-109.88,-109.38,East,Central,West,Northwest,-110,-110,-820,570,-110,-110,-110,-110,-806,520,-110,-110,-115,-105,-850,575,-112,-108,-111,-101,-810,590,-107,-107,-115,-105,-825,574,-110,-110,-105,-115,-850,550,-110,-110,-115,-105,-825,565,-110,-110,-112,-114,-910,550,,,-115.0,-105.0,-900,575,-110,-110
NBA,2026-01-02 13:36:51,2026-01-02 20:10,Milwaukee Bucks,Charlotte Hornets,No,659.4,Yes,-109.67,-110.11,-229.56,188.89,-110.62,-109.62,East,Central,East,Southeast,-106,-114,-225,188,-108,-112,-110,-110,-227,180,-110,-110,-110,-110,-225,185,-112,-108,-103,-109,-219,188,-107,-107,-107,-113,-220,186,-110,-110,-110,-110,-240,200,-110,-110,-110,-110,-220,185,-110,-110,-113,-113,-240,188,,,-118.0,-102.0,-250,200,-118,-110
NBA,2026-01-02 13:36:51,2026-01-02 20:10,Chicago Bulls,Orlando Magic,No,985.5,Yes,-109.11,-110.56,168.0,-200.89,-107.88,-111.38,East,Central,East,Southeast,-106,-114,168,-200,-106,-114,-110,-110,166,-208,-110,-110,-115,-105,170,-205,-105,-115,-101,-111,171,-195,-107,-107,-105,-115,170,-195,-110,-110,-110,-110,160,-185,-110,-110,-110,-110,167,-195,-110,-110,-110,-115,170,-215,,,-115.0,-105.0,170,-210,-105,-115
NBA,2026-01-02 13:36:51,2026-01-02 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-109.89,-109.89,90.78,-135.11,-108.88,-110.38,West,Southwest,West,Northwest,-106,-114,120,-142,-110,-110,-110,-110,113,-139,-110,-110,-110,-110,114,-135,-108,-112,-106,-106,117,-133,-105,-109,-110,-110,115,-135,-108,-112,-115,-105,-110,-110,-110,-110,-110,-110,110,-130,-110,-110,-112,-114,123,-152,,,-110.0,-110.0,115,-140,-110,-110
NBA,2026-01-02 13:36:51,2026-01-02 21:10,Phoenix Suns,Sacramento Kings,Yes,635.3,Yes,-109.22,-110.44,-744.0,516.89,-108.88,-110.38,West,Pacific,West,Pacific,-112,-108,-720,520,-110,-110,-110,-110,-769,496,-110,-110,-105,-115,-750,525,-108,-112,-106,-106,-737,547,-105,-109,-110,-110,-750,534,-108,-112,-110,-110,-700,475,-110,-110,-110,-110,-750,530,-110,-110,-115,-110,-770,500,,,-105.0,-115.0,-750,525,-110,-110
NBA,2026-01-02 13:36:51,2026-01-02 22:10,Golden State Warriors,Oklahoma City Thunder,No,1387.6,Yes,-110.33,-109.33,336.89,-442.22,-109.62,-109.62,West,Pacific,West,Northwest,-114,-106,370,-480,-112,-108,-110,-110,318,-435,-110,-110,-110,-110,360,-470,-108,-112,-101,-111,336,-415,-107,-107,-105,-115,330,-420,-110,-110,-110,-110,295,-390,-110,-110,-110,-110,330,-420,-110,-110,-115,-110,360,-500,,,-118.0,-102.0,333,-450,-110,-110
NBA,2026-01-02 13:36:51,2026-01-02 22:40,Los Angeles Lakers,Memphis Grizzlies,No,1604.9,Yes,-111.88,-107.88,-168.78,142.56,-110.38,-108.88,West,Pacific,West,Southwest,-110,-110,-174,146,-114,-106,-110,-110,-164,134,-110,-110,-110,-110,-166,140,-112,-108,-111,-101,-165,146,-107,-107,-115,-105,-165,145,-110,-110,-110,-110,-175,150,-110,-110,-115,-105,-165,142,-110,-110,-114,-112,-175,140,,,,,-170,140,-110,-110
