League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-04-20 07:17:12,2026-04-20 19:10,273905d6a4ae9217ec0734b66a0eb28b,Cleveland Cavaliers,Toronto Raptors,No,189.3,Yes,East,Central,East,Atlantic,-110.56,-108.89,-8.39,8.39,-366.44,287.56,-110.22,-109.44,223.0,-110,-110,-345,275,-110,-110,-109,-114,-385,285,-110,-113,-110,-110,-355,285,-110,-110,-111,-101,-361,297,-107,-107,-115,-105,-365,292,-110,-110,-110,-110,-357,276,-110,-110,-110,-110,-375,290,-115,-105,-110,-110,-390,295,-110,-110,-110.0,-110.0,-365.0,293.0,-110.0,-110.0
NBA,2026-04-20 07:17:12,2026-04-20 20:10,a1b444bd00a27cbae3cf7ca3bf75a3f0,New York Knicks,Atlanta Hawks,No,748.3,Yes,East,Atlantic,East,Southeast,-111.67,-107.78,-5.5,5.5,-233.33,191.89,-110.0,-109.67,217.22,-115,-105,-230,190,-115,-105,-114,-109,-225,175,-110,-113,-110,-110,-240,198,-108,-112,-106,-106,-232,198,-107,-107,-110,-110,-235,195,-110,-110,-110,-110,-233,186,-110,-110,-115,-105,-235,190,-110,-110,-115,-105,-235,195,-110,-110,-110.0,-110.0,-235.0,200.0,-110.0,-110.0
NBA,2026-04-20 07:17:12,2026-04-20 22:40,a52365fe7f7123df1c4220d9591a6da2,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,West,Northwest,West,Northwest,-39.89,-112.89,-6.72,6.72,-269.33,219.11,-108.89,-110.89,231.5,-115,-105,-258,210,-110,-110,-113,-110,-278,215,-113,-110,-110,-110,-260,215,-110,-110,104,-116,-263,222,-102,-113,100,-120,-265,219,-105,-115,-110,-110,-270,213,-110,-110,-110,-110,-285,225,-110,-110,-105,-115,-280,230,-110,-110,100.0,-120.0,-265.0,223.0,-110.0,-110.0
NBA,2026-04-20 07:17:12,2026-04-21 19:10,d1a7a6e7b024f888e922a62b14fcf466,Boston Celtics,Philadelphia 76ers,Yes,273.6,Yes,East,Atlantic,East,Atlantic,-109.12,-110.38,-13.62,13.62,-881.75,579.5,-109.88,-109.88,216.44,-105,-115,-900,600,-110,-110,-112,-112,-910,550,-112,-112,-110,-110,-900,610,-110,-110,-106,-106,-810,590,-107,-107,-110,-110,-825,574,-110,-110,-110,-110,-909,562,-110,-110,-110,-110,-900,575,-110,-110,-110,-110,-900,575,-110,-110,,,,,,
NBA,2026-04-20 07:17:12,2026-04-21 20:00,680084e4612c197a1cf4170d82ba6f10,San Antonio Spurs,Portland Trail Blazers,No,1721.8,Yes,West,Southwest,West,Northwest,-109.75,-109.62,-11.81,11.81,-663.25,472.25,-109.25,-110.5,220.31,-110,-110,-625,455,-115,-105,-113,-110,-670,450,-110,-113,-114,-106,-670,490,-112,-108,-101,-111,-629,480,-102,-113,-105,-115,-640,469,-105,-115,-110,-110,-722,484,-110,-110,-110,-110,-650,475,-110,-110,-115,-105,-700,475,-110,-110,,,,,,
NBA,2026-04-20 07:17:12,2026-04-21 22:40,d3d28b764e5099920880de59a45e82cf,Los Angeles Lakers,Houston Rockets,No,1375.3,Yes,West,Pacific,West,Southwest,-110.38,-109.0,4.62,-4.62,156.0,-186.88,-109.25,-110.5,206.0,-115,-105,154,-185,-110,-110,-114,-109,150,-190,-113,-110,-108,-112,158,-188,-114,-106,-106,-106,162,-185,-102,-113,-110,-110,161,-185,-105,-115,-110,-110,154,-192,-110,-110,-110,-110,154,-190,-110,-110,-110,-110,155,-180,-110,-110,,,,,,
NBA,2026-04-20 07:17:12,2026-04-22 19:00,c9bc6bcae048283407d1cb53995eee8e,Detroit Pistons,Orlando Magic,No,956.1,Yes,East,Central,East,Southeast,-112.25,-107.12,-9.5,9.5,-436.88,331.38,-107.62,-112.12,217.19,-110,-110,-410,320,-110,-110,-113,-110,-455,325,-109,-114,-114,-106,-450,350,-110,-110,-111,-101,-405,329,-102,-113,-115,-105,-410,324,-105,-115,-110,-110,-455,330,-110,-110,-110,-110,-450,333,-105,-115,-115,-105,-460,340,-110,-110,,,,,,
NBA,2026-04-20 07:17:12,2026-04-22 21:40,0ce48ecb61f40bc3bd784adfe7f8e811,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,West,Northwest,West,Pacific,-110.0,-84.38,-16.88,16.88,-1828.75,959.62,-110.25,-109.38,213.69,-105,-115,-1450,850,-110,-110,-110,-113,-1430,800,-110,-113,-114,-106,-1800,980,-110,-110,-101,-111,-1950,1092,-107,-107,-105,-115,-2000,1041,-110,-110,-110,-110,-2000,964,-110,-110,-120,100,-2000,1000,-115,-105,-115,-105,-2000,950,-110,-110,,,,,,
