League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-11 20:54:17,2025-11-11 19:43,New York Knicks,Memphis Grizzlies,No,956.7,Yes,-116.83,-115.0,-12833.33,2433.33,-116.5,-113.83,East,Atlantic,West,Southwest,-115.0,-115.0,-8500.0,2000.0,-120.0,-110.0,-118.0,-112.0,-20000.0,2000.0,-114.0,-114.0,-125.0,-105.0,-10000.0,3300.0,-115.0,-115.0,-111.0,-118.0,,,-111.0,-111.0,-115.0,-115.0,,,-115.0,-115.0,-117.0,-125.0,,,-124.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 20:54:17,2025-11-11 19:43,Brooklyn Nets,Toronto Raptors,Yes,344.5,Yes,-113.33,-118.17,462.5,-782.83,-116.67,-113.5,East,Atlantic,East,Atlantic,-110.0,-120.0,500.0,-810.0,-115.0,-115.0,-112.0,-118.0,470.0,-770.0,-114.0,-114.0,-110.0,-118.0,475.0,-750.0,-118.0,-110.0,-111.0,-118.0,425.0,-667.0,-118.0,-105.0,-115.0,-115.0,425.0,-700.0,-115.0,-115.0,-122.0,-120.0,480.0,-1000.0,-120.0,-122.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 20:54:17,2025-11-11 20:10,Oklahoma City Thunder,Golden State Warriors,No,1387.6,Yes,-113.5,-117.0,-1424.5,691.67,-118.5,-113.0,West,Northwest,West,Pacific,-110.0,-120.0,-1850.0,900.0,-110.0,-120.0,-102.0,-130.0,-1600.0,750.0,-114.0,-114.0,-118.0,-110.0,-1600.0,775.0,-125.0,-105.0,-118.0,-105.0,-667.0,425.0,-118.0,-111.0,-115.0,-115.0,-1400.0,700.0,-120.0,-110.0,-118.0,-122.0,-1430.0,600.0,-124.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 20:54:17,2025-11-11 20:12,Philadelphia 76ers,Boston Celtics,Yes,273.6,Yes,-80.17,-117.33,-198.83,151.5,-79.33,-117.33,East,Atlantic,East,Atlantic,-110.0,-120.0,-210.0,160.0,-110.0,-120.0,100.0,-132.0,-215.0,164.0,-114.0,-114.0,-118.0,-110.0,-220.0,170.0,-115.0,-110.0,-118.0,-105.0,-133.0,110.0,100.0,-125.0,-115.0,-115.0,-205.0,155.0,-115.0,-115.0,-120.0,-122.0,-210.0,150.0,-122.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 20:54:17,2025-11-11 21:00,Utah Jazz,Indiana Pacers,No,1357.7,Yes,-110.56,-109.22,116.33,-138.22,-112.22,-85.33,West,Northwest,East,Central,-110.0,-110.0,120.0,-142.0,-120.0,100.0,-112.0,-108.0,118.0,-138.0,-112.0,-108.0,-110.0,-110.0,115.0,-140.0,-110.0,-110.0,-110.0,-110.0,112.0,-137.0,-110.0,-110.0,-115.0,-105.0,115.0,-135.0,-115.0,-105.0,-112.0,-114.0,114.0,-143.0,-110.0,-114.0,-106.0,-106.0,120.0,-136.0,-110.0,-104.0,-110.0,-110.0,118.0,-138.0,-113.0,-107.0,-110.0,-110.0,115.0,-135.0,-110.0,-110.0
NBA,2025-11-11 20:54:17,2025-11-11 23:00,Sacramento Kings,Denver Nuggets,No,888.1,Yes,-110.5,-109.25,271.75,-341.38,-110.89,-109.11,West,Pacific,West,Northwest,-115.0,-105.0,275.0,-345.0,-110.0,-110.0,-110.0,-110.0,265.0,-330.0,-112.0,-108.0,-115.0,-105.0,275.0,-350.0,-110.0,-110.0,-110.0,-110.0,267.0,-345.0,-110.0,-110.0,,,,,-115.0,-105.0,-109.0,-117.0,265.0,-345.0,-114.0,-112.0,-103.0,-109.0,278.0,-336.0,-107.0,-107.0,-107.0,-113.0,274.0,-340.0,-110.0,-110.0,-115.0,-105.0,275.0,-340.0,-110.0,-110.0
NBA,2025-11-11 20:54:17,2025-11-12 19:10,Charlotte Hornets,Milwaukee Bucks,No,659.4,Yes,-110.0,-110.0,163.0,-195.0,-109.0,-111.0,East,Southeast,East,Central,-105.0,-115.0,160.0,-192.0,-110.0,-110.0,-115.0,-105.0,166.0,-198.0,-108.0,-112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 20:54:17,2025-11-12 19:10,Detroit Pistons,Chicago Bulls,Yes,239.5,Yes,-107.0,-113.0,-140.33,117.33,-111.33,-108.67,East,Central,East,Central,-105.0,-115.0,-142.0,120.0,-110.0,-110.0,-106.0,-114.0,-134.0,114.0,-114.0,-106.0,,,,,,,-110.0,-110.0,-145.0,118.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 20:54:17,2025-11-12 19:10,New York Knicks,Orlando Magic,No,940.3,Yes,-113.25,-108.25,-170.0,139.75,-110.5,-110.75,East,Atlantic,East,Southeast,-115.0,-105.0,-170.0,142.0,-110.0,-110.0,-114.0,-106.0,-168.0,142.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-167.0,135.0,-110.0,-110.0,,,,,,,-114.0,-112.0,-175.0,140.0,-112.0,-113.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-11 20:54:17,2025-11-12 19:40,Boston Celtics,Memphis Grizzlies,No,1136.9,Yes,-109.5,-110.17,-250.75,200.25,-109.5,-110.33,East,Atlantic,West,Southwest,-105.0,-115.0,-258.0,210.0,-110.0,-110.0,-112.0,-108.0,-250.0,205.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-250.0,196.0,-110.0,-110.0,,,,,,,-114.0,-112.0,-245.0,190.0,-110.0,-115.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
