League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-04-05 06:29:36,2026-04-05 15:40,6f1339b3519de542ab74c59857bfeff1,Boston Celtics,Toronto Raptors,Yes,430.3,No,East,Atlantic,East,Atlantic,-112.0,-107.38,-9.56,9.56,-467.56,356.33,-111.44,-108.22,219.78,-114,-106,-450,350,-114,-106,-112,-108,-470,360,-112,-108,-109.0,-103.0,-474.0,377.0,-113.0,-102.0,-113.0,-107.0,-480.0,370.0,-115.0,-105.0,-108.0,-115.0,-420.0,310.0,-109.0,-113.0,,,-500.0,375.0,-110.0,-110.0,-110.0,-110.0,-484.0,352.0,-110.0,-110.0,-115.0,-105.0,-450.0,335.0,-105.0,-115.0,-115.0,-105.0,-480.0,378.0,-115.0,-105.0
NBA,2026-04-05 06:29:36,2026-04-05 15:40,c1b3d187f022b0870bfa7128e1d02ae5,Brooklyn Nets,Washington Wizards,No,203.5,No,East,Atlantic,East,Southeast,-109.0,-110.56,-3.56,3.56,-170.22,142.78,-109.67,-110.0,230.44,-108,-112,-168,142,-110,-110,-110,-110,-170,142,-110,-110,-106.0,-106.0,-170.0,150.0,-107.0,-107.0,-110.0,-110.0,-170.0,149.0,-110.0,-110.0,-112.0,-112.0,-175.0,138.0,-110.0,-113.0,-110.0,-110.0,-185.0,150.0,-110.0,-110.0,-110.0,-110.0,-164.0,133.0,-110.0,-110.0,-105.0,-115.0,-160.0,135.0,-110.0,-110.0,-110.0,-110.0,-170.0,146.0,-110.0,-110.0
NBA,2026-04-05 06:29:36,2026-04-05 15:40,8071f80d106d512c88016b240e766d84,Chicago Bulls,Phoenix Suns,No,1452.0,No,East,Central,West,Pacific,-107.67,-111.78,9.94,-9.94,393.33,-527.0,-111.78,-85.89,238.0,-110,-110,385,-500,-112,-108,-102,-118,390,-520,-110,-110,-106.0,-106.0,423.0,-542.0,-115.0,100.0,-110.0,-110.0,415.0,-550.0,-117.0,-103.0,-109.0,-114.0,350.0,-480.0,-112.0,-112.0,-102.0,-118.0,400.0,-550.0,-105.0,-115.0,-110.0,-110.0,377.0,-526.0,-110.0,-110.0,-110.0,-110.0,375.0,-525.0,-110.0,-110.0,-110.0,-110.0,425.0,-550.0,-115.0,-105.0
NBA,2026-04-05 06:29:36,2026-04-05 15:40,5ce196844b4f956a3c6961eec5bc859b,Milwaukee Bucks,Memphis Grizzlies,No,557.3,No,East,Central,West,Southwest,-86.22,-111.0,-5.61,5.61,-222.33,183.56,-111.0,-108.67,228.0,-106,-114,-225,188,-114,-106,-110,-110,-225,185,-115,-105,-106.0,-106.0,-219.0,188.0,-107.0,-107.0,-110.0,-110.0,-220.0,186.0,-110.0,-110.0,-114.0,-109.0,-215.0,170.0,-113.0,-110.0,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-110.0,-110.0,-227.0,180.0,-110.0,-110.0,100.0,-120.0,-230.0,190.0,-110.0,-110.0,-110.0,-110.0,-220.0,185.0,-110.0,-110.0
NBA,2026-04-05 06:29:36,2026-04-05 18:10,4f3d29a0317850ac56b0c6db31223705,Cleveland Cavaliers,Indiana Pacers,Yes,263.5,No,East,Central,East,Central,-110.0,-109.33,-16.5,16.5,-2165.0,1034.38,-108.78,-111.0,240.06,-114,-106,-1800,980,-110,-110,-110,-110,-2100,1100,-105,-115,-106.0,-106.0,-2953.0,1303.0,-107.0,-107.0,-110.0,-110.0,-3000.0,1256.0,-110.0,-110.0,-110.0,-112.0,-1667.0,850.0,-112.0,-112.0,-110.0,-110.0,-2000.0,1000.0,-105.0,-115.0,-110.0,-110.0,-2000.0,936.0,-110.0,-110.0,-110.0,-110.0,-1800.0,850.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2026-04-05 06:29:36,2026-04-05 19:10,8bce3373da945128589ce3cabae25443,Minnesota Timberwolves,Charlotte Hornets,No,939.7,Yes,West,Northwest,East,Southeast,-108.89,-110.56,1.72,-1.72,105.11,-125.56,-107.89,-112.0,228.94,-106,-114,110,-130,-112,-108,-105,-115,102,-122,-105,-115,-108.0,-104.0,107.0,-123.0,-102.0,-113.0,-112.0,-108.0,105.0,-125.0,-105.0,-115.0,-109.0,-114.0,100.0,-125.0,-112.0,-112.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-110.0,-110.0,102.0,-125.0,-110.0,-110.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-105.0,-115.0
NBA,2026-04-05 06:29:36,2026-04-05 19:10,9f54cd277a7d7a9fe0de35d568dfa4af,New Orleans Pelicans,Orlando Magic,No,534.1,Yes,West,Southwest,East,Southeast,-107.44,-111.89,4.56,-4.56,164.44,-196.33,-109.78,-109.89,236.17,-106,-114,160,-190,-110,-110,-108,-112,164,-198,-108,-112,-101.0,-111.0,175.0,-200.0,-107.0,-107.0,-105.0,-115.0,174.0,-200.0,-110.0,-110.0,-112.0,-110.0,150.0,-190.0,-113.0,-110.0,-110.0,-110.0,165.0,-200.0,-110.0,-110.0,-110.0,-110.0,152.0,-189.0,-110.0,-110.0,-110.0,-110.0,170.0,-200.0,-110.0,-110.0,-105.0,-115.0,170.0,-200.0,-110.0,-110.0
NBA,2026-04-05 06:29:36,2026-04-05 19:10,5441d9423f924c9a489ca00a7e321466,Oklahoma City Thunder,Utah Jazz,Yes,863.6,Yes,West,Northwest,West,Northwest,-109.56,-109.89,-22.44,22.44,-7776.12,1656.5,-108.56,-111.11,239.0,-110,-110,-4500,1600,-110,-110,-110,-110,-5000,1800,-105,-115,-106.0,-106.0,-9709.0,2078.0,-107.0,-107.0,-110.0,-110.0,-10000.0,2000.0,-110.0,-110.0,-110.0,-113.0,-5000.0,1200.0,-110.0,-113.0,-110.0,-110.0,-10000.0,1650.0,-105.0,-115.0,-110.0,-110.0,-10000.0,1524.0,-110.0,-110.0,-110.0,-110.0,-8000.0,1400.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2026-04-05 06:29:36,2026-04-05 19:40,c6dfafffbada89cc908addd3a1f7748b,Dallas Mavericks,Los Angeles Lakers,No,1240.8,Yes,West,Southwest,West,Pacific,-109.67,-109.89,1.61,-1.61,104.0,-124.78,-109.67,-109.89,232.5,-114,-106,102,-120,-110,-110,-110,-110,102,-122,-110,-110,-106.0,-106.0,109.0,-125.0,-107.0,-107.0,-110.0,-110.0,107.0,-127.0,-110.0,-110.0,-112.0,-112.0,106.0,-132.0,-110.0,-112.0,-110.0,-110.0,105.0,-130.0,-110.0,-110.0,-110.0,-110.0,100.0,-122.0,-110.0,-110.0,-105.0,-115.0,100.0,-120.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0
NBA,2026-04-05 06:29:36,2026-04-05 21:10,f01f7ab4597dc0c1a08e837d9b9beae9,Sacramento Kings,Los Angeles Clippers,Yes,365.7,Yes,West,Pacific,West,Pacific,-109.89,-109.56,11.56,-11.56,516.22,-739.0,-109.67,-109.89,230.22,-108,-112,490,-670,-110,-110,-110,-110,550,-800,-110,-110,-106.0,-106.0,561.0,-760.0,-107.0,-107.0,-110.0,-110.0,546.0,-775.0,-110.0,-110.0,-110.0,-113.0,450.0,-670.0,-110.0,-112.0,-110.0,-110.0,525.0,-750.0,-110.0,-110.0,-110.0,-110.0,519.0,-776.0,-110.0,-110.0,-115.0,-105.0,460.0,-675.0,-110.0,-110.0,-110.0,-110.0,545.0,-775.0,-110.0,-110.0
NBA,2026-04-05 06:29:36,2026-04-05 22:10,8516988340b00d09278e04abd65885ad,Golden State Warriors,Houston Rockets,No,1643.9,Yes,West,Pacific,West,Southwest,-110.22,-109.22,3.89,-3.89,140.0,-166.11,-111.89,-108.0,225.33,-110,-110,138,-164,-110,-110,-108,-112,136,-162,-112,-108,-111.0,-101.0,141.0,-160.0,-113.0,-102.0,-115.0,-105.0,140.0,-160.0,-115.0,-105.0,-108.0,-115.0,148.0,-182.0,-112.0,-112.0,-105.0,-115.0,135.0,-165.0,-110.0,-110.0,-110.0,-110.0,135.0,-167.0,-110.0,-110.0,-110.0,-110.0,145.0,-170.0,-110.0,-110.0,-115.0,-105.0,142.0,-165.0,-115.0,-105.0
NBA,2026-04-05 06:29:36,2026-04-06 19:10,dce0f3f389617fa7daa990c209ee8acc,Atlanta Hawks,New York Knicks,No,748.3,Yes,East,Southeast,East,Atlantic,-7.0,-113.0,-0.25,0.25,-107.0,-111.0,-110.0,-110.0,230.0,-114,-106,-104,-112,-110,-110,100,-120,-110,-110,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
