League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-10 20:55:15,2025-11-10 19:11,Orlando Magic,Portland Trail Blazers,No,2528.5,Yes,-113.67,-117.83,-670.0,406.67,-116.5,-115.5,East,Southeast,West,Northwest,-104.0,-128.0,-770.0,470.0,-125.0,-106.0,-118.0,-111.0,-455.0,315.0,-125.0,-105.0,-110.0,-120.0,-560.0,370.0,-105.0,-125.0,-110.0,-118.0,-625.0,400.0,-105.0,-125.0,-115.0,-115.0,-700.0,425.0,-115.0,-115.0,-125.0,-115.0,-910.0,460.0,-124.0,-117.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-10 20:55:15,2025-11-10 19:12,Charlotte Hornets,Los Angeles Lakers,No,2121.4,Yes,-47.0,-87.0,3300.0,-10000.0,-118.5,-113.67,East,Southeast,West,Pacific,108.0,-144.0,,,-128.0,-104.0,-143.0,105.0,,,-111.0,-118.0,100.0,-130.0,,,-125.0,-105.0,-105.0,-125.0,3300.0,-10000.0,-105.0,-125.0,-120.0,-110.0,,,-120.0,-110.0,-122.0,-118.0,,,-122.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-10 20:55:15,2025-11-10 19:12,Detroit Pistons,Washington Wizards,No,396.2,Yes,-83.83,-81.83,-22.33,-86.17,-114.0,-118.0,East,Central,East,Southeast,104.0,-138.0,132.0,-170.0,-112.0,-118.0,-125.0,-105.0,-286.0,210.0,-105.0,-125.0,-130.0,100.0,-110.0,-120.0,-110.0,-120.0,-110.0,-118.0,105.0,-135.0,-125.0,-105.0,-115.0,-115.0,-105.0,-125.0,-115.0,-115.0,-127.0,-115.0,130.0,-177.0,-117.0,-125.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-10 20:55:15,2025-11-10 19:43,Miami Heat,Cleveland Cavaliers,No,1086.5,Yes,-119.17,-112.17,-119.5,-43.17,-118.67,-112.5,East,Southeast,East,Central,-114.0,-118.0,-113.0,-115.0,-114.0,-114.0,-111.0,-111.0,-125.0,100.0,-118.0,-111.0,-125.0,-105.0,-110.0,-120.0,-120.0,-110.0,-130.0,-102.0,-110.0,-118.0,-118.0,-110.0,-115.0,-115.0,-130.0,100.0,-120.0,-110.0,-120.0,-122.0,-129.0,-106.0,-122.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-10 20:55:15,2025-11-10 20:11,Chicago Bulls,San Antonio Spurs,No,1048.8,Yes,-117.33,-112.33,174.5,-232.5,-115.67,-115.83,East,Central,West,Southwest,-114.0,-114.0,172.0,-225.0,-112.0,-118.0,-118.0,-105.0,160.0,-200.0,-118.0,-111.0,-120.0,-110.0,165.0,-215.0,-110.0,-120.0,-115.0,-110.0,160.0,-210.0,-118.0,-110.0,-120.0,-110.0,240.0,-335.0,-115.0,-115.0,-117.0,-125.0,150.0,-210.0,-121.0,-121.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-10 20:55:15,2025-11-10 20:40,Dallas Mavericks,Milwaukee Bucks,No,856.9,Yes,-113.25,-114.62,199.5,-268.5,-112.12,-115.75,West,Southwest,East,Central,-104.0,-128.0,250.0,-340.0,-110.0,-120.0,-118.0,-111.0,230.0,-333.0,-111.0,-118.0,-110.0,-120.0,210.0,-280.0,-110.0,-120.0,-118.0,-110.0,190.0,-250.0,-110.0,-118.0,-115.0,-115.0,220.0,-300.0,-115.0,-115.0,-125.0,-117.0,225.0,-335.0,-120.0,-122.0,-110.0,-110.0,135.0,-155.0,-112.0,-108.0,-106.0,-106.0,136.0,-155.0,-109.0,-105.0,,,,,,
NBA,2025-11-10 20:55:15,2025-11-10 21:10,Phoenix Suns,New Orleans Pelicans,No,1315.0,Yes,-110.89,-108.78,-346.22,275.0,-109.44,-110.56,West,Pacific,West,Southwest,-114.0,-106.0,-360.0,290.0,-112.0,-108.0,-110.0,-110.0,-374.0,287.0,-110.0,-110.0,-105.0,-115.0,-340.0,270.0,-110.0,-110.0,-105.0,-115.0,-350.0,275.0,-105.0,-115.0,-115.0,-105.0,-330.0,265.0,-105.0,-115.0,-115.0,-110.0,-375.0,280.0,-114.0,-112.0,-114.0,-106.0,-330.0,267.0,-111.0,-109.0,-110.0,-102.0,-327.0,271.0,-108.0,-106.0,-110.0,-110.0,-330.0,270.0,-110.0,-110.0
NBA,2025-11-10 20:55:15,2025-11-10 21:12,Utah Jazz,Minnesota Timberwolves,Yes,986.7,Yes,-110.0,-109.67,244.56,-302.78,-108.89,-111.22,West,Northwest,West,Northwest,-110.0,-110.0,235.0,-290.0,-108.0,-112.0,-110.0,-110.0,250.0,-325.0,-110.0,-110.0,-112.0,-108.0,245.0,-305.0,-105.0,-115.0,-110.0,-110.0,240.0,-300.0,-115.0,-105.0,-110.0,-110.0,250.0,-300.0,-110.0,-110.0,-110.0,-115.0,215.0,-278.0,-113.0,-113.0,-111.0,-109.0,256.0,-315.0,-106.0,-114.0,-107.0,-105.0,260.0,-312.0,-103.0,-112.0,-110.0,-110.0,250.0,-300.0,-110.0,-110.0
NBA,2025-11-10 20:55:15,2025-11-10 22:30,Los Angeles Clippers,Atlanta Hawks,No,1943.0,Yes,-108.75,-110.88,-193.67,162.22,-110.56,-109.44,West,Pacific,East,Southeast,-108.0,-112.0,-186.0,156.0,-110.0,-110.0,-110.0,-110.0,-200.0,161.0,-110.0,-110.0,-102.0,-118.0,-192.0,160.0,-110.0,-110.0,,,-200.0,165.0,-115.0,-105.0,-110.0,-110.0,-195.0,165.0,-110.0,-110.0,-110.0,-115.0,-195.0,155.0,-113.0,-113.0,-112.0,-108.0,-190.0,165.0,-110.0,-110.0,-108.0,-104.0,-190.0,166.0,-107.0,-107.0,-110.0,-110.0,-195.0,167.0,-110.0,-110.0
NBA,2025-11-10 20:55:15,2025-11-11 19:30,Brooklyn Nets,Toronto Raptors,Yes,344.5,Yes,-108.38,-110.62,337.0,-443.0,-109.62,-109.62,East,Atlantic,East,Atlantic,-106.0,-114.0,350.0,-450.0,-110.0,-110.0,-110.0,-110.0,340.0,-455.0,-110.0,-110.0,-110.0,-110.0,340.0,-440.0,-110.0,-110.0,-110.0,-110.0,340.0,-450.0,-110.0,-110.0,-105.0,-115.0,315.0,-420.0,-110.0,-110.0,,,,,,,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
