League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-23 07:07:38,2026-05-23 20:10,4247d31ac7706ebe455b8f221c9e4184,Cleveland Cavaliers,New York Knicks,No,404.7,Yes,East,Central,East,Atlantic,-110.22,-109.22,-2.39,2.39,-134.56,113.22,-111.44,-108.33,214.22,-108,-112,-130,110,-108,-112,-108,-112,-132,112,-114,-106,-110,-110,-135,110,-110,-110,-115,-108,-137,112,-113,-110,-110,-110,-135,115,-115,-105,-106,-106,-133,117,-113,-102,-115,-105,-135,115,-110,-110,-110,-110,-139,113,-110,-110,-110.0,-110.0,-135.0,115.0,-110.0,-110.0
NBA,2026-05-23 07:07:38,2026-05-24 20:10,74cd3b630383a2e3eff3afd92006ebb3,San Antonio Spurs,Oklahoma City Thunder,No,419.4,Yes,West,Southwest,West,Northwest,-113.25,-81.12,-1.56,1.56,-124.75,104.5,-108.5,-111.12,218.94,-112,-108,-122,102,-105,-115,-114,-106,-122,104,-106,-114,-115,-105,-125,105,-110,-110,-108,-115,-129,104,-114,-109,-118,-102,-125,105,-108,-112,-114,102,-123,107,-105,-109,-115,-105,-125,105,-110,-110,-110,-110,-127,104,-110,-110,,,,,,
