League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-24 22:50:34,2025-11-24 21:43,Phoenix Suns,Houston Rockets,No,1016.4,Yes,-115.5,-116.33,394.17,-616.83,-114.67,-82.83,West,Pacific,West,Southwest,-104,-128,440,-700,-132,100,-115,-115,390,-600,-110,-120,-118,-110,360,-525,-110,-118,-118,-124,390,-670,-121,-121,-118,-111,385,-556,-105,-118,-120,-110,400,-650,-110,-120,,,,,,,,,,,,,,,,,,
NBA,2025-11-24 22:50:34,2025-11-24 22:11,Golden State Warriors,Utah Jazz,No,598.7,Yes,-80.33,-117.67,-1751.0,740.83,-79.67,-117.67,West,Pacific,West,Northwest,100,-132,-1800,800,100,-132,-110,-120,-1850,900,-115,-115,-115,-110,-2500,875,-115,-115,-124,-118,-2000,700,-122,-118,-118,-111,-556,370,-111,-111,-115,-115,-1800,800,-115,-115,,,,,,,,,,,,,,,,,,
NBA,2025-11-24 22:50:34,2025-11-24 22:11,Sacramento Kings,Minnesota Timberwolves,No,1514.6,Yes,-119.67,-112.17,396.67,-628.83,-115.67,-116.5,West,Pacific,West,Northwest,-130,-102,350,-520,-110,-122,-120,-110,390,-600,-120,-110,-118,-110,375,-550,-115,-115,-122,-120,390,-670,-118,-124,-118,-111,500,-833,-111,-118,-110,-120,375,-600,-120,-110,,,,,,,,,,,,,,,,,,
NBA,2025-11-24 22:50:34,2025-11-25 19:10,Washington Wizards,Atlanta Hawks,Yes,542.8,Yes,-109.22,-110.56,341.67,-445.0,-108.33,-111.67,East,Southeast,East,Southeast,-114,-106,360,-460,-110,-110,-110,-110,350,-455,-110,-110,-110,-110,375,-500,-110,-110,-113,-113,310,-420,-113,-112,-110,-110,327,-435,-110,-110,-115,-105,335,-450,-110,-110,-105.0,-115.0,337.0,-430.0,-105.0,-115.0,-101.0,-111.0,343.0,-425.0,-102.0,-113.0,-105.0,-115.0,338.0,-430.0,-105.0,-115.0
NBA,2025-11-24 22:50:34,2025-11-25 20:10,Philadelphia 76ers,Orlando Magic,No,859.5,Yes,-88.11,-109.44,-83.11,-114.22,-109.89,-110.11,East,Atlantic,East,Southeast,-114,-106,-108,-108,-110,-110,100,-120,-110,-110,-110,-110,-115,-105,-102,-118,-110,-110,-118,-108,-110,-113,-112,-114,-110,-110,-105,-116,-110,-110,-110,-110,100,-120,-110,-110,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-106.0,-106.0,-103.0,-113.0,-107.0,-107.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0
NBA,2025-11-24 22:50:34,2025-11-25 23:10,Los Angeles Lakers,Los Angeles Clippers,Yes,8.5,Yes,-110.38,-109.38,-231.25,189.12,-109.12,-110.62,West,Pacific,West,Pacific,-110,-110,-230,190,-106,-114,-115,-105,-225,185,-110,-110,-115,-105,-235,190,-110,-110,-112,-114,-230,180,-110,-114,-110,-110,-233,185,-110,-110,-105,-115,-230,190,-110,-110,-110.0,-110.0,-235.0,195.0,-110.0,-110.0,-106.0,-106.0,-232.0,198.0,-107.0,-107.0,,,,,,
