League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2025-11-24 04:30:35,2025-11-24 19:10,Toronto Raptors,Cleveland Cavaliers,No,189.3,Yes,-84.78,-112.78,107.38,-127.75,-111.33,-108.78,East,Atlantic,East,Central,-110,-110,108,-126,-110,-110,-110,-110,104,-127,-110,-110,-112,-114,106,-132,-114,-112,100,-120,110,-130,-110,-110,-101,-111,109,-125,-113,-102,-105,-115,107,-127,-115,-105,-110,-110,105,-125,-110,-110,-105,-115,,,-115,-105,-110,-110,110,-130,-105,-115
NBA,2025-11-24 04:30:35,2025-11-24 19:10,Indiana Pacers,Detroit Pistons,Yes,240.5,Yes,-108.89,-110.89,319.5,-416.25,-109.33,-110.56,East,Central,East,Central,-110,-110,330,-420,-110,-110,-110,-110,319,-435,-110,-110,-114,-112,320,-435,-112,-113,-105,-115,320,-410,-105,-115,-106,-106,321,-395,-107,-107,-110,-110,316,-400,-110,-110,-110,-110,325,-425,-110,-110,-110,-110,,,-110,-110,-105,-115,305,-410,-110,-110
NBA,2025-11-24 04:30:35,2025-11-24 19:40,Brooklyn Nets,New York Knicks,Yes,4.8,Yes,-111.0,-108.67,569.75,-857.25,-109.78,-110.22,East,Atlantic,East,Atlantic,-110,-110,530,-750,-110,-110,-110,-110,528,-833,-110,-110,-113,-112,575,-910,-113,-113,-105,-115,600,-900,-108,-112,-111,-101,570,-775,-107,-107,-115,-105,555,-790,-110,-110,-105,-115,625,-1000,-110,-110,-115,-105,,,-110,-110,-115,-105,575,-900,-110,-110
NBA,2025-11-24 04:30:35,2025-11-24 19:40,Miami Heat,Dallas Mavericks,No,1111.8,Yes,-110.33,-109.33,-315.62,253.75,-109.56,-110.44,East,Southeast,West,Southwest,-114,-106,-330,265,-110,-110,-110,-110,-323,252,-110,-110,-112,-113,-315,245,-114,-112,-105,-115,-325,260,-110,-110,-109,-103,-297,248,-107,-107,-113,-107,-300,245,-110,-110,-105,-115,-325,260,-105,-115,-110,-110,,,-110,-110,-115,-105,-310,255,-110,-110
NBA,2025-11-24 04:30:35,2025-11-24 20:10,New Orleans Pelicans,Chicago Bulls,No,833.6,Yes,-110.33,-109.44,171.0,-206.0,-109.33,-110.67,West,Southwest,East,Central,-110,-110,176,-210,-110,-110,-110,-110,168,-208,-110,-110,-112,-114,160,-205,-114,-112,-115,-105,170,-205,-108,-112,-106,-106,175,-200,-107,-107,-110,-110,174,-200,-110,-110,-115,-105,170,-210,-105,-115,-110,-110,,,-110,-110,-105,-115,175,-210,-110,-110
NBA,2025-11-24 04:30:35,2025-11-24 20:10,Memphis Grizzlies,Denver Nuggets,No,880.4,Yes,-111.78,-107.89,244.75,-305.0,-111.0,-108.89,West,Southwest,West,Northwest,-112,-108,245,-300,-112,-108,-110,-110,242,-313,-110,-110,-113,-112,230,-305,-115,-110,-110,-110,245,-305,-115,-105,-111,-101,252,-302,-107,-107,-115,-105,249,-305,-110,-110,-110,-110,240,-300,-110,-110,-115,-105,,,-110,-110,-110,-110,255,-310,-110,-110
NBA,2025-11-24 04:30:35,2025-11-24 20:10,Milwaukee Bucks,Portland Trail Blazers,No,1718.4,Yes,-109.78,-109.89,-125.75,105.12,-109.11,-111.0,East,Central,West,Northwest,-110,-110,-130,110,-106,-114,-110,-110,-127,103,-110,-110,-112,-113,-129,104,-114,-112,-110,-110,-122,102,-115,-105,-106,-106,-123,107,-102,-113,-110,-110,-125,105,-105,-115,-110,-110,-125,105,-115,-105,-110,-110,,,-105,-115,-110,-110,-125,105,-110,-110
NBA,2025-11-24 04:30:35,2025-11-24 21:40,Phoenix Suns,Houston Rockets,No,1016.4,Yes,-107.44,-112.22,183.12,-222.62,-111.11,-108.89,West,Pacific,West,Southwest,-106,-114,184,-220,-110,-110,-110,-110,182,-227,-110,-110,-110,-115,175,-225,-112,-113,-105,-115,185,-225,-110,-110,-101,-111,188,-219,-113,-102,-105,-115,186,-220,-115,-105,-110,-110,180,-220,-110,-110,-105,-115,,,-110,-110,-115,-105,185,-225,-110,-110
NBA,2025-11-24 04:30:35,2025-11-24 22:10,Golden State Warriors,Utah Jazz,No,598.7,Yes,-111.0,-86.56,-874.75,580.88,-111.33,-108.78,West,Pacific,West,Northwest,-110,-110,-820,570,-110,-110,-110,-110,-909,573,-110,-110,-113,-113,-835,540,-112,-114,-120,100,-900,600,-112,-108,-106,-106,-834,603,-113,-102,-110,-110,-850,586,-115,-105,-115,-105,-1000,625,-110,-110,-110,-110,,,-110,-110,-105,-115,-850,550,-110,-110
NBA,2025-11-24 04:30:35,2025-11-24 22:10,Sacramento Kings,Minnesota Timberwolves,No,1514.6,Yes,-108.78,-111.0,315.5,-409.38,-111.67,-108.44,West,Pacific,West,Northwest,-110,-110,320,-405,-110,-110,-110,-110,322,-435,-110,-110,-113,-113,310,-420,-112,-114,-115,-105,310,-395,-110,-110,-101,-111,311,-380,-113,-102,-105,-115,306,-385,-115,-105,-110,-110,325,-425,-110,-110,-110,-110,,,-115,-105,-105,-115,320,-430,-110,-110
