League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-19 08:36:28,2026-05-19 20:10,7e2d40a6d3b163e318b7abbe026c40c1,New York Knicks,Cleveland Cavaliers,No,404.7,Yes,East,Atlantic,East,Central,-108.33,-111.11,-7.28,7.28,-264.11,215.22,-110.33,-109.33,217.56,-105,-115,-265,215,-110,-110,-109,-114,-286,220,-110,-113,-115,-105,-262,216,-112,-108,-111,-101,-259,219,-109,-105,-105,-115,-245,200,-112,-108,-105,-115,-275,225,-110,-110,-105,-115,-260,215,-110,-110,-110,-110,-260,204,-110,-110,-110.0,-110.0,-265.0,223.0,-110.0,-110.0
NBA,2026-05-19 08:36:28,2026-05-20 20:40,51176769d0f89d3e39adc8e90922f84d,Oklahoma City Thunder,San Antonio Spurs,No,419.4,Yes,West,Northwest,West,Southwest,-110.12,-109.25,-6.5,6.5,-243.88,199.5,-109.38,-110.25,215.94,-110,-110,-238,195,-105,-115,-113,-110,-250,200,-113,-110,-110,-110,-245,203,-110,-110,-106,-106,-243,206,-107,-107,-112,-108,-225,188,-110,-110,-110,-110,-250,200,-110,-110,-110,-110,-240,200,-110,-110,-110,-110,-260,204,-110,-110,,,,,,
