League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-10-30 17:21:37,2025-10-31 22:00,Phoenix Suns,Utah Jazz,No,505.1,Yes,-109.2,-109.2,-143.0,119.33,-109.4,-109.4,West,Pacific,West,Northwest,-110.0,-110.0,-142.0,120.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110,-110,-142,120,-110,-110,-110.0,-110.0,-145.0,118.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 17:21:37,2025-10-31 22:30,Los Angeles Clippers,New Orleans Pelicans,No,1677.3,Yes,-110.0,-110.0,-465.0,360.0,-110.0,-110.0,West,Pacific,West,Southwest,-110.0,-110.0,-460.0,360.0,-110.0,-110.0,,,,,,,,,,,,,-110,-110,-470,360,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 17:21:37,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-110.5,-112.5,-139.0,115.5,-111.5,-111.5,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,-108,-112,-135,114,-110,-110,,,,,,,,,,,,,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0
NBA,2025-10-30 17:21:37,2025-12-25 14:30,Oklahoma City Thunder,San Antonio Spurs,No,419.4,No,-111.0,-111.5,-415.0,315.0,-113.5,-109.5,West,Northwest,West,Southwest,,,,,,,,,,,,,,,,,,,-110,-110,-410,320,-115,-105,,,,,,,,,,,,,,,,,,,-112.0,-113.0,-420.0,310.0,-112.0,-114.0
NBA,2025-10-30 17:21:37,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-113.0,-110.0,-202.5,165.0,-112.0,-111.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,-112,-108,-205,170,-110,-110,,,,,,,,,,,,,,,,,,,-114.0,-112.0,-200.0,160.0,-114.0,-112.0
NBA,2025-10-30 17:21:37,2025-12-25 20:00,Los Angeles Lakers,Houston Rockets,No,1375.3,Yes,-112.0,-108.0,-148.0,124.0,-105.0,-115.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,-112,-108,-148,124,-105,-115,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 17:21:37,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-111.0,-112.0,-225.0,182.5,-113.5,-109.5,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,-105,-115,-230,190,-115,-105,,,,,,,,,,,,,,,,,,,-117.0,-109.0,-220.0,175.0,-112.0,-114.0
NBA,2025-10-30 17:21:37,2026-01-19 14:30,Cleveland Cavaliers,Oklahoma City Thunder,No,951.7,No,102.0,-122.0,-110.0,-110.0,-110.0,-110.0,East,Central,West,Northwest,,,,,,,,,,,,,,,,,,,102,-122,-110,-110,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 17:21:37,2026-01-19 17:00,New York Knicks,Dallas Mavericks,No,1374.4,No,100.0,-120.0,-258.0,210.0,-110.0,-110.0,East,Atlantic,West,Southwest,,,,,,,,,,,,,,,,,,,100,-120,-258,210,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 17:21:37,2026-01-19 20:00,Detroit Pistons,Boston Celtics,No,613.5,Yes,-110.0,-110.0,-198.0,164.0,-110.0,-110.0,East,Central,East,Atlantic,,,,,,,,,,,,,,,,,,,-110,-110,-198,164,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,
