League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-07 20:47:13,2025-11-07 19:11,Orlando Magic,Boston Celtics,No,1115.0,Yes,-79.67,-119.67,-231.5,171.5,-114.67,-117.0,East,Southeast,East,Atlantic,-130.0,-102.0,-186.0,144.0,-122.0,-108.0,-120,-122,-230.0,160.0,-120,-121,-110.0,-120.0,-238.0,180.0,-115.0,-115.0,-118.0,-110.0,-210.0,160.0,-105.0,-125.0,120.0,-154.0,-200.0,155.0,-111.0,-118.0,-120.0,-110.0,-325.0,230.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-07 20:47:13,2025-11-07 19:12,Washington Wizards,Cleveland Cavaliers,No,305.1,Yes,-118.33,-81.17,6000.0,-100000.0,-117.83,-113.67,East,Southeast,East,Central,-146.0,110.0,,,-122.0,-108.0,-118,-124,,,-121,-121,-110.0,-120.0,6000.0,-100000.0,-120.0,-110.0,-115.0,-115.0,,,-118.0,-110.0,-111.0,-118.0,,,-111.0,-118.0,-110.0,-120.0,,,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-07 20:47:13,2025-11-07 19:40,Brooklyn Nets,Detroit Pistons,No,484.4,Yes,-121.0,-109.5,363.33,-565.83,-118.0,-112.5,East,Atlantic,East,Central,-118.0,-112.0,390.0,-590.0,-122.0,-108.0,-125,-115,380.0,-670.0,-118,-122,-120.0,-110.0,370.0,-560.0,-120.0,-110.0,-125.0,-105.0,360.0,-525.0,-115.0,-115.0,-118.0,-105.0,280.0,-400.0,-118.0,-105.0,-120.0,-110.0,400.0,-650.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-07 20:47:13,2025-11-07 19:44,San Antonio Spurs,Houston Rockets,Yes,186.5,Yes,-117.67,-114.33,137.33,-188.67,-114.83,-115.33,West,Southwest,West,Southwest,-130.0,-102.0,100.0,-128.0,-114.0,-114.0,-121,-121,100.0,-134.0,-120,-122,-120.0,-110.0,114.0,-145.0,-120.0,-110.0,-110.0,-118.0,105.0,-135.0,-110.0,-118.0,-105.0,-125.0,300.0,-455.0,-105.0,-118.0,-120.0,-110.0,105.0,-135.0,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-07 20:47:13,2025-11-07 19:46,Atlanta Hawks,Toronto Raptors,No,733.5,Yes,-118.0,-112.83,-343.0,245.0,-117.67,-112.83,East,Southeast,East,Atlantic,-128.0,-104.0,-350.0,260.0,-118.0,-112.0,-117,-125,-375.0,250.0,-122,-120,-120.0,-110.0,-375.0,270.0,-110.0,-120.0,-110.0,-118.0,-300.0,225.0,-118.0,-110.0,-118.0,-105.0,-333.0,235.0,-118.0,-105.0,-115.0,-115.0,-325.0,230.0,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-07 20:47:13,2025-11-07 20:11,Milwaukee Bucks,Chicago Bulls,Yes,81.3,Yes,-118.0,-112.83,-204.5,155.17,-118.17,-112.33,East,Central,East,Central,-125.0,-106.0,-220.0,168.0,-122.0,-108.0,-122,-120,-200.0,143.0,-121,-121,-115.0,-115.0,-230.0,175.0,-115.0,-115.0,-125.0,-105.0,-210.0,160.0,-118.0,-110.0,-111.0,-111.0,-167.0,135.0,-118.0,-105.0,-110.0,-120.0,-200.0,150.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-07 20:47:13,2025-11-07 20:11,Minnesota Timberwolves,Utah Jazz,Yes,986.7,Yes,-117.5,-113.67,-15000.0,3150.0,-114.5,-115.0,West,Northwest,West,Northwest,-114.0,-114.0,,,-114.0,-114.0,-122,-120,,,-122,-120,-120.0,-110.0,-20000.0,3000.0,-115.0,-115.0,-118.0,-110.0,-10000.0,3300.0,-110.0,-115.0,-111.0,-118.0,,,-111.0,-111.0,-120.0,-110.0,,,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-07 20:47:13,2025-11-07 20:12,Miami Heat,Charlotte Hornets,Yes,651.7,Yes,-118.17,-79.67,-4700.0,1268.75,-115.33,-115.67,East,Southeast,East,Southeast,-136.0,102.0,-7000.0,1500.0,-112.0,-118.0,-120,-122,,,-124,-118,-115.0,-115.0,-4800.0,1600.0,-120.0,-110.0,-118.0,-110.0,-5000.0,1150.0,-110.0,-115.0,-105.0,-118.0,-2000.0,825.0,-111.0,-118.0,-115.0,-115.0,,,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-07 20:47:13,2025-11-07 20:12,Memphis Grizzlies,Dallas Mavericks,Yes,420.5,Yes,-113.0,-117.67,-639.17,398.33,-117.17,-114.67,West,Southwest,West,Southwest,-125.0,-106.0,-650.0,420.0,-110.0,-120.0,-118,-124,-770.0,410.0,-120,-122,-105.0,-125.0,-660.0,420.0,-120.0,-110.0,-110.0,-118.0,-550.0,375.0,-115.0,-115.0,-105.0,-118.0,-455.0,315.0,-118.0,-111.0,-115.0,-115.0,-750.0,450.0,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-07 20:47:13,2025-11-07 22:10,Denver Nuggets,Golden State Warriors,No,947.0,Yes,-110.33,-109.22,-449.33,342.89,-111.33,-108.78,West,Northwest,West,Pacific,-112.0,-108.0,-450.0,350.0,-112.0,-108.0,-114,-110,-455.0,330.0,-112,-114,-115.0,-105.0,-440.0,340.0,-115.0,-105.0,-115.0,-105.0,-450.0,340.0,-105.0,-115.0,-110.0,-110.0,-455.0,330.0,-110.0,-110.0,-105.0,-115.0,-450.0,335.0,-110.0,-110.0,-104.0,-108.0,-444.0,356.0,-113.0,-102.0,-108.0,-112.0,-450.0,350.0,-115.0,-105.0,-110.0,-110.0,-450.0,355.0,-110.0,-110.0
