League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-17 07:02:01,2026-05-17 20:10,465746f51ad349641512f36c52306968,Detroit Pistons,Cleveland Cavaliers,Yes,91.4,Yes,East,Central,East,Central,-110.22,-109.22,-4.5,4.5,-189.56,158.67,-112.0,-107.78,206.39,-110,-110,-180,150,-105,-115,-106,-114,-186,156,-112,-108,-109,-103,-190,166,-113,-102,-113,-107,-190,165,-115,-105,-110,-110,-190,155,-118,-102,-114,-109,-180,143,-110,-113,-110,-110,-195,165,-115,-105,-110,-110,-200,161,-110,-110,-110.0,-110.0,-195.0,167.0,-110.0,-110.0
NBA,2026-05-17 07:02:01,2026-05-18 20:40,924fe1c270c7ccb9e7a9cfa3002bdf05,Oklahoma City Thunder,San Antonio Spurs,No,419.4,Yes,West,Northwest,West,Southwest,-110.25,-109.12,-6.5,6.5,-260.75,212.25,-110.25,-109.25,219.19,-115,-105,-265,215,-110,-110,-108,-112,-240,198,-108,-112,-106,-106,-258,218,-107,-107,-110,-110,-260,215,-110,-110,-110,-110,-275,225,-115,-105,-113,-110,-275,210,-112,-110,-110,-110,-245,205,-110,-110,-110,-110,-268,212,-110,-110,,,,,,
