League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-02-09 05:53:25,2026-02-09 19:10,28ed7bb63c7bfb49becafe83b0b89e75,Charlotte Hornets,Detroit Pistons,No,505.2,Yes,East,Southeast,East,Central,-111.11,-108.67,3.17,-3.17,131.11,-155.44,-109.78,-110.22,223.11,-110,-110,130,-154,-108,-112,-110,-110,135,-167,-110,-110,-114,-112,120,-148,-113,-113,-115,-105,130,-155,-105,-115,-115,-105,135,-165,-115,-105,-106,-106,136.0,-155.0,-107,-107,-110,-110,135.0,-155.0,-110,-110,-110,-110,134.0,-155.0,-110,-110,-110,-110,125,-145,-110,-110
NBA,2026-02-09 05:53:25,2026-02-09 19:40,1c83af4e3fb93fe6584ef5a9e1351f2b,Brooklyn Nets,Chicago Bulls,No,717.1,Yes,East,Atlantic,East,Central,-63.22,-112.11,3.72,-3.72,143.89,-171.0,-109.89,-110.11,223.5,-108,-112,152,-180,-110,-110,-110,-110,134,-164,-110,-110,-112,-114,138,-175,-112,-114,-118,-102,145,-175,-110,-110,-105,-115,145,-175,-110,-110,104,-116,150.0,-170.0,-107,-107,100,-120,149.0,-170.0,-110,-110,-110,-110,142.0,-165.0,-110,-110,-110,-110,140,-165,-110,-110
NBA,2026-02-09 05:53:25,2026-02-09 19:40,87c446233100a0e10c8a9ae223b3d859,Miami Heat,Utah Jazz,No,2089.6,Yes,East,Southeast,West,Northwest,-110.33,-109.44,-8.5,8.5,-336.89,267.67,-110.44,-109.56,242.89,-108,-112,-330,265,-108,-112,-110,-110,-345,266,-110,-110,-114,-112,-345,265,-112,-114,-110,-110,-340,270,-112,-108,-110,-110,-325,260,-115,-105,-106,-106,-327.0,271.0,-107,-107,-110,-110,-330.0,267.0,-110,-110,-110,-110,-320.0,260.0,-110,-110,-115,-105,-370,285,-110,-110
NBA,2026-02-09 05:53:25,2026-02-09 19:40,d7da0d0be9b38cafad30bd7ed2a6c674,Orlando Magic,Milwaukee Bucks,No,1064.4,Yes,East,Southeast,East,Central,-109.89,-109.89,-9.5,9.5,-413.0,318.89,-110.78,-109.11,218.67,-110,-110,-390,310,-110,-110,-110,-110,-417,311,-110,-110,-113,-113,-435,320,-110,-115,-110,-110,-410,320,-115,-105,-110,-110,-425,320,-115,-105,-106,-106,-395.0,321.0,-107,-107,-110,-110,-400.0,316.0,-110,-110,-110,-110,-395.0,317.0,-110,-110,-110,-110,-450,335,-110,-110
NBA,2026-02-09 05:53:25,2026-02-09 20:10,b664e9dae2af4118d7572e95a333b93e,Minnesota Timberwolves,Atlanta Hawks,No,907.2,Yes,West,Northwest,East,Southeast,-110.22,-109.56,-6.5,6.5,-248.78,203.22,-111.11,-109.0,236.61,-110,-110,-245,200,-112,-108,-110,-110,-256,202,-110,-110,-113,-113,-250,195,-112,-114,-108,-112,-250,205,-108,-112,-110,-110,-250,200,-110,-110,-106,-106,-243.0,206.0,-113,-102,-110,-110,-245.0,203.0,-115,-105,-110,-110,-240.0,203.0,-110,-110,-115,-105,-260,215,-110,-110
NBA,2026-02-09 05:53:25,2026-02-09 20:10,f3e4369053da36c11257f3b1498bd0e6,New Orleans Pelicans,Sacramento Kings,No,1883.0,Yes,West,Southwest,West,Pacific,-111.67,-108.11,-6.5,6.5,-257.33,209.33,-109.44,-110.56,231.56,-110,-110,-250,205,-110,-110,-110,-110,-263,209,-110,-110,-114,-112,-275,210,-114,-112,-110,-110,-250,205,-108,-112,-110,-110,-250,200,-110,-110,-111,-101,-253.0,214.0,-105,-109,-115,-105,-255.0,211.0,-108,-112,-110,-110,-250.0,210.0,-110,-110,-115,-105,-270,220,-110,-110
NBA,2026-02-09 05:53:25,2026-02-09 21:10,55ce3994bdb669f780eb1021014461cf,Denver Nuggets,Cleveland Cavaliers,No,1228.2,Yes,West,Northwest,East,Central,-113.33,-62.0,0.78,-0.78,-108.17,-112.0,-110.22,-109.56,235.44,-112,-108,-108,-108,-106,-114,-110,-110,-108,-114,-110,-110,-117,-109,-110,-113,-114,-110,-120,100,-108,-112,-115,-105,-120,100,-105,-115,-110,-110,-106,-106,,,-107,-107,-110,-110,,,-110,-110,-110,-110,,,-110,-110,-115,-105,-110,-110,-110,-110
NBA,2026-02-09 05:53:25,2026-02-09 22:10,52fefc6f39b3b91682e5f266233d1088,Golden State Warriors,Memphis Grizzlies,No,1801.4,Yes,West,Pacific,West,Southwest,-111.0,-108.67,-7.0,7.0,-274.67,223.56,-110.22,-109.78,224.0,-110,-110,-270,220,-106,-114,-110,-110,-278,218,-110,-110,-110,-115,-286,215,-112,-114,-118,-102,-270,220,-112,-108,-115,-105,-275,225,-115,-105,-106,-106,-263.0,222.0,-107,-107,-110,-110,-265.0,219.0,-110,-110,-110,-110,-265.0,223.0,-110,-110,-110,-110,-300,250,-110,-110
NBA,2026-02-09 05:53:25,2026-02-09 22:10,fe43ece4642dde1bcd2610c18f0cfc27,Los Angeles Lakers,Oklahoma City Thunder,No,1182.5,Yes,West,Pacific,West,Northwest,-107.89,-111.89,5.28,-5.28,172.22,-207.11,-111.67,-108.44,219.22,-106,-114,180,-215,-108,-112,-110,-110,177,-222,-110,-110,-109,-117,180,-230,-112,-114,-105,-115,180,-218,-112,-108,-110,-110,170,-210,-110,-110,-106,-106,168.0,-192.0,-113,-102,-110,-110,167.0,-192.0,-115,-105,-110,-110,163.0,-190.0,-115,-105,-105,-115,165,-195,-110,-110
NBA,2026-02-09 05:53:25,2026-02-09 22:10,7c8edd09283c5268205c6029a589798f,Portland Trail Blazers,Philadelphia 76ers,No,2412.5,Yes,West,Northwest,East,Atlantic,-110.78,-109.0,3.83,-3.83,143.22,-169.78,-110.22,-109.78,230.39,-108,-112,138,-164,-110,-110,-110,-110,141,-172,-110,-110,-113,-113,143,-177,-113,-113,-105,-115,145,-175,-112,-108,-105,-115,140,-170,-110,-110,-111,-101,146.0,-165.0,-107,-107,-115,-105,145.0,-165.0,-110,-110,-115,-105,146.0,-170.0,-110,-110,-115,-105,145,-170,-110,-110
