League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-12 22:49:40,2025-11-12 20:11,San Antonio Spurs,Golden State Warriors,No,1490.6,Yes,152.67,-338.33,3300.0,-10000.0,,,West,Southwest,West,Pacific,148.0,-200.0,,,,,-115.0,-115.0,,,,,425.0,-700.0,3300.0,-10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-12 22:49:40,2025-11-12 20:41,Dallas Mavericks,Phoenix Suns,No,885.4,Yes,-120.17,-80.17,846.0,-1980.0,-115.17,-83.5,West,Southwest,West,Pacific,-136.0,102.0,830.0,-2000.0,-102.0,-130.0,-115.0,-115.0,1100.0,-2500.0,-120.0,-110.0,-115.0,-115.0,850.0,-2000.0,-110.0,-118.0,-118.0,-118.0,,,-105.0,-125.0,-122.0,-120.0,750.0,-2000.0,-124.0,-118.0,-115.0,-115.0,700.0,-1400.0,-130.0,100.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-12 22:49:40,2025-11-12 21:48,Oklahoma City Thunder,Los Angeles Lakers,No,1182.5,Yes,-78.67,-120.17,-10000.0,3300.0,-117.33,-113.83,West,Northwest,West,Pacific,104.0,-138.0,,,-125.0,-106.0,-120.0,-110.0,,,-120.0,-110.0,-110.0,-118.0,-10000.0,3300.0,-115.0,-110.0,-111.0,-118.0,,,-111.0,-118.0,-120.0,-122.0,,,-118.0,-124.0,-115.0,-115.0,,,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-12 22:49:40,2025-11-12 22:10,Sacramento Kings,Atlanta Hawks,No,2086.4,Yes,-115.0,-115.67,289.17,-420.0,-116.17,-115.0,West,Pacific,East,Southeast,-114.0,-114.0,310.0,-440.0,-114.0,-114.0,-120.0,-110.0,325.0,-475.0,-120.0,-110.0,-110.0,-115.0,290.0,-400.0,-110.0,-118.0,-111.0,-118.0,190.0,-250.0,-118.0,-111.0,-120.0,-122.0,295.0,-455.0,-120.0,-122.0,-115.0,-115.0,325.0,-500.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-12 22:49:40,2025-11-12 22:40,Los Angeles Clippers,Denver Nuggets,No,839.4,Yes,-116.67,-87.56,150.33,-187.11,-112.33,-114.78,West,Pacific,West,Northwest,-136.0,102.0,150.0,-194.0,-112.0,-118.0,-120.0,-110.0,150.0,-195.0,-115.0,-115.0,-118.0,-110.0,140.0,-180.0,-110.0,-118.0,-111.0,-111.0,125.0,-154.0,-111.0,-118.0,-120.0,-122.0,148.0,-200.0,-124.0,-118.0,-115.0,-115.0,140.0,-185.0,-120.0,-110.0,-108.0,-104.0,169.0,-193.0,-103.0,-112.0,-112.0,-108.0,168.0,-193.0,-106.0,-114.0,-110.0,-110.0,163.0,-190.0,-110.0,-110.0
NBA,2025-11-12 22:49:40,2025-11-13 19:10,Cleveland Cavaliers,Toronto Raptors,No,189.3,Yes,-109.5,-109.5,-281.8,227.2,-110.5,-108.75,East,Central,East,Atlantic,-110.0,-110.0,-260.0,215.0,-112.0,-108.0,-115.0,-105.0,-278.0,225.0,-115.0,-105.0,-105.0,-115.0,-295.0,230.0,-110.0,-110.0,-110.0,-110.0,-286.0,226.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-290.0,240.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-12 22:49:40,2025-11-13 21:10,Utah Jazz,Atlanta Hawks,No,1583.6,Yes,-110.0,-110.0,104.25,-124.75,-110.0,-110.0,West,Northwest,East,Southeast,-110.0,-110.0,104.0,-122.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-110.0,-110.0,103.0,-127.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-12 22:49:40,2025-11-13 21:10,Phoenix Suns,Indiana Pacers,No,1499.1,Yes,-110.12,-108.88,-192.6,159.4,-109.0,-110.25,West,Pacific,East,Central,-110.0,-110.0,-194.0,162.0,-110.0,-110.0,-110.0,-110.0,-192.0,160.0,-110.0,-110.0,-110.0,-110.0,-190.0,155.0,-105.0,-115.0,-110.0,-110.0,-192.0,155.0,-110.0,-110.0,,,,,,,-105.0,-115.0,-195.0,165.0,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-12 22:49:40,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-12 22:49:40,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
