League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-04-28 18:56:38,2026-04-28 19:10,d749c50ad2a2660df91f9dc1b8e20d78,Boston Celtics,Philadelphia 76ers,Yes,273.6,Yes,East,Atlantic,East,Atlantic,-108.44,-111.0,-10.28,10.28,-455.11,348.0,-111.22,-109.44,214.17,-108,-112,-460,360,-110,-110,-114,-109,-500,360,-112,-112,-102,-118,-440,340,-110,-110,-107,-105,-425,343,-109,-105,-110,-110,-430,337,-112,-108,-105,-115,-475,360,-118,-110,-110,-110,-476,347,-110,-110,-110,-110,-435,325,-110,-110,-110.0,-110.0,-455.0,360.0,-110.0,-110.0
NBA,2026-04-28 18:56:38,2026-04-28 20:10,595b24bea54d0917338e4a51372398b3,New York Knicks,Atlanta Hawks,No,748.3,Yes,East,Atlantic,East,Southeast,-108.11,-111.33,-6.5,6.5,-254.89,208.44,-111.0,-109.56,214.78,-106,-114,-250,205,-112,-108,-113,-110,-278,215,-110,-113,-105,-115,-250,205,-112,-108,-105,-107,-248,210,-107,-107,-109,-111,-250,207,-110,-110,-105,-115,-250,200,-118,-110,-110,-110,-263,209,-110,-110,-110,-110,-250,210,-110,-110,-110.0,-110.0,-255.0,215.0,-110.0,-110.0
NBA,2026-04-28 18:56:38,2026-04-28 21:40,f61ea629819d5176316c94a379c02ad2,San Antonio Spurs,Portland Trail Blazers,No,1721.8,Yes,West,Southwest,West,Northwest,-109.89,-109.56,-11.44,11.44,-597.0,432.11,-109.33,-110.33,217.78,-108,-112,-560,420,-112,-108,-115,-108,-715,460,-110,-113,-110,-110,-575,425,-105,-115,-106,-106,-567,440,-107,-107,-110,-110,-575,431,-110,-110,-115,-105,-625,450,-110,-110,-110,-110,-631,433,-110,-110,-110,-110,-550,390,-110,-110,-105.0,-115.0,-575.0,440.0,-110.0,-110.0
NBA,2026-04-28 18:56:38,2026-04-29 19:10,912bee9cc9d36b6017819f012c0c56f1,Detroit Pistons,Orlando Magic,No,956.1,Yes,East,Central,East,Southeast,-108.62,-111.0,-10.12,10.12,-410.88,315.75,-109.38,-110.38,211.44,-104,-118,-420,330,-108,-112,-115,-108,-455,325,-112,-112,-105,-115,-410,320,-108,-112,-108,-104,-395,321,-107,-107,-112,-108,-400,316,-110,-110,-105,-115,-400,310,-110,-110,-110,-110,-417,309,-110,-110,-110,-110,-390,295,-110,-110,,,,,,
NBA,2026-04-28 18:56:38,2026-04-29 19:40,6fa2ebdc614d327bc9a4558541adcd30,Cleveland Cavaliers,Toronto Raptors,No,189.3,Yes,East,Central,East,Atlantic,-110.62,-108.75,-8.75,8.75,-380.12,295.75,-111.25,-108.38,215.88,-112,-108,-355,285,-114,-106,-114,-109,-435,310,-114,-109,-115,-105,-375,295,-115,-105,-105,-107,-371,304,-107,-107,-109,-111,-375,299,-110,-110,-115,-105,-375,300,-110,-110,-110,-110,-385,288,-110,-110,-105,-115,-370,285,-110,-110,,,,,,
NBA,2026-04-28 18:56:38,2026-04-29 22:10,0d0aa62d4305ee094389473b308ce0bd,Los Angeles Lakers,Houston Rockets,No,1375.3,Yes,West,Pacific,West,Southwest,-108.75,-110.62,-4.19,4.19,-180.88,151.38,-110.0,-109.62,208.44,-106,-114,-180,152,-112,-108,-110,-113,-182,145,-113,-110,-105,-115,-180,150,-108,-112,-109,-103,-180,158,-107,-107,-113,-107,-180,157,-110,-110,-102,-118,-180,145,-110,-110,-110,-110,-185,149,-110,-110,-115,-105,-180,155,-110,-110,,,,,,
NBA,2026-04-28 18:56:38,2026-04-30 22:00,b981ac0f551b6f109cd18fa31de439b4,Minnesota Timberwolves,Denver Nuggets,Yes,699.6,Yes,West,Northwest,West,Northwest,-107.0,-112.38,5.62,-5.62,191.25,-233.88,-108.12,-111.5,225.06,-106,-114,194,-235,-110,-110,-113,-110,190,-245,-109,-114,-105,-115,185,-225,-110,-110,-104,-108,195,-228,-104,-110,-108,-112,192,-230,-107,-113,-105,-115,190,-235,-105,-115,-110,-110,189,-238,-110,-110,-105,-115,195,-235,-110,-110,,,,,,
