League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-11-06 16:21:23,2025-11-06 21:00,Phoenix Suns,Los Angeles Clippers,Yes,362.6,Yes,-110.11,-109.44,-140.11,117.78,-109.0,-111.11,West,Pacific,West,Pacific,-110.0,-110.0,-135.0,114.0,-115.0,-105.0,-106.0,-106.0,-141.0,124.0,-102.0,-113.0,-110.0,-110.0,-142.0,122.0,-105.0,-115.0,-110.0,-110.0,-134.0,114.0,-110.0,-110.0,-115.0,-105.0,-135.0,115.0,-105.0,-115.0,-110.0,-110.0,-144.0,116.0,-110.0,-110.0,-110.0,-110.0,-145.0,120.0,-110.0,-110.0,-110.0,-110.0,-135.0,115.0,-110.0,-110.0,-110,-114,-150,120,-114,-112
NBA,2025-11-06 16:21:23,2025-11-07 19:10,Orlando Magic,Boston Celtics,No,1115.0,Yes,-109.33,-110.33,-154.75,129.25,-110.17,-109.83,East,Southeast,East,Atlantic,-112.0,-108.0,-142.0,120.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-158.0,134.0,-110.0,-110.0,,,,,,,,,,,,,-105.0,-115.0,-160.0,135.0,-110.0,-110.0,,,,,,,-113,-113,-159,128,-114,-112
NBA,2025-11-06 16:21:23,2025-11-07 19:10,Washington Wizards,Cleveland Cavaliers,No,305.1,Yes,-111.0,-108.5,541.25,-805.0,-110.83,-109.17,East,Southeast,East,Central,-115.0,-105.0,550.0,-800.0,-115.0,-105.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,530.0,-750.0,-110.0,-110.0,,,,,,,,,,,,,-110.0,-110.0,625.0,-1000.0,-110.0,-110.0,,,,,,,-115,-110,460,-670,-113,-113
NBA,2025-11-06 16:21:23,2025-11-07 19:40,Atlanta Hawks,Toronto Raptors,No,733.5,Yes,-113.67,-72.67,-57.75,-112.25,-109.33,-110.67,East,Southeast,East,Atlantic,-118.0,-102.0,-105.0,-115.0,-105.0,-115.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-116.0,-102.0,-110.0,-110.0,,,,,,,,,,,,,-125.0,105.0,-110.0,-110.0,-110.0,-110.0,,,,,,,-113,-113,100,-122,-114,-112
NBA,2025-11-06 16:21:23,2025-11-07 19:40,Brooklyn Nets,Detroit Pistons,No,484.4,Yes,-110.67,-109.0,297.5,-383.75,-109.33,-110.67,East,Atlantic,East,Central,-115.0,-105.0,275.0,-345.0,-105.0,-115.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,310.0,-390.0,-110.0,-110.0,,,,,,,,,,,,,-110.0,-110.0,310.0,-400.0,-110.0,-110.0,,,,,,,-113,-113,295,-400,-114,-112
NBA,2025-11-06 16:21:23,2025-11-07 19:40,San Antonio Spurs,Houston Rockets,Yes,186.5,Yes,-105.67,-114.0,114.25,-137.25,-110.0,-110.0,West,Southwest,West,Southwest,-105.0,-115.0,110.0,-130.0,-115.0,-105.0,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,-106.0,-114.0,118.0,-138.0,-110.0,-110.0,,,,,,,,,,,,,-105.0,-115.0,115.0,-140.0,-105.0,-115.0,,,,,,,-112,-114,114,-141,-113,-113
NBA,2025-11-06 16:21:23,2025-11-07 20:10,Miami Heat,Charlotte Hornets,Yes,651.7,Yes,-109.83,-109.83,-203.0,165.25,-109.33,-110.67,East,Southeast,East,Southeast,-110.0,-110.0,-198.0,164.0,-112.0,-108.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-194.0,162.0,-110.0,-110.0,,,,,,,,,,,,,-110.0,-110.0,-200.0,165.0,-105.0,-115.0,,,,,,,-113,-113,-220,170,-112,-114
NBA,2025-11-06 16:21:23,2025-11-07 20:10,Milwaukee Bucks,Chicago Bulls,Yes,81.3,Yes,-112.17,-107.5,-167.5,138.5,-111.67,-108.33,East,Central,East,Central,-118.0,-102.0,-166.0,140.0,-115.0,-105.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-172.0,144.0,-110.0,-110.0,,,,,,,,,,,,,-115.0,-105.0,-170.0,140.0,-115.0,-105.0,,,,,,,-114,-112,-162,130,-113,-113
NBA,2025-11-06 16:21:23,2025-11-07 20:10,Memphis Grizzlies,Dallas Mavericks,Yes,420.5,Yes,-111.67,-74.67,-169.0,140.25,-109.5,-110.5,West,Southwest,West,Southwest,-122.0,102.0,-180.0,150.0,-108.0,-112.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-174.0,146.0,-110.0,-110.0,,,,,,,,,,,,,-105.0,-115.0,-160.0,135.0,-110.0,-110.0,,,,,,,-117,-109,-162,130,-112,-114
NBA,2025-11-06 16:21:23,2025-11-07 20:10,Minnesota Timberwolves,Utah Jazz,Yes,986.7,Yes,-112.33,-107.17,-746.25,516.25,-111.17,-108.5,West,Northwest,West,Northwest,-118.0,-102.0,-700.0,500.0,-115.0,-105.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-700.0,500.0,-110.0,-110.0,,,,,,,,,,,,,-115.0,-105.0,-750.0,525.0,-115.0,-105.0,,,,,,,-115,-110,-835,540,-110,-114
