League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2025-11-05 10:24:23,2025-11-05 19:00,Indiana Pacers,Brooklyn Nets,No,646.8,Yes,-109.44,-110.11,-270.22,219.67,-111.33,-108.78,East,Central,East,Atlantic,-115.0,-105.0,-270.0,220.0,-115.0,-105.0,-110.0,-110.0,-270.0,212.0,-110.0,-110.0,-101.0,-111.0,-272.0,229.0,-113.0,-102.0,-105.0,-115.0,-275.0,226.0,-115.0,-105.0,-110.0,-110.0,-275.0,220.0,-105.0,-115.0,-114.0,-106.0,-295.0,240.0,-112.0,-108.0,-110.0,-110.0,-250.0,210.0,-110.0,-110.0,-110,-114,-265,205,-112,-114,-110.0,-110.0,-260.0,215.0,-110.0,-110.0
NBA,2025-11-05 10:24:23,2025-11-05 19:00,Detroit Pistons,Utah Jazz,No,1492.1,Yes,-110.33,-109.33,-454.44,346.89,-111.11,-109.0,East,Central,West,Northwest,-112.0,-108.0,-455.0,350.0,-108.0,-112.0,-110.0,-110.0,-476.0,346.0,-110.0,-110.0,-106.0,-106.0,-444.0,356.0,-113.0,-102.0,-110.0,-110.0,-450.0,350.0,-115.0,-105.0,-110.0,-110.0,-450.0,340.0,-110.0,-110.0,-110.0,-110.0,-430.0,340.0,-110.0,-110.0,-110.0,-110.0,-450.0,355.0,-110.0,-110.0,-110,-115,-500,360,-114,-112,-115.0,-105.0,-435.0,325.0,-110.0,-110.0
NBA,2025-11-05 10:24:23,2025-11-05 19:10,Cleveland Cavaliers,Philadelphia 76ers,No,359.4,Yes,-108.33,-111.44,-413.56,320.78,-110.56,-109.44,East,Central,East,Atlantic,-102.0,-118.0,-410.0,320.0,-110.0,-110.0,-110.0,-110.0,-417.0,305.0,-110.0,-110.0,-106.0,-106.0,-395.0,321.0,-109.0,-105.0,-110.0,-110.0,-400.0,316.0,-112.0,-108.0,-102.0,-118.0,-450.0,350.0,-110.0,-110.0,-108.0,-112.0,-430.0,340.0,-112.0,-108.0,-110.0,-110.0,-400.0,320.0,-110.0,-110.0,-112,-114,-400,300,-112,-114,-115.0,-105.0,-420.0,315.0,-110.0,-110.0
NBA,2025-11-05 10:24:23,2025-11-05 19:30,Boston Celtics,Washington Wizards,No,394.0,Yes,-112.0,-107.78,-615.67,444.22,-110.89,-109.11,East,Atlantic,East,Southeast,-115.0,-105.0,-600.0,440.0,-112.0,-108.0,-110.0,-110.0,-625.0,431.0,-110.0,-110.0,-111.0,-101.0,-591.0,456.0,-107.0,-107.0,-115.0,-105.0,-600.0,446.0,-110.0,-110.0,-115.0,-105.0,-625.0,450.0,-115.0,-105.0,-110.0,-110.0,-620.0,460.0,-112.0,-108.0,-110.0,-110.0,-585.0,445.0,-110.0,-110.0,-112,-114,-670,440,-112,-114,-110.0,-110.0,-625.0,430.0,-110.0,-110.0
NBA,2025-11-05 10:24:23,2025-11-05 19:30,New York Knicks,Minnesota Timberwolves,No,1018.9,Yes,-112.44,-107.22,-164.33,138.33,-109.89,-110.11,East,Atlantic,West,Northwest,-115.0,-105.0,-166.0,140.0,-112.0,-108.0,-110.0,-110.0,-169.0,138.0,-110.0,-110.0,-111.0,-101.0,-160.0,141.0,-105.0,-109.0,-115.0,-105.0,-160.0,140.0,-108.0,-112.0,-118.0,-102.0,-170.0,140.0,-115.0,-105.0,-108.0,-112.0,-162.0,136.0,-110.0,-110.0,-110.0,-110.0,-165.0,142.0,-110.0,-110.0,-115,-110,-167,133,-114,-112,-110.0,-110.0,-160.0,135.0,-105.0,-115.0
NBA,2025-11-05 10:24:23,2025-11-05 20:00,Memphis Grizzlies,Houston Rockets,Yes,483.7,Yes,-109.33,-110.44,245.22,-304.67,-110.22,-109.67,West,Southwest,West,Southwest,-110.0,-110.0,240.0,-298.0,-110.0,-110.0,-110.0,-110.0,239.0,-312.0,-110.0,-110.0,-106.0,-106.0,248.0,-297.0,-107.0,-107.0,-110.0,-110.0,245.0,-300.0,-110.0,-110.0,-110.0,-110.0,240.0,-300.0,-110.0,-110.0,-110.0,-110.0,245.0,-300.0,-110.0,-110.0,-110.0,-110.0,260.0,-320.0,-110.0,-110.0,-113,-113,235,-305,-115,-110,-105.0,-115.0,255.0,-310.0,-110.0,-110.0
NBA,2025-11-05 10:24:23,2025-11-05 20:40,Dallas Mavericks,New Orleans Pelicans,Yes,443.2,Yes,-110.11,-109.67,-294.22,237.67,-109.89,-110.11,West,Southwest,West,Southwest,-108.0,-112.0,-298.0,240.0,-108.0,-112.0,-110.0,-110.0,-303.0,235.0,-110.0,-110.0,-104.0,-108.0,-282.0,237.0,-107.0,-107.0,-108.0,-112.0,-285.0,234.0,-110.0,-110.0,-110.0,-110.0,-300.0,240.0,-110.0,-110.0,-114.0,-106.0,-290.0,235.0,-110.0,-110.0,-110.0,-110.0,-285.0,238.0,-110.0,-110.0,-117,-109,-315,240,-114,-112,-110.0,-110.0,-290.0,240.0,-110.0,-110.0
NBA,2025-11-05 10:24:23,2025-11-05 21:00,Denver Nuggets,Miami Heat,No,1726.7,Yes,-109.33,-110.44,-398.67,310.11,-108.33,-111.56,West,Northwest,East,Southeast,-110.0,-110.0,-395.0,310.0,-110.0,-110.0,-110.0,-110.0,-417.0,311.0,-110.0,-110.0,-101.0,-111.0,-386.0,315.0,-102.0,-113.0,-105.0,-115.0,-390.0,310.0,-105.0,-115.0,-110.0,-110.0,-425.0,325.0,-110.0,-110.0,-114.0,-106.0,-390.0,310.0,-108.0,-112.0,-110.0,-110.0,-400.0,320.0,-110.0,-110.0,-114,-112,-385,290,-110,-114,-110.0,-110.0,-400.0,300.0,-110.0,-110.0
NBA,2025-11-05 10:24:23,2025-11-05 22:00,Sacramento Kings,Golden State Warriors,Yes,74.0,Yes,-109.56,-110.22,-145.33,122.67,-112.0,-108.0,West,Pacific,West,Pacific,-115.0,-105.0,-148.0,124.0,-112.0,-108.0,-110.0,-110.0,-152.0,123.0,-110.0,-110.0,-101.0,-111.0,-138.0,122.0,-113.0,-102.0,-105.0,-115.0,-140.0,120.0,-115.0,-105.0,-115.0,-105.0,-150.0,125.0,-110.0,-110.0,-106.0,-114.0,-142.0,120.0,-110.0,-110.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0,-114,-112,-148,120,-113,-112,-110.0,-110.0,-150.0,130.0,-115.0,-105.0
NBA,2025-11-05 10:24:23,2025-11-05 22:00,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,-109.56,-110.22,-138.56,116.22,-109.78,-110.11,West,Pacific,West,Southwest,-110.0,-110.0,-135.0,114.0,-112.0,-108.0,-110.0,-110.0,-141.0,114.0,-110.0,-110.0,-106.0,-106.0,-131.0,115.0,-102.0,-113.0,-110.0,-110.0,-133.0,113.0,-105.0,-115.0,-110.0,-110.0,-140.0,115.0,-115.0,-105.0,-108.0,-112.0,-144.0,122.0,-110.0,-110.0,-110.0,-110.0,-135.0,115.0,-110.0,-110.0,-112,-114,-148,118,-114,-110,-110.0,-110.0,-140.0,120.0,-110.0,-110.0
