League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-01-07 01:41:12,2026-01-06 23:12,Sacramento Kings,Dallas Mavericks,No,1439.9,Yes,100.0,-133.0,176.0,-276.0,-125.0,-111.0,West,Pacific,West,Southwest,,,330,-480,,,100.0,-133.0,-200.0,150.0,-125.0,-111.0,,,290,-410,,,,,220,-315,,,,,240,-325,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-07 01:41:12,2026-01-07 19:10,Boston Celtics,Denver Nuggets,No,1770.4,Yes,-107.33,-112.44,-386.78,300.44,-109.75,-109.5,East,Atlantic,West,Northwest,-108.0,-112.0,-355,285,-106.0,-114.0,-110.0,-110.0,-400.0,296.0,-110.0,-110.0,-108.0,-112.0,-375,295,-115.0,-105.0,-109.0,-117.0,-420,310,,,-110.0,-110.0,-400,310,-110.0,-110.0,-105.0,-115.0,-375.0,299.0,-110.0,-110.0,-101.0,-111.0,-371.0,304.0,-107.0,-107.0,-105.0,-115.0,-375.0,300.0,-110.0,-110.0,-110.0,-110.0,-410.0,305.0,-110.0,-110.0
NBA,2026-01-07 01:41:12,2026-01-07 19:10,Charlotte Hornets,Toronto Raptors,No,586.0,Yes,-109.89,-109.89,115.44,-137.11,-108.25,-111.12,East,Southeast,East,Atlantic,-110.0,-110.0,118,-138,-114.0,-106.0,-110.0,-110.0,113.0,-139.0,-110.0,-110.0,-110.0,-110.0,114,-135,-110.0,-110.0,-113.0,-113.0,112,-139,,,-110.0,-110.0,115,-140,-110.0,-110.0,-110.0,-110.0,115.0,-135.0,-105.0,-115.0,-106.0,-106.0,117.0,-133.0,-102.0,-113.0,-110.0,-110.0,115.0,-135.0,-105.0,-115.0,-110.0,-110.0,120.0,-140.0,-110.0,-110.0
NBA,2026-01-07 01:41:12,2026-01-07 19:10,Detroit Pistons,Chicago Bulls,Yes,239.5,Yes,-109.11,-110.44,-466.67,354.11,-109.62,-109.62,East,Central,East,Central,-108.0,-112.0,-420,330,-110.0,-110.0,-110.0,-110.0,-476.0,348.0,-110.0,-110.0,-108.0,-112.0,-455,350,-110.0,-110.0,-110.0,-114.0,-480,340,,,-110.0,-110.0,-475,360,-110.0,-110.0,-110.0,-110.0,-470.0,364.0,-110.0,-110.0,-106.0,-106.0,-464.0,370.0,-107.0,-107.0,-110.0,-110.0,-470.0,370.0,-110.0,-110.0,-110.0,-110.0,-490.0,355.0,-110.0,-110.0
NBA,2026-01-07 01:41:12,2026-01-07 19:10,Philadelphia 76ers,Washington Wizards,No,120.7,Yes,-110.0,-109.57,-639.86,459.14,-108.67,-110.33,East,Atlantic,East,Southeast,-112.0,-108.0,-590,430,-110.0,-110.0,,,,,,,-110.0,-110.0,-625,455,-110.0,-110.0,-113.0,-112.0,-670,450,,,-110.0,-110.0,-700,500,-105.0,-115.0,-107.0,-113.0,-640.0,469.0,-110.0,-110.0,-103.0,-109.0,-629.0,480.0,-107.0,-107.0,,,,,,,-115.0,-105.0,-625.0,430.0,-110.0,-110.0
NBA,2026-01-07 01:41:12,2026-01-07 19:40,Atlanta Hawks,New Orleans Pelicans,No,424.9,Yes,-110.88,-108.75,-473.25,357.62,-108.86,-110.43,East,Southeast,West,Southwest,-110.0,-110.0,-460,360,-108.0,-112.0,-110.0,-110.0,-417.0,314.0,-110.0,-110.0,-110.0,-110.0,-470,360,-112.0,-108.0,-115.0,-110.0,-530,370,,,-110.0,-110.0,-475,360,-115.0,-105.0,-113.0,-107.0,-480.0,370.0,-105.0,-115.0,-109.0,-103.0,-474.0,377.0,-102.0,-113.0,,,,,,,-110.0,-110.0,-480.0,350.0,-110.0,-110.0
NBA,2026-01-07 01:41:12,2026-01-07 19:40,Brooklyn Nets,Orlando Magic,No,936.6,Yes,-109.0,-110.5,107.88,-128.62,-109.14,-110.14,East,Atlantic,East,Southeast,-110.0,-110.0,114,-134,-112.0,-108.0,-110.0,-110.0,112.0,-137.0,-110.0,-110.0,-102.0,-118.0,110,-130,-115.0,-105.0,-114.0,-110.0,105,-130,,,-110.0,-110.0,105,-125,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-105.0,-115.0,-106.0,-106.0,107.0,-123.0,-102.0,-113.0,,,,,,,-110.0,-110.0,105.0,-125.0,-110.0,-110.0
NBA,2026-01-07 01:41:12,2026-01-07 19:40,New York Knicks,Los Angeles Clippers,No,2459.8,Yes,-111.78,-108.0,-224.0,185.11,-110.25,-109.0,East,Atlantic,West,Pacific,-108.0,-112.0,-220,184,-110.0,-110.0,-110.0,-110.0,-217.0,173.0,-110.0,-110.0,-115.0,-105.0,-225,185,-115.0,-105.0,-112.0,-114.0,-235,185,,,-115.0,-105.0,-225,185,-110.0,-110.0,-115.0,-105.0,-220.0,186.0,-110.0,-110.0,-111.0,-101.0,-219.0,188.0,-107.0,-107.0,-115.0,-105.0,-220.0,185.0,-110.0,-110.0,-105.0,-115.0,-235.0,195.0,-110.0,-110.0
NBA,2026-01-07 01:41:12,2026-01-07 20:10,Memphis Grizzlies,Phoenix Suns,No,1262.6,Yes,-109.12,-110.5,154.88,-185.25,-109.86,-109.43,West,Southwest,West,Pacific,-110.0,-110.0,152,-180,-106.0,-114.0,-110.0,-110.0,147.0,-182.0,-110.0,-110.0,-108.0,-112.0,154,-185,-110.0,-110.0,-110.0,-115.0,150,-190,,,-110.0,-110.0,155,-190,-105.0,-115.0,-107.0,-113.0,165.0,-190.0,-115.0,-105.0,-103.0,-109.0,166.0,-190.0,-113.0,-102.0,,,,,,,-115.0,-105.0,150.0,-175.0,-110.0,-110.0
NBA,2026-01-07 01:41:12,2026-01-07 20:10,Oklahoma City Thunder,Utah Jazz,Yes,863.6,Yes,-109.0,-110.67,-1353.44,781.0,-111.5,-107.75,West,Northwest,West,Northwest,-105.0,-115.0,-1500,870,-110.0,-110.0,-110.0,-110.0,-1429.0,754.0,-110.0,-110.0,-115.0,-105.0,-1100,700,-115.0,-105.0,-115.0,-110.0,-1430,700,,,-115.0,-105.0,-1400,825,-115.0,-105.0,-105.0,-115.0,-1250.0,776.0,-110.0,-110.0,-101.0,-111.0,-1222.0,804.0,-107.0,-107.0,-105.0,-115.0,-1250.0,800.0,-110.0,-110.0,-110.0,-110.0,-1600.0,800.0,-115.0,-105.0
