League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-01-07 07:56:24,2026-01-07 19:10,Boston Celtics,Denver Nuggets,No,1770.4,Yes,-106.89,-112.89,-385.67,299.44,-108.38,-110.88,East,Atlantic,West,Northwest,-108,-112,-360,290,-110,-110,-110,-110,-400,297,-110,-110,-105,-115,-380,300,-105,-115,-105,-115,-375,299,-110,-110,-101,-111,-371,304,-107,-107,-105,-115,-400,310,-105,-115,-105,-115,-375,300,-110,-110,-113,-113,-420,300,,,-110,-110,-390,295,-110,-110
NBA,2026-01-07 07:56:24,2026-01-07 19:10,Charlotte Hornets,Toronto Raptors,No,586.0,Yes,-109.78,-110.0,115.22,-137.0,-109.5,-109.75,East,Southeast,East,Atlantic,-110,-110,118,-138,-114,-106,-110,-110,113,-139,-110,-110,-108,-112,114,-135,-105,-115,-110,-110,115,-135,-110,-110,-106,-106,117,-133,-107,-107,-110,-110,115,-140,-110,-110,-110,-110,115,-135,-110,-110,-109,-117,115,-143,,,-115,-105,115,-135,-110,-110
NBA,2026-01-07 07:56:24,2026-01-07 19:10,Detroit Pistons,Chicago Bulls,Yes,239.5,Yes,-109.56,-110.11,-463.78,352.89,-110.0,-109.25,East,Central,East,Central,-108,-112,-420,330,-106,-114,-110,-110,-500,357,-110,-110,-110,-110,-470,360,-112,-108,-110,-110,-470,364,-110,-110,-106,-106,-464,370,-107,-107,-110,-110,-475,360,-115,-105,-110,-110,-470,370,-110,-110,-112,-113,-435,320,,,-110,-110,-470,345,-110,-110
NBA,2026-01-07 07:56:24,2026-01-07 19:10,Philadelphia 76ers,Washington Wizards,No,120.7,Yes,-108.33,-111.33,-623.33,447.56,-109.62,-109.75,East,Atlantic,East,Southeast,-108,-112,-590,430,-110,-110,-110,-110,-625,437,-110,-110,-105,-115,-625,455,-115,-105,-108,-112,-620,458,-105,-115,-104,-108,-610,468,-102,-113,-105,-115,-625,450,-115,-105,-110,-110,-620,460,-110,-110,-110,-115,-670,440,,,-115,-105,-625,430,-110,-110
NBA,2026-01-07 07:56:24,2026-01-07 19:40,Atlanta Hawks,New Orleans Pelicans,No,424.9,Yes,-110.56,-109.11,-476.11,362.0,-109.38,-109.88,East,Southeast,West,Southwest,-110,-110,-460,360,-110,-110,-110,-110,-476,348,-110,-110,-110,-110,-470,360,-108,-112,-113,-107,-480,370,-110,-110,-109,-103,-474,377,-107,-107,-110,-110,-475,360,-110,-110,-110,-110,-480,378,-110,-110,-113,-112,-500,360,,,-110,-110,-470,345,-110,-110
NBA,2026-01-07 07:56:24,2026-01-07 19:40,Brooklyn Nets,Orlando Magic,No,936.6,Yes,-107.0,-112.78,107.78,-129.22,-107.88,-111.5,East,Atlantic,East,Southeast,-110,-110,112,-132,-108,-112,-110,-110,109,-134,-110,-110,-108,-112,110,-130,-108,-112,-105,-115,105,-125,-105,-115,-101,-111,107,-123,-102,-113,-102,-118,110,-135,-110,-110,-105,-115,105,-125,-110,-110,-112,-114,107,-134,,,-110,-110,105,-125,-110,-110
NBA,2026-01-07 07:56:24,2026-01-07 19:40,New York Knicks,Los Angeles Clippers,No,2459.8,Yes,-109.0,-110.78,-212.22,176.33,-110.75,-108.5,East,Atlantic,West,Pacific,-110,-110,-205,172,-114,-106,-110,-110,-231,184,-110,-110,-102,-118,-205,170,-115,-105,-110,-110,-205,177,-110,-110,-106,-106,-204,179,-107,-107,-105,-115,-210,170,-110,-110,-110,-110,-205,175,-110,-110,-113,-113,-215,170,,,-115,-105,-230,190,-110,-110
NBA,2026-01-07 07:56:24,2026-01-07 20:10,Memphis Grizzlies,Phoenix Suns,No,1262.6,Yes,-110.0,-109.67,161.22,-192.67,-108.12,-111.25,West,Southwest,West,Pacific,-110,-110,154,-186,-110,-110,-110,-110,151,-189,-110,-110,-112,-108,164,-198,-108,-112,-110,-110,170,-195,-105,-115,-106,-106,171,-195,-102,-113,-110,-110,165,-200,-110,-110,-110,-110,163,-190,-110,-110,-112,-113,148,-186,,,-110,-110,165,-195,-110,-110
NBA,2026-01-07 07:56:24,2026-01-07 20:10,Oklahoma City Thunder,Utah Jazz,Yes,863.6,Yes,-111.56,-108.33,-1474.22,826.22,-110.88,-108.38,West,Northwest,West,Northwest,-118,-104,-1500,870,-110,-110,-110,-110,-1429,761,-110,-110,-112,-108,-1450,850,-115,-105,-110,-110,-1250,776,-110,-110,-106,-106,-1222,804,-107,-107,-115,-105,-2000,1000,-115,-105,-110,-110,-1250,800,-110,-110,-113,-112,-1667,800,,,-110,-110,-1500,775,-110,-110
NBA,2026-01-07 07:56:24,2026-01-07 21:40,San Antonio Spurs,Los Angeles Lakers,No,1208.0,Yes,-111.56,-108.11,-282.67,229.22,-110.38,-108.88,West,Southwest,West,Pacific,-110,-110,-295,240,-114,-106,-110,-110,-294,231,-110,-110,-118,-102,-278,225,-112,-108,-110,-110,-270,222,-110,-110,-106,-106,-267,225,-107,-107,-115,-105,-275,220,-110,-110,-110,-110,-270,225,-110,-110,-110,-115,-305,235,,,-115,-105,-290,240,-110,-110
NBA,2026-01-07 07:56:24,2026-01-07 22:10,Golden State Warriors,Milwaukee Bucks,No,1840.7,Yes,-107.22,-112.56,-241.11,197.0,-108.5,-110.88,West,Pacific,East,Central,-110,-110,-245,200,-106,-114,-110,-110,-263,205,-110,-110,-105,-115,-245,200,-110,-110,-107,-113,-235,195,-105,-115,-103,-109,-232,198,-102,-113,-102,-118,-235,190,-110,-110,-105,-115,-235,200,-110,-110,-113,-113,-245,190,,,-110,-110,-235,195,-115,-105
NBA,2026-01-07 07:56:24,2026-01-07 22:10,Portland Trail Blazers,Houston Rockets,No,1836.0,Yes,-110.78,-109.0,212.33,-259.78,-110.75,-108.5,West,Northwest,West,Southwest,-112,-108,198,-240,-112,-108,-110,-110,212,-270,-110,-110,-112,-108,215,-265,-112,-108,-110,-110,215,-260,-110,-110,-106,-106,218,-258,-107,-107,-110,-110,220,-275,-115,-105,-110,-110,218,-260,-110,-110,-117,-109,200,-250,,,-110,-110,215,-260,-110,-110
