League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-03 07:54:52,2025-12-03 19:10,Cleveland Cavaliers,Portland Trail Blazers,No,2055.0,Yes,-109.89,-109.89,-477.22,360.67,-112.0,-108.0,East,Central,West,Northwest,-110,-110,-480,370,-110,-110,-104.0,-108.0,-444.0,356.0,-113.0,-102.0,-108.0,-112.0,-450.0,350.0,-115.0,-105.0,-110.0,-110.0,-476.0,348.0,-110.0,-110.0,-118,-102,-485,370,-110,-110,-117,-109,-480,340,-115,-110,-102.0,-118.0,-500.0,375.0,-110.0,-110.0,-110.0,-110.0,-490.0,355.0,-110.0,-110.0,-110.0,-110.0,-490.0,382.0,-115.0,-105.0
NBA,2025-12-03 07:54:52,2025-12-03 19:10,Indiana Pacers,Denver Nuggets,No,1002.0,Yes,-110.11,-109.44,246.0,-305.0,-111.89,-108.22,East,Central,West,Northwest,-110,-110,245,-300,-110,-110,-106.0,-106.0,252.0,-302.0,-113.0,-102.0,-110.0,-110.0,249.0,-305.0,-115.0,-105.0,-110.0,-110.0,240.0,-313.0,-110.0,-110.0,-115,-105,245,-305,-110,-110,-110,-114,235,-305,-114,-112,-110.0,-110.0,240.0,-300.0,-110.0,-110.0,-110.0,-110.0,255.0,-310.0,-110.0,-110.0,-110.0,-110.0,253.0,-305.0,-115.0,-105.0
NBA,2025-12-03 07:54:52,2025-12-03 19:10,Orlando Magic,San Antonio Spurs,No,1033.6,Yes,-112.44,-85.11,-325.56,259.78,-110.33,-109.67,East,Southeast,West,Southwest,-112,-108,-330,265,-110,-110,-106.0,-106.0,-307.0,256.0,-107.0,-107.0,-110.0,-110.0,-310.0,252.0,-110.0,-110.0,-110.0,-110.0,-323.0,250.0,-110.0,-110.0,-120,100,-340,270,-112,-108,-114,-112,-335,255,-114,-112,-115.0,-105.0,-325.0,260.0,-110.0,-110.0,-115.0,-105.0,-350.0,275.0,-110.0,-110.0,-110.0,-110.0,-310.0,255.0,-110.0,-110.0
NBA,2025-12-03 07:54:52,2025-12-03 19:40,Atlanta Hawks,Los Angeles Clippers,No,1943.0,Yes,-111.56,-108.22,-155.78,132.11,-108.89,-111.22,East,Southeast,West,Pacific,-114,-106,-152,128,-110,-110,-111.0,-101.0,-155.0,136.0,-102.0,-113.0,-115.0,-105.0,-155.0,135.0,-105.0,-115.0,-110.0,-110.0,-156.0,127.0,-110.0,-110.0,-110,-110,-162,136,-115,-105,-109,-117,-157,128,-113,-113,-105.0,-115.0,-160.0,135.0,-110.0,-110.0,-115.0,-105.0,-150.0,130.0,-110.0,-110.0,-115.0,-105.0,-155.0,134.0,-105.0,-115.0
NBA,2025-12-03 07:54:52,2025-12-03 19:40,New York Knicks,Charlotte Hornets,No,533.4,Yes,-109.78,-110.0,-366.78,288.89,-110.22,-109.78,East,Atlantic,East,Southeast,-108,-112,-390,310,-106,-114,-106.0,-106.0,-361.0,297.0,-107.0,-107.0,-110.0,-110.0,-365.0,292.0,-110.0,-110.0,-110.0,-110.0,-370.0,283.0,-110.0,-110.0,-112,-108,-360,285,-112,-108,-112,-114,-360,270,-112,-114,-110.0,-110.0,-350.0,280.0,-110.0,-110.0,-110.0,-110.0,-380.0,290.0,-115.0,-105.0,-110.0,-110.0,-365.0,293.0,-110.0,-110.0
NBA,2025-12-03 07:54:52,2025-12-03 20:10,Chicago Bulls,Brooklyn Nets,No,717.1,Yes,-110.22,-87.22,-331.33,263.67,-109.11,-111.0,East,Central,East,Atlantic,-112,-108,-330,265,-110,-110,-103.0,-109.0,-322.0,267.0,-102.0,-113.0,-107.0,-113.0,-325.0,263.0,-105.0,-115.0,-110.0,-110.0,-345.0,263.0,-110.0,-110.0,-125,105,-325,260,-112,-108,-115,-110,-345,260,-113,-113,-105.0,-115.0,-325.0,260.0,-110.0,-110.0,-105.0,-115.0,-340.0,270.0,-115.0,-105.0,-110.0,-110.0,-325.0,265.0,-105.0,-115.0
NBA,2025-12-03 07:54:52,2025-12-03 20:10,Houston Rockets,Sacramento Kings,No,1609.3,Yes,-109.89,-109.78,-1248.78,744.33,-110.11,-109.89,West,Southwest,West,Pacific,-110,-110,-1200,750,-110,-110,-106.0,-106.0,-1174.0,781.0,-107.0,-107.0,-110.0,-110.0,-1200.0,754.0,-110.0,-110.0,-110.0,-110.0,-1250.0,714.0,-110.0,-110.0,-110,-110,-1200,750,-105,-115,-113,-112,-1115,650,-114,-112,-110.0,-110.0,-1400.0,775.0,-110.0,-110.0,-110.0,-110.0,-1500.0,775.0,-115.0,-105.0,-110.0,-110.0,-1200.0,750.0,-110.0,-110.0
NBA,2025-12-03 07:54:52,2025-12-03 20:11,Milwaukee Bucks,Detroit Pistons,Yes,252.3,Yes,-110.78,-109.0,149.78,-177.67,-112.11,-108.0,East,Central,East,Central,-112,-108,148,-176,-110,-110,-106.0,-106.0,151.0,-171.0,-113.0,-102.0,-110.0,-110.0,150.0,-171.0,-115.0,-105.0,-110.0,-110.0,153.0,-189.0,-110.0,-110.0,-110,-110,150,-180,-112,-108,-114,-112,145,-182,-114,-112,-115.0,-105.0,145.0,-175.0,-110.0,-110.0,-110.0,-110.0,160.0,-185.0,-110.0,-110.0,-110.0,-110.0,146.0,-170.0,-115.0,-105.0
NBA,2025-12-03 07:54:52,2025-12-03 20:30,Dallas Mavericks,Miami Heat,No,1111.8,Yes,-110.44,-109.22,148.56,-176.67,-109.0,-111.0,West,Southwest,East,Southeast,-108,-112,146,-174,-110,-110,-106.0,-106.0,151.0,-171.0,-107.0,-107.0,-110.0,-110.0,150.0,-171.0,-110.0,-110.0,-110.0,-110.0,147.0,-182.0,-110.0,-110.0,-110,-110,154,-185,-105,-115,-115,-110,148,-182,-114,-112,-115.0,-105.0,150.0,-185.0,-105.0,-115.0,-110.0,-110.0,145.0,-170.0,-110.0,-110.0,-110.0,-110.0,146.0,-170.0,-110.0,-110.0
NBA,2025-12-03 07:54:52,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-109.67,-111.67,-210.0,172.0,-111.0,-111.0,East,Southeast,East,Southeast,-114,-106,-210,176,-110,-110,,,,,,,,,,,,,,,,,,,-105,-115,-205,170,-110,-110,-110,-114,-215,170,-113,-113,,,,,,,,,,,,,,,,,,
