League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-16 01:34:17,2025-11-16 15:30,Boston Celtics,Los Angeles Clippers,No,2604.9,No,-63.33,-112.0,-185.22,155.44,-111.11,-108.78,East,Atlantic,West,Pacific,-115.0,-105.0,-192.0,160.0,-115.0,-105.0,102.0,-114.0,-185.0,162.0,-107.0,-107.0,-102.0,-118.0,-185.0,161.0,-110.0,-110.0,-110.0,-110.0,-170.0,140.0,-115.0,-105.0,-110.0,-110.0,-189.0,153.0,-110.0,-110.0,-112.0,-108.0,-196.0,164.0,-110.0,-110.0,-110.0,-110.0,-170.0,145.0,-110.0,-110.0,-113,-113,-195,155,-113,-112,100.0,-120.0,-185.0,159.0,-110.0,-110.0
NBA,2025-11-16 01:34:17,2025-11-16 16:00,San Antonio Spurs,Sacramento Kings,No,1460.9,No,-113.67,-83.78,-301.56,243.56,-109.44,-110.56,West,Southwest,West,Pacific,-120.0,100.0,-298.0,240.0,-110.0,-110.0,-111.0,-101.0,-302.0,252.0,-107.0,-107.0,-115.0,-105.0,-305.0,249.0,-110.0,-110.0,-115.0,-105.0,-300.0,240.0,-105.0,-115.0,-110.0,-110.0,-303.0,238.0,-110.0,-110.0,-112.0,-108.0,-295.0,240.0,-110.0,-110.0,-110.0,-110.0,-320.0,260.0,-110.0,-110.0,-115,-110,-286,220,-113,-113,-115.0,-105.0,-305.0,253.0,-110.0,-110.0
NBA,2025-11-16 01:34:17,2025-11-16 18:00,Washington Wizards,Brooklyn Nets,No,203.5,No,-109.89,-109.89,-148.22,125.44,-109.89,-110.11,East,Southeast,East,Atlantic,-115.0,-105.0,-155.0,130.0,-110.0,-110.0,-106.0,-106.0,-149.0,132.0,-107.0,-107.0,-110.0,-110.0,-150.0,130.0,-110.0,-110.0,-110.0,-110.0,-150.0,125.0,-110.0,-110.0,-110.0,-110.0,-139.0,114.0,-110.0,-110.0,-110.0,-110.0,-146.0,124.0,-110.0,-110.0,-105.0,-115.0,-140.0,120.0,-110.0,-110.0,-113,-113,-155,125,-112,-114,-110.0,-110.0,-150.0,129.0,-110.0,-110.0
NBA,2025-11-16 01:34:17,2025-11-16 19:00,New Orleans Pelicans,Golden State Warriors,No,1923.5,Yes,-109.44,-110.33,386.78,-522.11,-110.11,-109.89,West,Southwest,West,Pacific,-102.0,-118.0,390.0,-520.0,-110.0,-110.0,-106.0,-106.0,390.0,-493.0,-107.0,-107.0,-110.0,-110.0,383.0,-500.0,-110.0,-110.0,-110.0,-110.0,360.0,-475.0,-110.0,-110.0,-110.0,-110.0,388.0,-556.0,-110.0,-110.0,-110.0,-110.0,400.0,-520.0,-110.0,-110.0,-110.0,-110.0,400.0,-575.0,-110.0,-110.0,-117,-109,380,-560,-114,-112,-110.0,-110.0,390.0,-500.0,-110.0,-110.0
NBA,2025-11-16 01:34:17,2025-11-16 19:00,Houston Rockets,Orlando Magic,No,848.7,Yes,-113.56,-106.22,-342.67,272.22,-110.22,-109.78,West,Southwest,East,Southeast,-115.0,-105.0,-340.0,270.0,-105.0,-115.0,-111.0,-101.0,-327.0,271.0,-107.0,-107.0,-115.0,-105.0,-330.0,267.0,-110.0,-110.0,-115.0,-105.0,-350.0,280.0,-115.0,-105.0,-110.0,-110.0,-357.0,272.0,-110.0,-110.0,-114.0,-106.0,-335.0,270.0,-108.0,-112.0,-110.0,-110.0,-340.0,270.0,-115.0,-105.0,-117,-109,-375,280,-112,-114,-115.0,-105.0,-330.0,270.0,-110.0,-110.0
NBA,2025-11-16 01:34:17,2025-11-16 19:30,Dallas Mavericks,Portland Trail Blazers,No,1632.1,Yes,-111.78,-107.89,132.33,-156.11,-109.33,-110.44,West,Southwest,West,Northwest,-110.0,-110.0,136.0,-162.0,-110.0,-110.0,-111.0,-101.0,132.0,-149.0,-107.0,-107.0,-115.0,-105.0,130.0,-150.0,-110.0,-110.0,-110.0,-110.0,135.0,-160.0,-110.0,-110.0,-110.0,-110.0,130.0,-159.0,-110.0,-110.0,-112.0,-108.0,134.0,-158.0,-108.0,-112.0,-110.0,-110.0,130.0,-150.0,-105.0,-115.0,-113,-112,135,-167,-114,-110,-115.0,-105.0,129.0,-150.0,-110.0,-110.0
NBA,2025-11-16 01:34:17,2025-11-16 20:00,Phoenix Suns,Atlanta Hawks,No,1591.4,Yes,-110.11,-109.44,80.78,-122.89,-111.89,-108.22,West,Pacific,East,Southeast,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-106.0,-106.0,107.0,-123.0,-113.0,-102.0,-110.0,-110.0,105.0,-125.0,-115.0,-105.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-110.0,-110.0,100.0,-122.0,-110.0,-110.0,-110.0,-110.0,108.0,-126.0,-112.0,-108.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-115,-109,102,-125,-112,-114,-110.0,-110.0,105.0,-125.0,-115.0,-105.0
NBA,2025-11-16 01:34:17,2025-11-16 20:00,Utah Jazz,Chicago Bulls,No,1258.5,Yes,-111.67,-108.11,149.56,-178.56,-109.11,-110.78,West,Northwest,East,Central,-115.0,-105.0,154.0,-185.0,-115.0,-105.0,-111.0,-101.0,150.0,-170.0,-102.0,-113.0,-115.0,-105.0,149.0,-170.0,-105.0,-115.0,-115.0,-105.0,150.0,-185.0,-115.0,-105.0,-110.0,-110.0,147.0,-182.0,-110.0,-110.0,-110.0,-110.0,150.0,-180.0,-110.0,-110.0,-105.0,-115.0,150.0,-175.0,-110.0,-110.0,-109,-117,150,-190,-110,-114,-115.0,-105.0,146.0,-170.0,-105.0,-115.0
NBA,2025-11-16 01:34:17,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,
NBA,2025-11-16 01:34:17,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110,,,,,,
