League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-06 04:24:06,2025-12-06 17:10,Brooklyn Nets,New Orleans Pelicans,No,1169.5,No,-110.56,-109.22,-155.5,130.12,-109.44,-110.56,East,Atlantic,West,Southwest,-110,-110,-154,130,-110,-110,-109.0,-103.0,-149.0,132.0,-107.0,-107.0,-113.0,-107.0,-150.0,130.0,-110.0,-110.0,-110.0,-110.0,-159.0,129.0,-110.0,-110.0,-105,-115,-155,130,-110,-110,-113,-113,-162,130,-113,-113,-105.0,-115.0,-155.0,125.0,-105.0,-115.0,-115.0,-105.0,-160.0,135.0,-110.0,-110.0,-115.0,-105.0,,,-110.0,-110.0
NBA,2025-12-06 04:24:06,2025-12-06 19:10,Washington Wizards,Atlanta Hawks,Yes,542.8,Yes,-85.11,-112.44,316.38,-412.88,-109.89,-110.11,East,Southeast,East,Southeast,-106,-114,310,-400,-108,-112,101.0,-113.0,315.0,-386.0,-107.0,-107.0,-103.0,-117.0,310.0,-390.0,-110.0,-110.0,-110.0,-110.0,306.0,-417.0,-110.0,-110.0,-115,-105,320,-410,-110,-110,-113,-113,320,-435,-114,-112,-110.0,-110.0,320.0,-425.0,-110.0,-110.0,-105.0,-115.0,330.0,-440.0,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0
NBA,2025-12-06 04:24:06,2025-12-06 19:40,Cleveland Cavaliers,Golden State Warriors,No,2166.2,Yes,-109.33,-110.44,-302.5,243.25,-112.67,-107.44,East,Central,West,Pacific,-110,-110,-300,245,-114,-106,-101.0,-111.0,-297.0,248.0,-113.0,-102.0,-105.0,-115.0,-300.0,245.0,-115.0,-105.0,-110.0,-110.0,-313.0,243.0,-110.0,-110.0,-115,-105,-305,245,-110,-110,-113,-113,-305,230,-112,-114,-115.0,-105.0,-300.0,240.0,-115.0,-105.0,-110.0,-110.0,-300.0,250.0,-110.0,-110.0,-105.0,-115.0,,,-115.0,-105.0
NBA,2025-12-06 04:24:06,2025-12-06 19:40,Detroit Pistons,Milwaukee Bucks,Yes,252.3,Yes,-113.67,-106.11,-701.0,490.62,-110.89,-109.11,East,Central,East,Central,-114,-106,-620,460,-110,-110,-111.0,-101.0,-674.0,508.0,-107.0,-107.0,-115.0,-105.0,-685.0,497.0,-110.0,-110.0,-110.0,-110.0,-714.0,475.0,-110.0,-110.0,-115,-105,-700,500,-112,-108,-113,-113,-715,460,-114,-112,-115.0,-105.0,-750.0,525.0,-115.0,-105.0,-115.0,-105.0,-750.0,500.0,-110.0,-110.0,-115.0,-105.0,,,-110.0,-110.0
NBA,2025-12-06 04:24:06,2025-12-06 20:10,Minnesota Timberwolves,Los Angeles Clippers,No,1532.5,Yes,-108.67,-111.11,-487.38,365.25,-110.0,-110.0,West,Northwest,West,Pacific,-114,-106,-460,360,-110,-110,-106.0,-106.0,-469.0,374.0,-107.0,-107.0,-110.0,-110.0,-475.0,367.0,-110.0,-110.0,-110.0,-110.0,-500.0,356.0,-110.0,-110.0,-105,-115,-485,370,-105,-115,-113,-113,-530,370,-113,-113,-105.0,-115.0,-500.0,375.0,-115.0,-105.0,-105.0,-115.0,-480.0,350.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-12-06 04:24:06,2025-12-06 20:10,Miami Heat,Sacramento Kings,No,2551.5,Yes,-111.33,-108.44,-323.12,257.12,-112.56,-107.56,East,Southeast,West,Pacific,-114,-106,-300,245,-112,-108,-111.0,-101.0,-317.0,263.0,-113.0,-102.0,-115.0,-105.0,-320.0,260.0,-115.0,-105.0,-110.0,-110.0,-323.0,249.0,-110.0,-110.0,-105,-115,-325,260,-115,-105,-117,-109,-335,250,-113,-113,-105.0,-115.0,-325.0,260.0,-110.0,-110.0,-110.0,-110.0,-340.0,270.0,-110.0,-110.0,-115.0,-105.0,,,-115.0,-105.0
NBA,2025-12-06 04:24:06,2025-12-06 20:40,Dallas Mavericks,Houston Rockets,Yes,226.3,Yes,-109.11,-110.67,305.62,-392.5,-112.78,-107.22,West,Southwest,West,Southwest,-108,-112,330,-420,-114,-106,-106.0,-106.0,321.0,-395.0,-113.0,-102.0,-110.0,-110.0,316.0,-400.0,-115.0,-105.0,-110.0,-110.0,303.0,-400.0,-110.0,-110.0,-105,-115,310,-395,-115,-105,-113,-113,290,-385,-113,-112,-110.0,-110.0,290.0,-375.0,-110.0,-110.0,-110.0,-110.0,285.0,-370.0,-110.0,-110.0,-110.0,-110.0,,,-115.0,-105.0
NBA,2025-12-06 04:24:06,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-113.0,-108.67,-216.67,177.0,-109.67,-112.33,East,Southeast,East,Southeast,-114,-106,-210,176,-110,-110,,,,,,,,,,,,,,,,,,,-115,-105,-225,185,-105,-115,-110,-115,-215,170,-114,-112,,,,,,,,,,,,,,,,,,
NBA,2025-12-06 04:24:06,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-112.67,-109.33,125.33,-151.67,-110.0,-111.33,East,Atlantic,East,Atlantic,-110,-110,126,-148,-110,-110,,,,,,,,,,,,,,,,,,,-115,-105,130,-155,-110,-110,-113,-113,120,-152,-110,-114,,,,,,,,,,,,,,,,,,
NBA,2025-12-06 04:24:06,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-112.67,-109.0,-1216.67,716.67,-110.0,-111.33,West,Northwest,West,Pacific,-110,-110,-1200,750,-110,-110,,,,,,,,,,,,,,,,,,,-115,-105,-1200,750,-110,-110,-113,-112,-1250,650,-110,-114,,,,,,,,,,,,,,,,,,
