League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-02-12 17:32:52,2026-02-12 19:40,1c3809071b6a6e313c87dee15e46bdc1,Oklahoma City Thunder,Milwaukee Bucks,No,732.9,Yes,West,Northwest,East,Central,-111.44,-108.22,-11.5,11.5,-496.22,372.11,-109.22,-110.78,213.22,-110,-110,-500,385,-106,-114,-110,-110,-476,352,-110,-110,-112,-108,-500,380,-108,-112,-111,-101,-455,364,-107,-107,-115,-105,-460,358,-110,-110,-110,-110,-475,360,-110,-110,-115,-110,-590,400,-112,-114,-110.0,-110.0,-550.0,390.0,-110,-110,-110,-110,-460,360,-110,-110
NBA,2026-02-12 17:32:52,2026-02-12 21:10,ad2db051928cbc4c1ed6a3b861ac4538,Utah Jazz,Portland Trail Blazers,Yes,635.0,Yes,West,Northwest,West,Northwest,-110.12,-109.38,7.44,-7.44,232.38,-288.0,-109.89,-110.11,234.44,-114,-106,235,-290,-110,-110,-110,-110,223,-286,-110,-110,-112,-108,230,-285,-110,-110,-106,-106,237,-282,-107,-107,-110,-110,234,-285,-110,-110,-110,-110,240,-300,-110,-110,-109,-115,220,-286,-112,-114,,,,,-110,-110,-110,-110,240,-290,-110,-110
NBA,2026-02-12 17:32:52,2026-02-12 22:10,fdb123a858af8d533d901707df45960f,Los Angeles Lakers,Dallas Mavericks,No,1240.8,Yes,West,Pacific,West,Southwest,-107.22,-112.56,-6.5,6.5,-262.67,213.44,-110.67,-109.33,235.5,-110,-110,-270,220,-110,-110,-110,-110,-278,219,-110,-110,-105,-115,-258,210,-110,-110,-101,-111,-248,210,-107,-107,-105,-115,-250,207,-110,-110,-105,-115,-250,200,-115,-105,-114,-112,-275,210,-114,-112,-110.0,-110.0,-280.0,230.0,-110,-110,-105,-115,-255,215,-110,-110
