League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2026-04-11 06:30:33,2026-04-12 18:10,22dcb3e32847c7eab5774e8927016216,Miami Heat,Atlanta Hawks,Yes,604.6,No,East,Southeast,East,Southeast,-113.33,-107.67,6.33,-6.33,198.33,-246.67,-111.33,-110.0,243.5,-114,-106,200,-245,-112,-108,-118,-102,205,-250,-110,-110,-108,-115,190,-245,-112,-112
NBA,2026-04-11 06:30:33,2026-04-12 18:10,f78d40af453b24c39e18559579894d14,Boston Celtics,Orlando Magic,No,1115.0,No,East,Atlantic,East,Southeast,-108.33,-112.67,3.5,-3.5,136.33,-165.0,-109.0,-111.67,216.5,-106,-114,136,-162,-108,-112,-110,-110,140,-166,-110,-110,-109,-114,133,-167,-109,-113
NBA,2026-04-11 06:30:33,2026-04-12 18:10,38b10a0526d5b246097a502269bcdf71,New York Knicks,Charlotte Hornets,No,533.4,No,East,Atlantic,East,Southeast,-109.33,-112.0,7.5,-7.5,240.0,-301.67,-111.0,-110.0,215.5,-106,-114,245,-300,-110,-110,-110,-110,235,-290,-110,-110,-112,-112,240,-315,-113,-110
NBA,2026-04-11 06:30:33,2026-04-12 20:40,09604d4c311c1eb2215317d12154f42a,San Antonio Spurs,Denver Nuggets,No,803.4,Yes,West,Southwest,West,Northwest,-108.67,-112.33,-1.5,1.5,-120.67,33.0,-109.0,-112.33,238.83,-106,-114,-120,102,-110,-110,-110,-110,-120,100,-105,-115,-110,-113,-122,-103,-112,-112
NBA,2026-04-11 06:30:33,2026-04-12 20:40,06ccc7d0ba2acaf031c7d42eea09672c,Los Angeles Clippers,Golden State Warriors,Yes,348.5,Yes,West,Pacific,West,Pacific,-110.0,-111.0,-8.67,8.67,-356.67,278.33,-108.0,-113.0,224.5,-110,-110,-355,285,-110,-110,-110,-110,-355,280,-105,-115,-110,-113,-360,270,-109,-114
NBA,2026-04-11 06:30:33,2026-04-12 20:40,8c4fafe262a5424f243a130d7ab60e82,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,West,Northwest,West,Pacific,-115.67,-105.33,-5.5,5.5,-241.67,193.0,-108.67,-112.33,215.5,-114,-106,-240,194,-106,-114,-118,-102,-250,205,-110,-110,-115,-108,-235,180,-110,-113
NBA,2026-04-11 06:30:33,2026-04-12 20:40,3f5adb3e93b0c63eb14ed1d0e8b90a43,Portland Trail Blazers,Sacramento Kings,No,483.5,Yes,West,Northwest,West,Pacific,-111.0,-110.0,-16.5,16.5,-1376.67,786.67,-111.0,-110.0,228.5,-110,-110,-1350,810,-110,-110,-110,-110,-1350,800,-110,-110,-113,-110,-1430,750,-113,-110
