League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds
NBA,2026-04-11 14:46:02,2026-04-12 18:10,22dcb3e32847c7eab5774e8927016216,Miami Heat,Atlanta Hawks,Yes,604.6,No,East,Southeast,East,Southeast,-105.8,-113.2,6.6,-6.6,198.33,-246.67,-110.2,-109.4,243.5,-110,-110,200,-245,-112,-108,-105.0,-115.0,205.0,-250.0,-110.0,-110.0,-108,-115,190,-245,-112,-112,-101,-111,,,-107,-107,-105,-115,,,-110,-110
NBA,2026-04-11 14:46:02,2026-04-12 18:10,f78d40af453b24c39e18559579894d14,Boston Celtics,Orlando Magic,No,1115.0,No,East,Atlantic,East,Southeast,-110.2,-108.8,4.0,-4.0,140.33,-169.0,-112.2,-107.2,217.7,-106,-114,146,-174,-108,-112,-115.0,-105.0,140.0,-166.0,-110.0,-110.0,-108,-115,135,-167,-113,-109,-109,-103,,,-114,-101,-113,-107,,,-116,-104
NBA,2026-04-11 14:46:02,2026-04-12 18:10,d55bfef33abc5dc6dba0717236d0ee80,Toronto Raptors,Brooklyn Nets,Yes,344.5,No,East,Atlantic,East,Atlantic,-110.6,-108.6,-18.9,18.9,-2933.33,1233.33,-109.4,-110.0,217.5,-110,-110,-3500,1400,-110,-110,-115.0,-105.0,-2800.0,1300.0,-110.0,-110.0,-112,-112,-2500,1000,-110,-113,-106,-106,,,-107,-107,-110,-110,,,-110,-110
NBA,2026-04-11 14:46:02,2026-04-12 18:10,38b10a0526d5b246097a502269bcdf71,New York Knicks,Charlotte Hornets,No,533.4,No,East,Atlantic,East,Southeast,-109.6,-109.6,7.5,-7.5,243.33,-306.67,-110.0,-109.4,215.5,-110,-110,240,-295,-110,-110,-110.0,-110.0,250.0,-310.0,-110.0,-110.0,-112,-112,240,-315,-113,-110,-106,-106,,,-107,-107,-110,-110,,,-110,-110
NBA,2026-04-11 14:46:02,2026-04-12 18:10,ad75b36adad0af42dea87b9bcdfa91f8,Cleveland Cavaliers,Washington Wizards,No,305.1,No,East,Central,East,Southeast,-110.0,-109.0,-16.7,16.7,-1539.0,836.67,-110.0,-109.4,238.6,-110,-110,-1350,810,-110,-110,-110.0,-110.0,-1600.0,900.0,-110.0,-110.0,-114,-109,-1667,800,-113,-110,-106,-106,,,-107,-107,-110,-110,,,-110,-110
NBA,2026-04-11 14:46:02,2026-04-12 18:10,4675acfb68965858aa571a0493a222da,Indiana Pacers,Detroit Pistons,Yes,240.5,No,East,Central,East,Central,-108.2,-110.8,12.8,-12.8,516.67,-756.67,-109.4,-110.0,229.1,-114,-106,500,-700,-110,-110,-102.0,-118.0,550.0,-800.0,-110.0,-110.0,-109,-114,500,-770,-110,-113,-106,-106,,,-107,-107,-110,-110,,,-110,-110
NBA,2026-04-11 14:46:02,2026-04-12 18:10,23c66e71d25675800d939e532e38bcd2,Philadelphia 76ers,Milwaukee Bucks,No,695.4,No,East,Atlantic,East,Central,-108.6,-110.6,-16.1,16.1,-1183.33,716.67,-109.2,-110.2,227.5,-110,-110,-1200,750,-110,-110,-105.0,-115.0,-1100.0,700.0,-110.0,-110.0,-112,-112,-1250,700,-109,-114,-106,-106,,,-107,-107,-110,-110,,,-110,-110
NBA,2026-04-11 14:46:02,2026-04-12 20:40,c8cde1aa908581185caf0bb87659055a,Dallas Mavericks,Chicago Bulls,No,802.8,Yes,West,Southwest,East,Central,-110.0,-109.0,-7.5,7.5,-296.67,235.0,-109.4,-110.0,245.5,-110,-110,-295,240,-110,-110,-110.0,-110.0,-290.0,235.0,-110.0,-110.0,-114,-109,-305,230,-110,-113,-106,-106,,,-107,-107,-110,-110,,,-110,-110
NBA,2026-04-11 14:46:02,2026-04-12 20:40,09604d4c311c1eb2215317d12154f42a,San Antonio Spurs,Denver Nuggets,No,803.4,Yes,West,Southwest,West,Northwest,-111.6,-107.4,-4.6,4.6,-186.0,153.0,-109.4,-110.0,237.6,-112,-108,-196,164,-110,-110,-110.0,-110.0,-180.0,150.0,-110.0,-110.0,-110,-113,-182,145,-110,-113,-111,-101,,,-107,-107,-115,-105,,,-110,-110
NBA,2026-04-11 14:46:02,2026-04-12 20:40,06ccc7d0ba2acaf031c7d42eea09672c,Los Angeles Clippers,Golden State Warriors,Yes,348.5,Yes,West,Pacific,West,Pacific,-110.6,-108.6,-8.7,8.7,-351.67,276.67,-110.2,-109.2,225.4,-110,-110,-355,285,-110,-110,-110.0,-110.0,-355.0,280.0,-110.0,-110.0,-112,-112,-345,265,-114,-109,-111,-101,,,-107,-107,-110,-110,,,-110,-110
