League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2026-04-06 06:52:38,2026-04-06 19:10,dce0f3f389617fa7daa990c209ee8acc,Atlanta Hawks,New York Knicks,No,748.3,Yes,East,Southeast,East,Atlantic,-112.0,-107.33,-1.56,1.56,-124.22,104.22,-111.11,-108.56,229.0,-112,-108,-118,100,-110,-110,-115.0,-105.0,-122.0,102.0,-115.0,-105.0,-110.0,-112.0,-122.0,100.0,-113.0,-110.0,-115.0,-105.0,-128.0,108.0,-110.0,-110.0,-111.0,-101.0,-126.0,110.0,-107.0,-107.0,-115.0,-105.0,-125.0,105.0,-115.0,-105.0,-110.0,-110.0,-130.0,110.0,-110.0,-110.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-110.0,-110.0,-127.0,103.0,-110.0,-110.0
NBA,2026-04-06 06:52:38,2026-04-06 19:10,ec27c42246b5e40c34f4c2d93930ed20,Orlando Magic,Detroit Pistons,No,956.1,Yes,East,Southeast,East,Central,-85.78,-111.33,3.33,-3.33,136.33,-161.78,-111.67,-108.22,225.06,-106,-114,138,-164,-110,-110,-112.0,-108.0,130.0,-155.0,-110.0,-110.0,-110.0,-112.0,132.0,-165.0,-112.0,-112.0,-104.0,-116.0,138.0,-158.0,-115.0,-105.0,100.0,-112.0,139.0,-158.0,-113.0,-102.0,-110.0,-110.0,135.0,-165.0,-110.0,-110.0,-110.0,-110.0,138.0,-160.0,-115.0,-105.0,-110.0,-110.0,145.0,-170.0,-110.0,-110.0,-110.0,-110.0,132.0,-161.0,-110.0,-110.0
NBA,2026-04-06 06:52:38,2026-04-06 20:10,c2ff7eb921314ca5ebc2ad18db189374,Memphis Grizzlies,Cleveland Cavaliers,No,630.9,Yes,West,Southwest,East,Central,-109.78,-109.78,13.67,-13.67,756.22,-1263.56,-109.67,-110.11,237.94,-110,-110,750,-1200,-112,-108,-110.0,-110.0,800.0,-1350.0,-115.0,-105.0,-112.0,-112.0,600.0,-1000.0,-113.0,-110.0,-110.0,-110.0,836.0,-1400.0,-105.0,-115.0,-106.0,-106.0,872.0,-1365.0,-102.0,-113.0,-110.0,-110.0,700.0,-1100.0,-110.0,-110.0,-110.0,-110.0,825.0,-1400.0,-110.0,-110.0,-110.0,-110.0,650.0,-1100.0,-110.0,-110.0,-110.0,-110.0,773.0,-1457.0,-110.0,-110.0
NBA,2026-04-06 06:52:38,2026-04-06 20:10,14dede373d304abbddc590d2bcc81e4e,San Antonio Spurs,Philadelphia 76ers,No,1502.4,Yes,West,Southwest,East,Atlantic,-111.67,-107.78,-8.44,8.44,-357.0,281.11,-111.44,-108.33,236.39,-114,-106,-355,285,-110,-110,-110.0,-110.0,-355.0,280.0,-110.0,-110.0,-110.0,-113.0,-375.0,280.0,-110.0,-113.0,-115.0,-105.0,-355.0,285.0,-115.0,-105.0,-111.0,-101.0,-351.0,289.0,-113.0,-102.0,-110.0,-110.0,-350.0,275.0,-110.0,-110.0,-110.0,-110.0,-355.0,285.0,-115.0,-105.0,-115.0,-105.0,-360.0,280.0,-110.0,-110.0,-110.0,-110.0,-357.0,271.0,-110.0,-110.0
NBA,2026-04-06 06:52:38,2026-04-06 21:10,76e52ccb4140e4936de62dbadae0808d,Denver Nuggets,Portland Trail Blazers,Yes,981.8,Yes,West,Northwest,West,Northwest,-108.44,-111.0,-8.28,8.28,-334.33,265.44,-108.0,-111.78,240.28,-106,-114,-330,265,-110,-110,-105.0,-115.0,-340.0,270.0,-115.0,-105.0,-109.0,-114.0,-345.0,260.0,-110.0,-113.0,-110.0,-110.0,-325.0,263.0,-105.0,-115.0,-106.0,-106.0,-322.0,267.0,-102.0,-113.0,-105.0,-115.0,-325.0,260.0,-110.0,-110.0,-110.0,-110.0,-325.0,265.0,-105.0,-115.0,-115.0,-105.0,-340.0,270.0,-105.0,-115.0,-110.0,-110.0,-357.0,269.0,-110.0,-110.0
NBA,2026-04-06 06:52:38,2026-04-07 19:40,9aaa887e3f4a853902d6613072b2f35b,Toronto Raptors,Miami Heat,No,1232.1,Yes,East,Atlantic,East,Southeast,-110.0,-110.0,-2.5,2.5,-138.0,118.0,-110.0,-110.0,238.5,-110,-110,-138,118,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-06 06:52:38,2026-04-07 20:10,96d26f7a098eba89636e1a99c7c79d8d,Boston Celtics,Charlotte Hornets,No,721.0,Yes,East,Atlantic,East,Southeast,-110.0,-110.0,-6.5,6.5,-250.0,205.0,-112.0,-108.0,220.5,-110,-110,-250,205,-112,-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-06 06:52:38,2026-04-07 22:40,3133467540e08b88d68625ed9e975399,Los Angeles Clippers,Dallas Mavericks,No,1245.2,Yes,West,Pacific,West,Southwest,-110.0,-110.0,-11.0,11.0,-520.0,400.0,-114.0,-106.0,235.5,-110,-110,-520,400,-114,-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-06 06:52:38,2026-04-07 22:40,01f002eb30dfd24045740d4fbf68207e,Los Angeles Lakers,Oklahoma City Thunder,No,1182.5,Yes,West,Pacific,West,Northwest,-110.0,-110.0,14.5,-14.5,810.0,-1350.0,-110.0,-110.0,224.5,-110,-110,810,-1350,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-04-06 06:52:38,2026-04-07 23:10,6ec00d2267f0fe20067d4e2363a17162,Phoenix Suns,Houston Rockets,No,1016.4,Yes,West,Pacific,West,Southwest,-112.0,-108.0,2.0,-2.0,108.0,-126.0,-110.0,-110.0,218.5,-112,-108,108,-126,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
