League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-02-07 17:26:50,2026-02-07 15:11,b321b271a38a3a225bb32d4cda89c2ca,Brooklyn Nets,Washington Wizards,No,203.5,No,East,Atlantic,East,Southeast,23.5,-168.5,-13.12,13.12,,,180.0,-235.0,240.5,-125,-106,,,,,100,-130,,,,,240,-325,,,180,-235,-121,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-02-07 17:26:50,2026-02-07 15:41,734128222c2a03269132090adb3c593d,Oklahoma City Thunder,Houston Rockets,No,413.2,No,West,Northwest,West,Southwest,-70.8,-120.2,3.1,-3.1,153.2,-198.4,-126.4,-66.4,208.7,106,-140,172.0,-225.0,-152.0,114.0,-115,-115,154.0,-200.0,-125.0,-105.0,-110,-118,155.0,-200.0,-115,-115,-124,-110,150.0,-200.0,-115.0,-121.0,-111.0,-118.0,135.0,-167.0,-125.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-02-07 17:26:50,2026-02-07 18:10,b69d85cac76c01181ada3299bc50ed54,San Antonio Spurs,Dallas Mavericks,Yes,251.0,No,West,Southwest,West,Southwest,-109.33,-110.44,-11.11,11.11,-465.67,353.89,-109.22,-110.78,232.56,-110,-110,-460.0,360.0,-112.0,-108.0,-108,-112,-455.0,350.0,-112.0,-108.0,-105,-115,-475.0,360.0,-105,-115,-117,-109,-530.0,375.0,-112.0,-114.0,-110.0,-110.0,-476.0,343.0,-110.0,-110.0,-105.0,-107.0,-455.0,364.0,-107.0,-107.0,-109.0,-111.0,-460.0,358.0,-110.0,-110.0,-110.0,-110.0,-450.0,355.0,-110.0,-110.0,-110.0,-110.0,-430.0,320.0,-105.0,-115.0
NBA,2026-02-07 17:26:50,2026-02-07 19:10,a54af649958eb60284f57114fdeeb472,Orlando Magic,Utah Jazz,No,1918.5,Yes,East,Southeast,West,Northwest,-110.0,-109.67,-7.5,7.5,-292.44,235.89,-109.11,-110.89,235.28,-110,-110,-290.0,235.0,-110.0,-110.0,-108,-112,-290.0,235.0,-112.0,-108.0,-110,-110,-300.0,240.0,-105,-115,-115,-110,-315.0,235.0,-112.0,-114.0,-110.0,-110.0,-289.0,226.0,-110.0,-110.0,-104.0,-108.0,-282.0,237.0,-105.0,-109.0,-108.0,-112.0,-285.0,234.0,-108.0,-112.0,-110.0,-110.0,-291.0,241.0,-110.0,-110.0,-115.0,-105.0,-290.0,240.0,-110.0,-110.0
NBA,2026-02-07 17:26:50,2026-02-07 19:40,05cf7fd60949a0c52340284b261ae851,Atlanta Hawks,Charlotte Hornets,Yes,226.8,Yes,East,Southeast,East,Southeast,-110.22,-109.56,2.06,-2.06,109.33,-130.44,-110.11,-109.89,233.78,-108,-112,114.0,-134.0,-112.0,-108.0,-115,-105,110.0,-130.0,-108.0,-112.0,-115,-105,110.0,-135.0,-110,-110,-113,-113,104.0,-129.0,-114.0,-112.0,-110.0,-110.0,109.0,-133.0,-110.0,-110.0,-106.0,-106.0,112.0,-128.0,-107.0,-107.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-105.0,-115.0,105.0,-125.0,-110.0,-110.0
NBA,2026-02-07 17:26:50,2026-02-07 20:10,e9a14346272a3fc89154cc1bf1c5da1b,Chicago Bulls,Denver Nuggets,No,918.9,Yes,East,Central,West,Northwest,-110.56,-109.22,7.28,-7.28,218.0,-267.67,-110.67,-109.22,233.94,-110,-110,230.0,-280.0,-110.0,-110.0,-112,-108,220.0,-270.0,-110.0,-110.0,-115,-105,220.0,-275.0,-115,-105,-112,-114,215.0,-278.0,-110.0,-115.0,-110.0,-110.0,201.0,-253.0,-110.0,-110.0,-106.0,-106.0,218.0,-258.0,-109.0,-105.0,-110.0,-110.0,215.0,-260.0,-112.0,-108.0,-110.0,-110.0,218.0,-260.0,-110.0,-110.0,-110.0,-110.0,225.0,-275.0,-110.0,-110.0
NBA,2026-02-07 17:26:50,2026-02-07 20:40,076f5eadf0573f4dd2ace4f26ae28ef2,Los Angeles Lakers,Golden State Warriors,Yes,345.4,Yes,West,Pacific,West,Pacific,-108.67,-111.0,-2.0,2.0,-127.56,107.0,-109.44,-110.67,220.56,-105,-115,-134.0,114.0,-114.0,-106.0,-112,-108,-125.0,105.0,-110.0,-110.0,-115,-105,-125.0,105.0,-110,-110,-110,-115,-136.0,110.0,-114.0,-112.0,-110.0,-110.0,-126.0,103.0,-110.0,-110.0,-101.0,-111.0,-125.0,109.0,-102.0,-113.0,-105.0,-115.0,-127.0,107.0,-105.0,-115.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0
NBA,2026-02-07 17:26:50,2026-02-07 21:10,a809adbd88558364e25c834bbb5a88f0,Phoenix Suns,Philadelphia 76ers,No,2081.8,Yes,West,Pacific,East,Atlantic,-109.89,-109.78,-2.22,2.22,-138.33,116.44,-109.89,-110.11,224.0,-110,-110,-142.0,120.0,-110.0,-110.0,-108,-112,-135.0,114.0,-112.0,-108.0,-105,-115,-145.0,118.0,-110,-110,-110,-115,-137.0,110.0,-114.0,-112.0,-110.0,-110.0,-133.0,109.0,-110.0,-110.0,-111.0,-101.0,-133.0,117.0,-105.0,-109.0,-115.0,-105.0,-135.0,115.0,-108.0,-112.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0,-110.0,-110.0,-145.0,125.0,-110.0,-110.0
NBA,2026-02-07 17:26:50,2026-02-07 22:00,e4c99c288d8e1b1baf8bd7af1678ddb5,Portland Trail Blazers,Memphis Grizzlies,No,1849.4,Yes,West,Northwest,West,Southwest,-110.22,-109.44,-8.56,8.56,-330.33,263.44,-109.89,-109.89,233.56,-106,-114,-335.0,270.0,-112.0,-108.0,-112,-108,-325.0,260.0,-110.0,-110.0,-110,-110,-325.0,260.0,-110,-110,-110,-115,-335.0,250.0,-110.0,-114.0,-110.0,-110.0,-351.0,271.0,-110.0,-110.0,-110.0,-102.0,-317.0,263.0,-107.0,-107.0,-114.0,-106.0,-320.0,260.0,-110.0,-110.0,-115.0,-105.0,-335.0,272.0,-110.0,-110.0,-105.0,-115.0,-330.0,265.0,-110.0,-110.0
NBA,2026-02-07 17:26:50,2026-02-07 22:10,7b28a8f5733ef01c824181e1b5a42341,Sacramento Kings,Cleveland Cavaliers,No,2102.2,Yes,West,Pacific,East,Central,-109.56,-110.22,13.39,-13.39,502.11,-718.22,-108.89,-111.11,233.22,-110,-110,560.0,-800.0,-108.0,-112.0,-108,-112,500.0,-700.0,-110.0,-110.0,-110,-110,500.0,-700.0,-110,-110,-112,-114,550.0,-910.0,-115.0,-110.0,-110.0,-110.0,491.0,-714.0,-110.0,-110.0,-106.0,-106.0,487.0,-640.0,-102.0,-113.0,-110.0,-110.0,476.0,-650.0,-105.0,-115.0,-110.0,-110.0,530.0,-750.0,-110.0,-110.0,-110.0,-110.0,425.0,-600.0,-110.0,-110.0
