League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-01-12 13:39:54,2026-01-12 19:10,Cleveland Cavaliers,Utah Jazz,No,1569.1,Yes,-111.78,-108.0,-713.0,498.56,-108.5,-110.75,East,Central,West,Northwest,-114,-106,-670,490,-106,-114,-115,-105,-725,520,-110,-110,-111,-101,-713,533,-107,-107,-108,-112,-700,500,-110,-110,-113,-113,-770,480,,,-110,-110,-714,474,-110,-110,-115,-105,-650,450,-105,-115,-115,-105,-725,515,-110,-110,-105,-115,-750,525,-110,-110
NBA,2026-01-12 13:39:54,2026-01-12 19:40,Indiana Pacers,Boston Celtics,No,807.3,Yes,-110.22,-109.56,181.11,-219.0,-109.88,-109.38,East,Central,East,Atlantic,-114,-106,190,-230,-110,-110,-115,-105,183,-215,-110,-110,-111,-101,185,-214,-107,-107,-105,-115,185,-225,-112,-108,-112,-114,170,-220,,,-110,-110,182,-227,-110,-110,-105,-115,175,-210,-110,-110,-110,-110,180,-210,-110,-110,-110,-110,180,-220,-110,-110
NBA,2026-01-12 13:39:54,2026-01-12 19:40,Toronto Raptors,Philadelphia 76ers,Yes,337.5,Yes,-109.56,-110.22,129.11,-153.33,-110.25,-109.0,East,Atlantic,East,Atlantic,-108,-112,128,-152,-110,-110,-110,-110,130,-150,-110,-110,-106,-106,132,-149,-107,-107,-110,-110,130,-155,-110,-110,-112,-114,123,-155,,,-110,-110,130,-159,-110,-110,-115,-105,130,-150,-110,-110,-105,-115,134,-155,-110,-110,-110,-110,125,-155,-115,-105
NBA,2026-01-12 13:39:54,2026-01-12 20:40,Dallas Mavericks,Brooklyn Nets,No,1374.0,Yes,-109.33,-110.44,-166.89,140.33,-110.12,-109.12,West,Southwest,East,Atlantic,-106,-114,-164,138,-112,-108,-110,-110,-160,140,-110,-110,-106,-106,-160,141,-107,-107,-105,-115,-166,140,-112,-108,-112,-114,-175,138,,,-110,-110,-172,139,-110,-110,-110,-110,-170,145,-110,-110,-110,-110,-165,142,-110,-110,-115,-105,-170,140,-110,-110
NBA,2026-01-12 13:39:54,2026-01-12 22:10,Sacramento Kings,Los Angeles Lakers,Yes,361.1,Yes,-109.89,-109.89,297.22,-376.22,-110.5,-108.88,West,Pacific,West,Pacific,-114,-106,300,-375,-108,-112,-105,-115,303,-380,-115,-105,-101,-111,308,-376,-113,-102,-115,-105,300,-380,-108,-112,-114,-112,290,-385,,,-110,-110,294,-385,-110,-110,-110,-110,275,-350,-110,-110,-110,-110,305,-380,-110,-110,-110,-110,300,-375,-110,-110
NBA,2026-01-12 13:39:54,2026-01-12 22:40,Los Angeles Clippers,Charlotte Hornets,No,2127.1,Yes,-111.78,-107.89,-194.89,162.33,-109.88,-109.38,West,Pacific,East,Southeast,-115,-105,-198,166,-110,-110,-110,-110,-190,165,-110,-110,-106,-106,-190,166,-107,-107,-115,-105,-192,160,-112,-108,-110,-115,-200,155,,,-110,-110,-204,163,-110,-110,-110,-110,-195,165,-110,-110,-115,-105,-195,167,-110,-110,-115,-105,-190,154,-110,-110
