League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-01-04 23:19:08,2026-01-04 21:10,Sacramento Kings,Milwaukee Bucks,No,1775.2,Yes,-117.0,-113.5,1752.5,-5122.5,-59.5,-119.0,West,Pacific,East,Central,-125,-106,,,102,-136,-105.0,-133.0,,,-125.0,-105.0,-125,-105,,,-105,-125,-105.0,-115.0,205.0,-245.0,-110.0,-110.0,-125,-105,3300,-10000,,,-117,-117,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-04 23:19:08,2026-01-04 21:42,Los Angeles Lakers,Memphis Grizzlies,No,1604.9,Yes,-82.5,-81.83,130.0,-192.0,-115.2,-112.6,West,Pacific,West,Southwest,108,-144,240.0,-330.0,-118,-112,-143.0,105.0,175.0,-222.0,-118.0,-111.0,-115,-115,170.0,-220.0,-115,-115,-110.0,-110.0,-210.0,175.0,-110.0,-110.0,-118,-110,170,-220,-115.0,-115.0,-117,-117,235.0,-335.0,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-04 23:19:08,2026-01-05 19:10,Detroit Pistons,New York Knicks,No,482.2,Yes,-111.44,-108.33,124.89,-148.0,-110.88,-108.38,East,Central,East,Atlantic,-108,-112,122.0,-144.0,-110,-110,-110.0,-110.0,120.0,-147.0,-110.0,-110.0,-118,-102,124.0,-148.0,-115,-105,-110.0,-110.0,130.0,-150.0,-110.0,-110.0,-118,-102,125,-155,-115.0,-105.0,-113,-113,112.0,-139.0,,,-110.0,-110.0,130.0,-150.0,-110.0,-110.0,-106.0,-106.0,132.0,-149.0,-107.0,-107.0,-110.0,-110.0,129.0,-150.0,-110.0,-110.0
NBA,2026-01-04 23:19:08,2026-01-05 19:40,Toronto Raptors,Atlanta Hawks,No,733.5,Yes,-110.0,-109.67,-160.11,135.44,-109.88,-109.38,East,Atlantic,East,Southeast,-114,-106,-158.0,134.0,-110,-110,-110.0,-110.0,-159.0,130.0,-110.0,-110.0,-105,-115,-162.0,136.0,-112,-108,-110.0,-110.0,-160.0,135.0,-110.0,-110.0,-110,-110,-160,135,-110.0,-110.0,-115,-110,-162.0,130.0,,,-110.0,-110.0,-160.0,140.0,-110.0,-110.0,-106.0,-106.0,-160.0,141.0,-107.0,-107.0,-110.0,-110.0,-160.0,138.0,-110.0,-110.0
NBA,2026-01-04 23:19:08,2026-01-05 19:40,Boston Celtics,Chicago Bulls,No,852.9,Yes,-108.22,-111.44,-511.0,383.11,-108.88,-110.5,East,Atlantic,East,Central,-108,-112,-480.0,380.0,-114,-106,-110.0,-110.0,-526.0,380.0,-110.0,-110.0,-110,-110,-520.0,390.0,-110,-110,-110.0,-110.0,-550.0,390.0,-110.0,-110.0,-110,-110,-500,375,-115.0,-105.0,-115,-110,-500.0,350.0,,,-105.0,-115.0,-510.0,390.0,-105.0,-115.0,-101.0,-111.0,-503.0,398.0,-102.0,-113.0,-105.0,-115.0,-510.0,395.0,-105.0,-115.0
NBA,2026-01-04 23:19:08,2026-01-05 20:10,Oklahoma City Thunder,Charlotte Hornets,No,941.0,Yes,-113.29,-106.43,-1106.0,702.43,-108.83,-110.17,West,Northwest,East,Southeast,-108,-112,-1200.0,750.0,-106,-114,,,,,,,-115,-105,-1050.0,675.0,-110,-110,,,,,,,-115,-105,-1100,700,-110.0,-110.0,-114,-112,-1115.0,650.0,,,-115.0,-105.0,-1100.0,709.0,-110.0,-110.0,-111.0,-101.0,-1077.0,733.0,-107.0,-107.0,-115.0,-105.0,-1100.0,700.0,-110.0,-110.0
NBA,2026-01-04 23:19:08,2026-01-05 20:10,Houston Rockets,Phoenix Suns,No,1016.4,Yes,-108.33,-111.33,-302.83,243.0,-108.6,-110.2,West,Southwest,West,Pacific,-106,-114,-310.0,250.0,-106,-114,,,,,,,-105,-115,-305.0,245.0,-110,-110,,,,,,,-110,-110,-300,240,-110.0,-110.0,-113,-113,-305.0,230.0,,,-110.0,-110.0,-300.0,245.0,-110.0,-110.0,-106.0,-106.0,-297.0,248.0,-107.0,-107.0,,,,,,
NBA,2026-01-04 23:19:08,2026-01-05 20:40,Philadelphia 76ers,Denver Nuggets,No,1579.7,Yes,-108.0,-111.78,-588.56,428.67,-109.0,-110.25,East,Atlantic,West,Northwest,-110,-110,-560.0,420.0,-110,-110,-110.0,-110.0,-556.0,386.0,-110.0,-110.0,-112,-108,-575.0,425.0,-105,-115,-110.0,-110.0,-600.0,425.0,-110.0,-110.0,-110,-110,-625,450,-110.0,-110.0,-109,-117,-590.0,400.0,,,-105.0,-115.0,-600.0,446.0,-110.0,-110.0,-101.0,-111.0,-591.0,456.0,-107.0,-107.0,-105.0,-115.0,-600.0,450.0,-110.0,-110.0
NBA,2026-01-04 23:19:08,2026-01-05 22:10,Los Angeles Clippers,Golden State Warriors,Yes,348.5,Yes,-111.89,-107.89,-119.0,24.12,-108.88,-110.5,West,Pacific,West,Pacific,-112,-108,-118.0,100.0,-114,-106,-110.0,-110.0,-120.0,-101.0,-110.0,-110.0,-110,-110,-120.0,100.0,-115,-105,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-110,-110,-118,-102,-110.0,-110.0,-114,-112,-118.0,-106.0,,,-115.0,-105.0,-120.0,100.0,-105.0,-115.0,-111.0,-101.0,-118.0,102.0,-102.0,-113.0,-115.0,-105.0,,,-105.0,-115.0
NBA,2026-01-04 23:19:08,2026-01-05 22:10,Portland Trail Blazers,Utah Jazz,Yes,635.0,Yes,-107.11,-112.67,-236.44,194.22,-109.62,-109.62,West,Northwest,West,Northwest,-110,-110,-235.0,194.0,-112,-108,-110.0,-110.0,-250.0,197.0,-110.0,-110.0,-105,-115,-245.0,200.0,-108,-112,-110.0,-110.0,-245.0,205.0,-110.0,-110.0,-105,-115,-235,190,-110.0,-110.0,-113,-113,-230.0,180.0,,,-105.0,-115.0,-230.0,192.0,-110.0,-110.0,-101.0,-111.0,-228.0,195.0,-107.0,-107.0,-105.0,-115.0,-230.0,195.0,-110.0,-110.0
