League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-02-24 14:02:59,2026-02-24 19:10,56d8ed44cdc3ee05a77edd2ecb4a516b,Indiana Pacers,Philadelphia 76ers,No,583.9,Yes,East,Central,East,Atlantic,-110.22,-109.33,10.11,-10.11,351.56,-462.89,-109.67,-110.11,233.11,-106,-114,350,-450,-108,-112,-118,-102,350,-455,-105,-115,-112,-112,350,-480,-112,-112,-111,-101,364,-455,-107,-107,-115,-105,358,-460,-110,-110,-105,-115,350,-475,-115,-105,-110,-110,342,-476,-110,-110,-110,-110,360.0,-455.0,-110,-110,-105,-115,340,-460,-110,-110
NBA,2026-02-24 14:02:59,2026-02-24 19:40,9b47a98c27ee6ad7706c0e3a34887d12,Atlanta Hawks,Washington Wizards,Yes,542.8,Yes,East,Southeast,East,Southeast,-109.33,-110.0,-13.17,13.17,-791.89,544.11,-110.22,-109.44,236.56,-108,-112,-820,570,-112,-108,-105,-115,-750,525,-110,-110,-110,-112,-715,475,-113,-110,-111,-101,-786,576,-107,-107,-115,-105,-800,561,-110,-110,-105,-115,-800,550,-110,-110,-110,-110,-841,550,-110,-110,-110,-110,-815.0,565.0,-110,-110,-110,-110,-800,525,-110,-110
NBA,2026-02-24 14:02:59,2026-02-24 19:40,ba1cbfef82b196c39c27c0a78d2f22f4,Brooklyn Nets,Dallas Mavericks,No,1374.0,Yes,East,Atlantic,West,Southwest,-111.89,-107.56,2.11,-2.11,109.0,-130.22,-110.33,-109.44,226.28,-110,-110,110,-130,-114,-106,-118,-102,110,-130,-110,-110,-115,-108,102,-127,-112,-112,-106,-106,112,-128,-107,-107,-110,-110,110,-130,-110,-110,-118,-102,110,-135,-110,-110,-110,-110,107,-132,-110,-110,-110,-110,110.0,-130.0,-110,-110,-110,-110,110,-130,-110,-110
NBA,2026-02-24 14:02:59,2026-02-24 19:40,a4f9fe2c493fda08ff19d7c349948824,Cleveland Cavaliers,New York Knicks,No,404.7,Yes,East,Central,East,Atlantic,-109.0,-110.44,-4.11,4.11,-169.78,142.89,-110.44,-109.22,232.39,-110,-110,-166,140,-114,-106,-102,-118,-170,142,-110,-110,-110,-113,-175,140,-113,-110,-101,-111,-170,150,-107,-107,-105,-115,-170,149,-110,-110,-118,-102,-165,135,-110,-110,-110,-110,-172,139,-110,-110,-110,-110,-170.0,146.0,-110,-110,-115,-105,-170,145,-110,-110
NBA,2026-02-24 14:02:59,2026-02-24 19:40,9309db11d70c5cca506e8df2ce5e1fb3,Toronto Raptors,Oklahoma City Thunder,No,1117.4,Yes,East,Atlantic,West,Northwest,-108.78,-110.67,-1.67,1.67,-124.67,104.0,-111.89,-107.89,216.11,-108,-112,-122,104,-110,-110,-115,-105,-125,105,-115,-105,-110,-113,-130,105,-109,-114,-101,-111,-127,111,-113,-102,-105,-115,-125,105,-115,-105,-110,-110,-130,105,-110,-110,-110,-110,-123,101,-110,-110,-110,-110,-120.0,100.0,-110,-110,-110,-110,-120,100,-115,-105
NBA,2026-02-24 14:02:59,2026-02-24 20:10,afa313a4ac57c385b346c4d1b4912e3c,Chicago Bulls,Charlotte Hornets,No,589.3,Yes,East,Central,East,Southeast,-110.78,-108.67,8.56,-8.56,269.67,-339.56,-109.33,-110.33,232.67,-112,-108,265,-330,-112,-108,-110,-110,270,-340,-110,-110,-114,-109,255,-335,-110,-113,-106,-106,274,-331,-107,-107,-110,-110,270,-335,-110,-110,-110,-110,280,-350,-105,-115,-110,-110,271,-360,-110,-110,-110,-110,272.0,-335.0,-110,-110,-115,-105,270,-340,-110,-110
NBA,2026-02-24 14:02:59,2026-02-24 20:10,eeaef64ecae77969994ee0b8b56da256,New Orleans Pelicans,Golden State Warriors,No,1923.5,Yes,West,Southwest,West,Pacific,-109.0,-110.44,1.39,-1.39,12.0,-121.0,-109.89,-109.89,227.44,-105,-115,108,-126,-110,-110,-105,-115,105,-125,-110,-110,-110,-113,110,-136,-112,-112,-106,-106,-103,-113,-107,-107,-110,-110,-105,-115,-110,-110,-115,-105,-102,-118,-110,-110,-110,-110,-105,-116,-110,-110,-110,-110,100.0,-120.0,-110,-110,-110,-110,100,-120,-110,-110
NBA,2026-02-24 14:02:59,2026-02-24 20:10,d8b8e015e358036b0f8e3758c263ae24,Milwaukee Bucks,Miami Heat,No,1267.8,Yes,East,Central,East,Southeast,-110.89,-108.56,6.5,-6.5,201.11,-246.89,-109.22,-110.33,227.11,-114,-106,198,-240,-114,-106,-112,-108,205,-250,-108,-112,-115,-108,200,-265,-109,-113,-104,-108,210,-248,-107,-107,-108,-112,207,-250,-110,-110,-110,-110,200,-250,-105,-115,-110,-110,192,-244,-110,-110,-110,-110,203.0,-240.0,-110,-110,-115,-105,195,-235,-110,-110
NBA,2026-02-24 14:02:59,2026-02-24 21:10,0bd210b80d8411885dccc7164a922234,Phoenix Suns,Boston Celtics,No,2299.7,Yes,West,Pacific,East,Atlantic,-109.44,-110.11,5.33,-5.33,175.67,-210.44,-110.0,-109.78,204.22,-110,-110,168,-200,-106,-114,-112,-108,180,-218,-112,-108,-112,-112,160,-200,-114,-109,-101,-111,175,-200,-113,-102,-105,-115,174,-200,-110,-110,-115,-105,170,-210,-105,-115,-110,-110,164,-206,-110,-110,-110,-110,180.0,-210.0,-110,-110,-110,-110,210,-250,-110,-110
NBA,2026-02-24 14:02:59,2026-02-24 22:10,f1b2d64d6f68c92256c27ebe3868b62a,Portland Trail Blazers,Minnesota Timberwolves,Yes,1426.0,Yes,West,Northwest,West,Northwest,-84.33,-113.0,6.61,-6.61,215.12,-266.12,-110.56,-109.11,236.0,-108,-112,205,-250,-110,-110,-105,-115,215,-265,-115,-105,-112,-112,220,-286,-113,-110,100,-112,218,-258,-107,-107,-104,-116,215,-260,-110,-110,-105,-115,220,-275,-110,-110,-110,-110,213,-275,-110,-110,-105,-115,,,-110,-110,-110,-110,215,-260,-110,-110
