League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2025-11-03 13:32:55,2025-11-03 19:00,Indiana Pacers,Milwaukee Bucks,Yes,244.2,Yes,-110.0,-109.78,184.44,-223.67,-111.22,-108.89,East,Central,East,Central,-115.0,-105.0,185.0,-225.0,-112.0,-108.0,-101.0,-111.0,187.0,-217.0,-113.0,-102.0,-105.0,-115.0,185.0,-218.0,-115.0,-105.0,-112.0,-108.0,184.0,-220.0,-108.0,-112.0,-110.0,-110.0,184.0,-233.0,-110.0,-110.0,-117,-109,170,-220,-113,-113,-115.0,-105.0,185.0,-225.0,-110.0,-110.0,-110.0,-110.0,185.0,-220.0,-110.0,-110.0,-105.0,-115.0,195.0,-235.0,-110.0,-110.0
NBA,2025-11-03 13:32:55,2025-11-03 19:10,Brooklyn Nets,Minnesota Timberwolves,No,1021.6,Yes,-109.56,-110.11,297.56,-380.11,-111.44,-108.56,East,Atlantic,West,Northwest,-105.0,-115.0,295.0,-375.0,-115.0,-105.0,-111.0,-101.0,304.0,-371.0,-107.0,-107.0,-115.0,-105.0,299.0,-375.0,-110.0,-110.0,-110.0,-110.0,300.0,-375.0,-114.0,-106.0,-110.0,-110.0,295.0,-385.0,-110.0,-110.0,-110,-115,300,-400,-112,-114,-105.0,-115.0,290.0,-375.0,-115.0,-105.0,-110.0,-110.0,300.0,-375.0,-110.0,-110.0,-110.0,-110.0,295.0,-390.0,-110.0,-110.0
NBA,2025-11-03 13:32:55,2025-11-03 19:40,Boston Celtics,Utah Jazz,No,2099.0,Yes,-110.89,-108.89,-471.11,357.44,-109.78,-110.22,East,Atlantic,West,Northwest,-115.0,-105.0,-470.0,360.0,-108.0,-112.0,-106.0,-106.0,-455.0,364.0,-107.0,-107.0,-110.0,-110.0,-460.0,358.0,-110.0,-110.0,-110.0,-110.0,-480.0,370.0,-110.0,-110.0,-110.0,-110.0,-455.0,340.0,-110.0,-110.0,-112,-114,-480,340,-113,-113,-115.0,-105.0,-500.0,375.0,-110.0,-110.0,-110.0,-110.0,-460.0,360.0,-110.0,-110.0,-110.0,-110.0,-480.0,350.0,-110.0,-110.0
NBA,2025-11-03 13:32:55,2025-11-03 19:40,New York Knicks,Washington Wizards,No,205.6,Yes,-112.78,-106.89,-666.11,473.44,-110.0,-110.11,East,Atlantic,East,Southeast,-115.0,-105.0,-650.0,470.0,-110.0,-110.0,-111.0,-101.0,-610.0,468.0,-102.0,-113.0,-115.0,-105.0,-620.0,458.0,-105.0,-115.0,-114.0,-106.0,-700.0,500.0,-114.0,-106.0,-110.0,-110.0,-625.0,430.0,-110.0,-110.0,-115,-110,-715,475,-114,-112,-115.0,-105.0,-750.0,525.0,-110.0,-110.0,-115.0,-105.0,-650.0,475.0,-110.0,-110.0,-105.0,-115.0,-675.0,460.0,-115.0,-105.0
NBA,2025-11-03 13:32:55,2025-11-03 20:10,Houston Rockets,Dallas Mavericks,Yes,226.3,Yes,-112.22,-107.33,-685.33,486.22,-111.22,-108.89,West,Southwest,West,Southwest,-115.0,-105.0,-675.0,490.0,-105.0,-115.0,-111.0,-101.0,-664.0,502.0,-113.0,-102.0,-115.0,-105.0,-675.0,491.0,-115.0,-105.0,-114.0,-106.0,-650.0,480.0,-110.0,-110.0,-110.0,-110.0,-714.0,473.0,-110.0,-110.0,-110,-114,-715,475,-113,-113,-115.0,-105.0,-700.0,500.0,-115.0,-105.0,-115.0,-105.0,-675.0,490.0,-110.0,-110.0,-105.0,-115.0,-700.0,475.0,-110.0,-110.0
NBA,2025-11-03 13:32:55,2025-11-03 20:10,Memphis Grizzlies,Detroit Pistons,No,623.7,Yes,-111.0,-108.78,159.22,-189.67,-109.11,-110.89,West,Southwest,East,Central,-115.0,-105.0,160.0,-192.0,-105.0,-115.0,-106.0,-106.0,166.0,-190.0,-107.0,-107.0,-110.0,-110.0,165.0,-190.0,-110.0,-110.0,-110.0,-110.0,160.0,-190.0,-112.0,-108.0,-110.0,-110.0,149.0,-185.0,-110.0,-110.0,-113,-113,155,-195,-113,-113,-110.0,-110.0,155.0,-190.0,-105.0,-115.0,-110.0,-110.0,163.0,-190.0,-110.0,-110.0,-115.0,-105.0,160.0,-185.0,-110.0,-110.0
NBA,2025-11-03 13:32:55,2025-11-03 21:00,Denver Nuggets,Sacramento Kings,No,888.1,Yes,-112.0,-107.78,-598.0,435.22,-109.89,-110.0,West,Northwest,West,Pacific,-115.0,-105.0,-600.0,440.0,-110.0,-110.0,-111.0,-101.0,-576.0,446.0,-107.0,-107.0,-115.0,-105.0,-585.0,437.0,-110.0,-110.0,-114.0,-106.0,-590.0,430.0,-114.0,-106.0,-110.0,-110.0,-631.0,434.0,-110.0,-110.0,-113,-113,-590,410,-113,-112,-115.0,-105.0,-625.0,450.0,-105.0,-115.0,-110.0,-110.0,-585.0,445.0,-110.0,-110.0,-105.0,-115.0,-600.0,425.0,-110.0,-110.0
NBA,2025-11-03 13:32:55,2025-11-03 22:10,Portland Trail Blazers,Los Angeles Lakers,No,826.1,Yes,-110.89,-108.78,-147.89,125.0,-110.67,-109.44,West,Northwest,West,Pacific,-105.0,-115.0,-148.0,124.0,-105.0,-115.0,-111.0,-101.0,-146.0,129.0,-113.0,-102.0,-115.0,-105.0,-147.0,127.0,-115.0,-105.0,-112.0,-108.0,-146.0,124.0,-110.0,-110.0,-110.0,-110.0,-152.0,124.0,-110.0,-110.0,-115,-110,-150,120,-113,-113,-105.0,-115.0,-150.0,125.0,-110.0,-110.0,-115.0,-105.0,-147.0,127.0,-110.0,-110.0,-110.0,-110.0,-145.0,125.0,-110.0,-110.0
NBA,2025-11-03 13:32:55,2025-11-03 22:40,Los Angeles Clippers,Miami Heat,No,2344.1,Yes,-111.0,-108.56,-321.11,257.89,-108.44,-111.67,West,Pacific,East,Southeast,-118.0,-102.0,-325.0,260.0,-110.0,-110.0,-106.0,-106.0,-322.0,267.0,-102.0,-113.0,-110.0,-110.0,-325.0,263.0,-105.0,-115.0,-106.0,-114.0,-320.0,260.0,-106.0,-114.0,-110.0,-110.0,-313.0,241.0,-110.0,-110.0,-114,-110,-335,255,-113,-113,-115.0,-105.0,-325.0,260.0,-110.0,-110.0,-110.0,-110.0,-325.0,265.0,-110.0,-110.0,-110.0,-110.0,-300.0,250.0,-110.0,-110.0
NBA,2025-11-03 13:32:55,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,,,,,,,
NBA,2025-11-03 13:32:55,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-200,160,-114,-112,,,,,,,,,,,,,,,,,,
NBA,2025-11-03 13:32:55,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117,-109,-220,175,-112,-114,,,,,,,,,,,,,,,,,,
