League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds
NBA,2026-01-06 04:31:54,2026-01-06 19:10,Indiana Pacers,Cleveland Cavaliers,Yes,263.5,Yes,-107.88,-111.75,181.62,-219.75,-109.14,-110.0,East,Central,East,Central,-110,-110,180,-215,-112,-108,-110,-110,180,-227,-110,-110,-112,-113,170,-215,,,-101,-111,191,-223,-107,-107,-105,-115,189,-225,-110,-110,-105,-115,183,-215,-110,-110,-110.0,-110.0,180.0,-220.0,-110,-110,-110,-110,180,-218,-105,-115
NBA,2026-01-06 04:31:54,2026-01-06 19:10,Washington Wizards,Orlando Magic,Yes,756.6,Yes,-109.12,-110.62,223.5,-274.5,-108.86,-110.29,East,Southeast,East,Southeast,-110,-110,225,-275,-110,-110,-110,-110,226,-286,-110,-110,-114,-112,205,-265,,,-101,-111,225,-267,-107,-107,-105,-115,222,-270,-110,-110,-105,-115,225,-270,-110,-110,-110.0,-110.0,235.0,-285.0,-110,-110,-118,-102,225,-278,-105,-115
NBA,2026-01-06 04:31:54,2026-01-06 20:10,New Orleans Pelicans,Los Angeles Lakers,No,1673.5,Yes,-109.62,-110.12,174.62,-209.12,-115.71,-17.86,West,Southwest,West,Pacific,-112,-108,164,-196,-114,-106,-110,-110,167,-208,-110,-110,-112,-114,160,-200,,,-106,-106,185,-214,-118,103,-110,-110,183,-215,-120,100,-110,-110,183,-215,-120,100,-115.0,-105.0,170.0,-200.0,-110,-110,-102,-118,185,-225,-118,-102
NBA,2026-01-06 04:31:54,2026-01-06 20:10,Memphis Grizzlies,San Antonio Spurs,Yes,628.7,Yes,-105.5,-114.0,184.38,-223.38,-109.86,-109.29,West,Southwest,West,Southwest,-106,-114,180,-215,-110,-110,-110,-110,186,-233,-110,-110,-110,-114,175,-225,,,-101,-111,188,-219,-107,-107,-105,-115,186,-220,-110,-110,-105,-115,185,-220,-110,-110,-105.0,-115.0,185.0,-225.0,-110,-110,-102,-118,190,-230,-112,-108
NBA,2026-01-06 04:31:54,2026-01-06 20:10,Minnesota Timberwolves,Miami Heat,No,1511.3,Yes,-112.5,-107.0,-221.25,183.0,-109.57,-109.57,West,Northwest,East,Southeast,-114,-106,-225,188,-108,-112,-110,-110,-233,185,-110,-110,-114,-110,-225,175,,,-109,-103,-214,185,-107,-107,-113,-107,-215,183,-110,-110,-115,-105,-215,183,-110,-110,-110.0,-110.0,-225.0,185.0,-110,-110,-115,-105,-218,180,-112,-108
NBA,2026-01-06 04:31:54,2026-01-06 23:10,Sacramento Kings,Dallas Mavericks,No,1439.9,Yes,-113.29,-106.29,175.71,-210.57,-108.14,-111.14,West,Pacific,West,Southwest,-112,-108,172,-205,-110,-110,-110,-110,177,-222,-110,-110,-115,-110,170,-215,,,-111,-101,179,-204,-102,-113,-115,-105,177,-205,-105,-115,-115,-105,175,-205,-105,-115,,,,,-110,-110,-115,-105,180,-218,-115,-105
