League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-06 16:21:12,2025-12-06 17:10,Brooklyn Nets,New Orleans Pelicans,No,1169.5,No,-111.11,-108.67,-166.56,140.22,-109.33,-110.78,East,Atlantic,West,Southwest,-115,-105,-174,146,-110,-110,-106.0,-106.0,-162.0,143.0,-102.0,-113.0,-110.0,-110.0,-162.0,142.0,-105.0,-115.0,-110.0,-110.0,-164.0,134.0,-110.0,-110.0,-112,-108,-170,142,-115,-105,-117,-109,-167,133,-112,-114,-110.0,-110.0,-165.0,135.0,-110.0,-110.0,-110.0,-110.0,-170.0,145.0,-110.0,-110.0,-110.0,-110.0,-165.0,142.0,-110.0,-110.0
NBA,2025-12-06 16:21:12,2025-12-06 19:10,Washington Wizards,Atlanta Hawks,Yes,542.8,Yes,-109.0,-110.78,329.56,-429.44,-110.22,-109.78,East,Southeast,East,Southeast,-106,-114,340,-430,-112,-108,-106.0,-106.0,340.0,-420.0,-110.0,-104.0,-110.0,-110.0,334.0,-425.0,-113.0,-107.0,-110.0,-110.0,321.0,-435.0,-110.0,-110.0,-110,-110,330,-425,-108,-112,-109,-117,310,-420,-114,-112,-110.0,-110.0,333.0,-450.0,-105.0,-115.0,-110.0,-110.0,325.0,-435.0,-110.0,-110.0,-110.0,-110.0,333.0,-425.0,-110.0,-110.0
NBA,2025-12-06 16:21:12,2025-12-06 19:40,Cleveland Cavaliers,Golden State Warriors,No,2166.2,Yes,-111.78,-107.89,-303.89,245.33,-111.78,-108.22,East,Central,West,Pacific,-108,-112,-310,250,-110,-110,-111.0,-101.0,-307.0,256.0,-107.0,-107.0,-115.0,-105.0,-310.0,252.0,-110.0,-110.0,-110.0,-110.0,-303.0,235.0,-110.0,-110.0,-112,-108,-310,250,-115,-105,-115,-110,-295,225,-114,-112,-110.0,-110.0,-300.0,240.0,-110.0,-110.0,-110.0,-110.0,-300.0,250.0,-115.0,-105.0,-115.0,-105.0,-300.0,250.0,-115.0,-105.0
NBA,2025-12-06 16:21:12,2025-12-06 19:40,Detroit Pistons,Milwaukee Bucks,Yes,252.3,Yes,-109.33,-110.33,-669.67,476.67,-110.67,-109.33,East,Central,East,Central,-110,-110,-700,490,-110,-110,-106.0,-106.0,-640.0,487.0,-107.0,-107.0,-110.0,-110.0,-650.0,476.0,-110.0,-110.0,-110.0,-110.0,-667.0,462.0,-110.0,-110.0,-108,-112,-675,490,-112,-108,-110,-115,-670,450,-112,-114,-110.0,-110.0,-700.0,500.0,-115.0,-105.0,-110.0,-110.0,-675.0,460.0,-110.0,-110.0,-110.0,-110.0,-650.0,475.0,-110.0,-110.0
NBA,2025-12-06 16:21:12,2025-12-06 20:10,Minnesota Timberwolves,Los Angeles Clippers,No,1532.5,Yes,-107.22,-112.33,-404.11,311.33,-110.0,-109.78,West,Northwest,West,Pacific,-108,-112,-390,310,-114,-106,-101.0,-111.0,-395.0,321.0,-107.0,-107.0,-105.0,-115.0,-400.0,316.0,-110.0,-110.0,-110.0,-110.0,-417.0,310.0,-110.0,-110.0,-112,-108,-375,295,-115,-105,-109,-115,-435,310,-114,-110,-105.0,-115.0,-425.0,320.0,-105.0,-115.0,-110.0,-110.0,-400.0,300.0,-105.0,-115.0,-105.0,-115.0,-400.0,320.0,-110.0,-110.0
NBA,2025-12-06 16:21:12,2025-12-06 20:10,Miami Heat,Sacramento Kings,No,2551.5,Yes,-85.89,-111.67,-385.67,301.22,-110.0,-110.0,East,Southeast,West,Pacific,-112,-108,-390,310,-110,-110,-106.0,-106.0,-376.0,308.0,-107.0,-107.0,-110.0,-110.0,-380.0,303.0,-110.0,-110.0,-110.0,-110.0,-385.0,290.0,-110.0,-110.0,102,-122,-395,310,-105,-115,-112,-114,-385,285,-113,-113,-105.0,-115.0,-400.0,310.0,-115.0,-105.0,-110.0,-110.0,-380.0,290.0,-110.0,-110.0,-110.0,-110.0,-380.0,305.0,-110.0,-110.0
NBA,2025-12-06 16:21:12,2025-12-06 20:40,Dallas Mavericks,Houston Rockets,Yes,226.3,Yes,-110.11,-109.44,241.0,-298.33,-111.67,-108.44,West,Southwest,West,Southwest,-110,-110,260,-320,-110,-110,-108.0,-104.0,241.0,-287.0,-113.0,-102.0,-112.0,-108.0,237.0,-290.0,-115.0,-105.0,-110.0,-110.0,236.0,-303.0,-110.0,-110.0,-112,-108,235,-290,-115,-105,-109,-115,240,-315,-112,-114,-110.0,-110.0,240.0,-300.0,-110.0,-110.0,-110.0,-110.0,240.0,-290.0,-110.0,-110.0,-110.0,-110.0,240.0,-290.0,-110.0,-110.0
NBA,2025-12-06 16:21:12,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-113.0,-108.67,-218.33,178.67,-109.67,-112.33,East,Southeast,East,Southeast,-114,-106,-210,176,-110,-110,,,,,,,,,,,,,,,,,,,-115,-105,-230,190,-105,-115,-110,-115,-215,170,-114,-112,,,,,,,,,,,,,,,,,,
NBA,2025-12-06 16:21:12,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-112.67,-109.33,123.33,-149.33,-110.0,-111.33,East,Atlantic,East,Atlantic,-110,-110,126,-148,-110,-110,,,,,,,,,,,,,,,,,,,-115,-105,124,-148,-110,-110,-113,-113,120,-152,-110,-114,,,,,,,,,,,,,,,,,,
NBA,2025-12-06 16:21:12,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-112.67,-109.0,-1216.67,716.67,-110.0,-111.33,West,Northwest,West,Pacific,-110,-110,-1200,750,-110,-110,,,,,,,,,,,,,,,,,,,-115,-105,-1200,750,-110,-110,-113,-112,-1250,650,-110,-114,,,,,,,,,,,,,,,,,,
NBA,2025-12-06 16:21:12,2025-12-10 22:00,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,-111.33,-110.67,-164.33,136.33,-112.67,-109.33,West,Pacific,West,Southwest,-110,-110,-164,138,-110,-110,,,,,,,,,,,,,,,,,,,-110,-110,-162,136,-115,-105,-114,-112,-167,135,-113,-113,,,,,,,,,,,,,,,,,,
