League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-22 18:58:34,2026-05-22 20:40,7b814a0bc57622abcbc708d9e9a27fca,San Antonio Spurs,Oklahoma City Thunder,No,419.4,Yes,West,Southwest,West,Northwest,-111.0,-108.56,-1.72,1.72,-126.44,106.11,-109.89,-109.67,218.39,-112,-108,-124,106,-108,-112,-112,-112,-132,106,-112,-110,-105,-115,-130,110,-110,-110,-110,-102,-122,106,-109,-105,-115,-105,-130,110,-110,-110,-110,-110,-124,104,-110,-110,-115,-105,-125,105,-110,-110,-110,-110,-126,103,-110,-110,-110.0,-110.0,-125.0,105.0,-110.0,-110.0
NBA,2026-05-22 18:58:34,2026-05-23 20:10,4247d31ac7706ebe455b8f221c9e4184,Cleveland Cavaliers,New York Knicks,No,404.7,Yes,East,Central,East,Atlantic,-109.12,-110.25,-2.5,2.5,-135.75,114.12,-109.5,-110.0,213.94,-108,-112,-130,110,-112,-108,-109,-114,-137,112,-112,-110,-110,-110,-135,114,-110,-110,-106,-106,-133,117,-107,-107,-110,-110,-140,115,-105,-115,-110,-110,-135,115,-110,-110,-110,-110,-135,115,-110,-110,-110,-110,-141,115,-110,-110,,,,,,
