League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-01 18:50:41,2026-05-01 19:10,88e10294c54deffd6e9e6efcba249d2c,Orlando Magic,Detroit Pistons,No,956.1,Yes,East,Southeast,East,Central,-88.44,-107.78,3.5,-3.5,134.56,-159.44,-109.78,-110.11,210.67,-115,-105,136,-162,-105,-115,-112,-112,132,-165,-112,-112,-114,-106,134,-158,-108,-112,100,-110,140,-165,-105,-115,-115,-105,133,-153,-115,-105,-110,-102,134,-152,-113,-102,-110,-110,135,-167,-110,-110,-110,-110,135,-160,-110,-110,-110.0,-110.0,132.0,-153.0,-110.0,-110.0
NBA,2026-05-01 18:50:41,2026-05-01 19:40,d1938a9c13602a661e894f996f2680e8,Toronto Raptors,Cleveland Cavaliers,No,189.3,Yes,East,Atlantic,East,Central,-107.67,-111.67,4.78,-4.78,166.78,-199.44,-110.22,-109.44,219.0,-105,-115,170,-205,-110,-110,-107,-115,155,-195,-110,-113,-106,-114,166,-200,-115,-105,-105,-115,165,-200,-110,-110,-110,-110,169,-194,-110,-110,-106,-106,170,-194,-107,-107,-110,-110,174,-217,-110,-110,-110,-110,165,-195,-110,-110,-110.0,-110.0,167.0,-195.0,-110.0,-110.0
NBA,2026-05-01 18:50:41,2026-05-01 21:40,c361a0b8c035a055bd9497b52674e3fb,Houston Rockets,Los Angeles Lakers,No,1375.3,Yes,West,Southwest,West,Pacific,-115.0,-60.22,-3.61,3.61,-166.56,140.22,-110.89,-108.89,204.5,-118,-102,-166,140,-110,-110,-113,-110,-175,140,-110,-113,-118,-104,-162,136,-110,-110,-120,100,-170,140,-110,-110,-115,-105,-162,142,-115,-105,-111,-101,-162,143,-113,-102,-110,-110,-172,139,-110,-110,-120,100,-165,140,-110,-110,-110.0,-110.0,-165.0,142.0,-110.0,-110.0
NBA,2026-05-01 18:50:41,2026-05-02 19:40,a37e80a2e3cf3aaa3ae84a9124987058,Boston Celtics,Philadelphia 76ers,Yes,273.6,Yes,East,Atlantic,East,Atlantic,-112.12,-107.25,-7.69,7.69,-295.5,238.38,-110.12,-109.62,205.56,-115,-105,-290,235,-110,-110,-113,-110,-305,235,-112,-112,-115,-105,-295,240,-112,-108,-118,-102,-300,240,-110,-110,-110,-110,-285,234,-110,-110,-106,-106,-282,237,-107,-107,-110,-110,-307,236,-110,-110,-110,-110,-300,250,-110,-110,,,,,,
NBA,2026-05-01 18:50:41,2026-05-04 21:30,219920e3a715ceb3dc69f3638f7571d5,San Antonio Spurs,Minnesota Timberwolves,No,1109.0,Yes,West,Southwest,West,Northwest,-110.12,-109.25,-14.06,14.06,-930.25,608.0,-109.88,-109.75,216.5,-110,-110,-1000,650,-110,-110,-114,-109,-1000,600,-110,-113,-106,-114,-900,610,-112,-108,-115,-105,-1000,625,-110,-110,-110,-110,-900,613,-110,-110,-106,-106,-883,631,-107,-107,-110,-110,-909,585,-110,-110,-110,-110,-850,550,-110,-110,,,,,,
