League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2026-02-27 05:33:53,2026-02-27 19:10,cf8cdaeaad30f552b5926615f7d28cab,Detroit Pistons,Cleveland Cavaliers,Yes,91.4,Yes,East,Central,East,Central,-110.44,-109.0,-6.22,6.22,-249.44,204.56,-109.67,-109.89,225.67,-112,-108,-240,198,-108,-112,-108,-112,-258,210,-112,-108,-111,-101,-253,214,-107,-107,-115,-105,-255,211,-110,-110,-115,-105,-255,215,-110,-110,-108,-115,-245,190,-110,-112,-105,-115,-235,195,-110,-110,-110,-110,-260,215,-110,-110,-110,-110,-244,193,-110,-110
NBA,2026-02-27 05:33:53,2026-02-27 19:40,e1e1a9d8e15113a1bd412d2137a14251,Boston Celtics,Brooklyn Nets,Yes,190.6,Yes,East,Atlantic,East,Atlantic,-111.67,-107.89,-17.56,17.56,-1473.44,825.78,-108.78,-111.0,208.39,-110,-110,-1350,810,-105,-115,-112,-108,-1450,850,-105,-115,-111,-101,-1365,872,-107,-107,-115,-105,-1400,836,-110,-110,-115,-105,-1400,825,-110,-110,-112,-112,-1667,800,-112,-112,-115,-105,-1600,850,-110,-110,-105,-115,-1600,800,-110,-110,-110,-110,-1429,789,-110,-110
NBA,2026-02-27 05:33:53,2026-02-27 20:10,0187f9083f62982033a3af48bf31bec9,Milwaukee Bucks,New York Knicks,No,734.3,Yes,East,Central,East,Atlantic,-108.0,-111.44,7.67,-7.67,249.22,-309.0,-107.44,-112.33,221.94,-110,-110,240,-295,-110,-110,-108,-112,245,-305,-110,-110,-101,-111,267,-322,-102,-113,-105,-115,263,-325,-105,-115,-105,-115,265,-325,-105,-115,-113,-110,245,-315,-110,-113,-110,-110,240,-300,-105,-115,-110,-110,250,-300,-110,-110,-110,-110,228,-294,-110,-110
NBA,2026-02-27 05:33:53,2026-02-27 20:40,173782733e149dd225b1ee09169ee375,Dallas Mavericks,Memphis Grizzlies,Yes,420.5,Yes,West,Southwest,West,Southwest,-111.33,-108.11,-4.94,4.94,-209.11,174.11,-109.89,-109.89,238.0,-110,-110,-235,194,-110,-110,-118,-102,-205,170,-110,-110,-106,-106,-195,171,-107,-107,-110,-110,-195,170,-110,-110,-110,-110,-195,167,-110,-110,-113,-110,-220,175,-112,-112,-115,-105,-210,170,-115,-105,-110,-110,-200,170,-105,-115,-110,-110,-227,180,-110,-110
NBA,2026-02-27 05:33:53,2026-02-27 21:40,97389f0f24c00f44acf93382323f7d0a,Oklahoma City Thunder,Denver Nuggets,Yes,506.0,Yes,West,Northwest,West,Northwest,-107.78,-111.67,-8.22,8.22,-315.0,252.78,-108.67,-111.0,233.06,-106,-114,-295,240,-106,-114,-102,-118,-310,250,-105,-115,-106,-106,-317,263,-107,-107,-110,-110,-320,260,-110,-110,-110,-110,-320,260,-110,-110,-109,-114,-335,255,-110,-113,-102,-118,-325,260,-110,-110,-115,-105,-290,240,-110,-110,-110,-110,-323,247,-110,-110
