League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-02-09 14:13:43,2026-02-09 19:10,28ed7bb63c7bfb49becafe83b0b89e75,Charlotte Hornets,Detroit Pistons,No,505.2,Yes,East,Southeast,East,Central,-110.11,-109.67,2.56,-2.56,120.22,-142.67,-111.11,-108.78,222.61,-110,-110,118,-138,-110,-110,-110,-110,120,-147,-110,-110,-117,-109,118,-148,-115,-110,-108,-112,124,-148,-112,-108,-110,-110,120,-145,-115,-105,-106,-106,122,-138,-105,-109,-110,-110,120,-140,-108,-112,-110,-110,120,-140,-110,-110,-110,-110,120,-140,-115,-105
NBA,2026-02-09 14:13:43,2026-02-09 19:40,1c83af4e3fb93fe6584ef5a9e1351f2b,Brooklyn Nets,Chicago Bulls,No,717.1,Yes,East,Atlantic,East,Central,-110.67,-86.89,4.11,-4.11,149.11,-177.67,-109.78,-110.33,218.44,-108,-112,148,-176,-114,-106,-110,-110,152,-188,-110,-110,-113,-113,140,-175,-114,-112,-120,100,145,-175,-108,-112,-118,-102,150,-185,-110,-110,-104,-108,154,-175,-102,-113,-108,-112,153,-175,-105,-115,-110,-110,150,-175,-110,-110,-105,-115,150,-175,-115,-105
NBA,2026-02-09 14:13:43,2026-02-09 19:40,87c446233100a0e10c8a9ae223b3d859,Miami Heat,Utah Jazz,No,2089.6,Yes,East,Southeast,West,Northwest,-109.78,-109.89,-6.78,6.78,-270.22,220.33,-110.78,-109.22,240.0,-106,-114,-260,215,-115,-105,-110,-110,-263,209,-110,-110,-110,-115,-286,220,-112,-114,-115,-105,-270,220,-108,-112,-110,-110,-275,220,-115,-105,-109,-103,-263,222,-107,-107,-113,-107,-265,219,-110,-110,-110,-110,-265,223,-110,-110,-105,-115,-285,235,-110,-110
NBA,2026-02-09 14:13:43,2026-02-09 19:40,d7da0d0be9b38cafad30bd7ed2a6c674,Orlando Magic,Milwaukee Bucks,No,1064.4,Yes,East,Southeast,East,Central,-109.89,-109.89,-10.89,10.89,-505.44,379.0,-109.89,-110.0,219.89,-108,-112,-550,410,-112,-108,-110,-110,-476,348,-110,-110,-112,-114,-530,375,-110,-115,-115,-105,-500,380,-105,-115,-118,-102,-500,375,-115,-105,-101,-111,-493,390,-107,-107,-105,-115,-500,383,-110,-110,-110,-110,-500,390,-110,-110,-110,-110,-500,360,-110,-110
NBA,2026-02-09 14:13:43,2026-02-09 20:10,b664e9dae2af4118d7572e95a333b93e,Minnesota Timberwolves,Atlanta Hawks,No,907.2,Yes,West,Northwest,East,Southeast,-112.11,-85.22,-7.89,7.89,-306.67,246.33,-110.33,-109.67,237.17,-110,-110,-320,260,-112,-108,-110,-110,-313,239,-110,-110,-115,-109,-335,250,-114,-112,-120,100,-305,245,-110,-110,-118,-102,-300,240,-110,-110,-106,-106,-297,248,-107,-107,-110,-110,-300,245,-110,-110,-110,-110,-300,250,-110,-110,-110,-110,-290,240,-110,-110
NBA,2026-02-09 14:13:43,2026-02-09 20:10,f3e4369053da36c11257f3b1498bd0e6,New Orleans Pelicans,Sacramento Kings,No,1883.0,Yes,West,Southwest,West,Pacific,-112.56,-84.78,-7.83,7.83,-330.0,264.56,-110.56,-109.33,231.17,-108,-112,-335,270,-108,-112,-110,-110,-333,256,-110,-110,-115,-109,-315,245,-114,-110,-120,100,-325,260,-105,-115,-118,-102,-325,260,-110,-110,-109,-103,-342,282,-113,-102,-113,-107,-345,278,-115,-105,-110,-110,-330,270,-110,-110,-110,-110,-320,260,-110,-110
NBA,2026-02-09 14:13:43,2026-02-09 21:10,55ce3994bdb669f780eb1021014461cf,Denver Nuggets,Cleveland Cavaliers,No,1228.2,Yes,West,Northwest,East,Central,-108.56,-111.11,-0.89,0.89,-114.11,-61.22,-109.89,-110.11,239.44,-112,-108,-108,-110,-112,-108,-110,-110,-116,-105,-110,-110,-108,-117,-113,-110,-112,-114,-105,-115,-112,-108,-108,-112,-105,-115,-115,-105,-110,-110,-109,-103,-118,102,-107,-107,-113,-107,-120,100,-110,-110,-110,-110,-115,-105,-110,-110,-105,-115,-110,-110,-110,-110
NBA,2026-02-09 14:13:43,2026-02-09 22:10,52fefc6f39b3b91682e5f266233d1088,Golden State Warriors,Memphis Grizzlies,No,1801.4,Yes,West,Pacific,West,Southwest,-110.33,-109.33,-9.39,9.39,-404.67,314.33,-110.33,-109.56,220.22,-112,-108,-400,315,-112,-108,-110,-110,-417,311,-110,-110,-115,-110,-385,290,-114,-110,-108,-112,-395,310,-115,-105,-110,-110,-400,310,-115,-105,-102,-110,-405,329,-102,-113,-106,-114,-410,324,-105,-115,-115,-105,-410,325,-110,-110,-115,-105,-420,315,-110,-110
NBA,2026-02-09 14:13:43,2026-02-09 22:10,fe43ece4642dde1bcd2610c18f0cfc27,Los Angeles Lakers,Oklahoma City Thunder,No,1182.5,Yes,West,Pacific,West,Northwest,-109.0,-110.78,6.89,-6.89,207.78,-254.89,-110.33,-109.67,223.17,-106,-114,215,-260,-114,-106,-110,-110,210,-270,-110,-110,-114,-112,215,-278,-112,-114,-115,-105,210,-258,-110,-110,-115,-105,200,-250,-110,-110,-101,-111,202,-238,-107,-107,-105,-115,200,-240,-110,-110,-105,-115,203,-240,-110,-110,-110,-110,215,-260,-110,-110
NBA,2026-02-09 14:13:43,2026-02-09 22:10,7c8edd09283c5268205c6029a589798f,Portland Trail Blazers,Philadelphia 76ers,No,2412.5,Yes,West,Northwest,East,Atlantic,-110.78,-109.0,3.22,-3.22,132.0,-157.0,-110.67,-109.33,228.22,-110,-110,130,-154,-112,-108,-110,-110,123,-152,-110,-110,-114,-112,130,-162,-114,-112,-115,-105,130,-155,-108,-112,-115,-105,135,-165,-115,-105,-103,-109,136,-155,-107,-107,-115,-105,135,-155,-110,-110,-110,-110,134,-155,-110,-110,-105,-115,135,-160,-110,-110
