League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-12 19:01:09,2026-05-12 20:10,09800f9101b348d4a66742a3d8888b82,San Antonio Spurs,Minnesota Timberwolves,No,1109.0,Yes,West,Southwest,West,Northwest,-110.89,-108.56,-9.83,9.83,-412.67,319.44,-110.67,-109.11,218.72,-112,-108,-380,300,-112,-108,-106,-106,-417,337,-107,-107,-105,-115,-420,330,-110,-110,-115,-105,-422,332,-110,-110,-115,-105,-425,325,-115,-105,-110,-113,-420,310,-112,-112,-110,-110,-400,301,-110,-110,-110,-110,-420,315,-110,-110,-115.0,-105.0,-410.0,325.0,-110.0,-110.0
NBA,2026-05-12 19:01:09,2026-05-13 20:10,c3531530e77a4ada542bdbff23de5409,Detroit Pistons,Cleveland Cavaliers,Yes,91.4,Yes,East,Central,East,Central,-109.0,-110.38,-3.88,3.88,-170.62,143.0,-108.0,-111.75,212.5,-112,-108,-170,142,-108,-112,-101,-111,-165,146,-102,-113,-114,-106,-168,142,-106,-114,-105,-115,-165,145,-105,-115,-102,-118,-175,145,-110,-110,-113,-110,-177,140,-113,-110,-110,-110,-180,144,-110,-110,-115,-105,-165,140,-110,-110,,,,,,
