League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-03-10 14:50:28,2026-03-10 19:10,e735f6e9e8e98e8b92c380f09760ec3f,Philadelphia 76ers,Memphis Grizzlies,No,879.4,Yes,East,Atlantic,West,Southwest,-84.89,-112.44,-3.11,3.11,-151.67,127.67,-109.78,-109.89,227.89,-105,-115,-152,128,-108,-112,-110,-110,-149,122,-110,-110,100,-120,-155,130,-115,-105,-108,-104,-149,132,-107,-107,-112,-108,-150,130,-110,-110,-112,-112,-155,123,-113,-110,-110,-110,-150,130,-110,-110,-105,-115,-150.0,129.0,-110,-110,-102,-118,-155,125,-105,-115
NBA,2026-03-10 14:50:28,2026-03-10 19:40,abc7626b6e289bd9003f66cd3df84349,Atlanta Hawks,Dallas Mavericks,No,721.3,Yes,East,Southeast,West,Southwest,-108.0,-111.44,-10.17,10.17,-433.0,332.11,-109.56,-110.22,240.83,-110,-110,-420,330,-112,-108,-110,-110,-417,315,-110,-110,-102,-118,-425,330,-105,-115,-108,-104,-420,340,-107,-107,-112,-108,-425,334,-110,-110,-113,-110,-480,340,-112,-112,-105,-115,-470,345,-105,-115,-110,-110,-415.0,330.0,-110,-110,-102,-118,-425,325,-115,-105
NBA,2026-03-10 14:50:28,2026-03-10 19:40,9421796c001c679383541d472b15be1f,Brooklyn Nets,Detroit Pistons,No,484.4,Yes,East,Atlantic,East,Central,-109.89,-109.67,15.0,-15.0,703.0,-1142.0,-109.11,-110.56,216.56,-108,-112,730,-1150,-110,-110,-110,-110,698,-1250,-110,-110,-118,-102,700,-1100,-105,-115,-106,-106,708,-1028,-107,-107,-110,-110,686,-1050,-110,-110,-112,-112,700,-1250,-110,-113,-110,-110,700,-1200,-110,-110,-110,-110,680.0,-1050.0,-110,-110,-105,-115,725,-1200,-110,-110
NBA,2026-03-10 14:50:28,2026-03-10 19:40,565b25ab007865785e752c67dfb61e99,Miami Heat,Washington Wizards,Yes,922.4,Yes,East,Southeast,East,Southeast,-107.22,-112.22,-16.06,16.06,-1138.0,700.78,-110.89,-108.89,237.67,-110,-110,-1200,750,-110,-110,-110,-110,-1250,690,-110,-110,-105,-115,-1100,700,-105,-115,-103,-109,-1077,733,-113,-102,-107,-113,-1100,709,-115,-105,-110,-113,-1115,650,-110,-113,-105,-115,-1200,700,-110,-110,-110,-110,-1100.0,700.0,-110,-110,-105,-115,-1100,675,-115,-105
NBA,2026-03-10 14:50:28,2026-03-10 20:10,e989d01a7b748cf7e0c892b5259ea99d,San Antonio Spurs,Boston Celtics,No,1764.3,Yes,West,Southwest,East,Atlantic,-108.11,-111.33,-3.5,3.5,-153.56,129.78,-108.78,-111.0,221.61,-110,-110,-156,132,-110,-110,-110,-110,-159,130,-110,-110,-108,-112,-155,130,-105,-115,-104,-108,-152,134,-107,-107,-108,-112,-153,133,-110,-110,-108,-115,-157,125,-112,-112,-105,-115,-150,130,-110,-110,-110,-110,-150.0,129.0,-110,-110,-110,-110,-150,125,-105,-115
NBA,2026-03-10 14:50:28,2026-03-10 20:10,f9792224d24b63aa28a24224ea099225,Houston Rockets,Toronto Raptors,No,1301.2,Yes,West,Southwest,East,Atlantic,-109.89,-109.56,-5.0,5.0,-198.33,166.11,-108.78,-111.0,219.94,-110,-110,-198,166,-110,-110,-110,-110,-200,162,-110,-110,-118,-102,-198,164,-105,-115,-106,-106,-192,168,-107,-107,-110,-110,-192,167,-110,-110,-113,-110,-215,170,-112,-112,-110,-110,-200,170,-110,-110,-110,-110,-190.0,163.0,-110,-110,-102,-118,-200,165,-105,-115
NBA,2026-03-10 14:50:28,2026-03-10 20:10,133cc0d0b8283948b909c38cc93d2d62,Milwaukee Bucks,Phoenix Suns,No,1463.9,Yes,East,Central,West,Pacific,-111.78,-107.78,1.28,-1.28,-1.75,-118.25,-110.33,-109.44,218.72,-115,-105,102,-120,-105,-115,-110,-110,-106,-115,-110,-110,-115,-105,-102,-118,-112,-108,-106,-106,-103,-113,-113,-102,-110,-110,-105,-115,-115,-105,-112,-112,100,-125,-113,-110,-110,-110,100,-120,-110,-110,-110,-110,,,-110,-110,-118,-102,100,-120,-105,-115
NBA,2026-03-10 14:50:28,2026-03-10 22:10,25729251b2eb774717c748181096b0be,Portland Trail Blazers,Charlotte Hornets,No,2289.6,Yes,West,Northwest,East,Southeast,-109.44,-110.0,3.22,-3.22,129.33,-154.11,-110.22,-109.44,227.5,-108,-112,130,-154,-110,-110,-110,-110,128,-156,-110,-110,-118,-102,130,-155,-112,-108,-101,-111,134,-152,-107,-107,-105,-115,133,-153,-110,-110,-108,-115,120,-152,-113,-110,-110,-110,135,-160,-110,-110,-110,-110,129.0,-150.0,-110,-110,-115,-105,125,-155,-110,-110
NBA,2026-03-10 14:50:28,2026-03-10 22:10,c248f3294c1e35f27919ab0f49322752,Golden State Warriors,Chicago Bulls,No,1855.4,Yes,West,Pacific,East,Central,-107.89,-111.56,-6.44,6.44,-242.33,198.56,-110.44,-109.22,227.5,-106,-114,-240,198,-114,-106,-110,-110,-250,197,-110,-110,-105,-115,-238,195,-110,-110,-104,-108,-238,202,-107,-107,-108,-112,-240,200,-110,-110,-115,-108,-245,190,-113,-110,-110,-110,-260,215,-110,-110,-108,-112,-235.0,200.0,-110,-110,-105,-115,-235,190,-110,-110
NBA,2026-03-10 14:50:28,2026-03-10 22:10,eacde0007a133dae3e1eee3630c04a60,Sacramento Kings,Indiana Pacers,No,1887.3,Yes,West,Pacific,East,Central,-112.0,-107.44,-2.89,2.89,-151.0,127.78,-110.33,-109.44,236.89,-108,-112,-154,130,-114,-106,-110,-110,-152,123,-110,-110,-115,-105,-155,130,-105,-115,-111,-101,-152,134,-107,-107,-115,-105,-153,133,-110,-110,-109,-114,-143,116,-112,-112,-115,-105,-150,130,-110,-110,-110,-110,-150.0,129.0,-110,-110,-115,-105,-150,125,-115,-105
