League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-01-07 13:39:55,2026-01-07 19:10,Boston Celtics,Denver Nuggets,No,1770.4,Yes,-108.44,-111.33,-375.67,294.56,-109.25,-110.0,East,Atlantic,West,Northwest,-110,-110,-370,295,-110,-110,-110,-110,-370,282,-110,-110,-102,-118,-380,300,-112,-108,-110,-110,-365,292,-110,-110,-106,-106,-361,297,-107,-107,-105,-115,-375,300,-105,-115,-110,-110,-375,300,-110,-110,-113,-113,-375,280,,,-110,-110,-410,305,-110,-110
NBA,2026-01-07 13:39:55,2026-01-07 19:10,Charlotte Hornets,Toronto Raptors,No,586.0,Yes,-108.0,-111.78,108.56,-129.56,-109.62,-109.62,East,Southeast,East,Atlantic,-106,-114,116,-136,-110,-110,-110,-110,100,-122,-110,-110,-110,-110,110,-130,-115,-105,-109,-111,108,-128,-110,-110,-105,-107,110,-126,-107,-107,-105,-115,110,-135,-105,-115,-110,-110,110,-130,-110,-110,-112,-114,108,-134,,,-105,-115,105,-125,-110,-110
NBA,2026-01-07 13:39:55,2026-01-07 19:10,Detroit Pistons,Chicago Bulls,Yes,239.5,Yes,-109.56,-110.22,-413.56,318.67,-110.5,-108.75,East,Central,East,Central,-114,-106,-400,315,-114,-106,-110,-110,-417,313,-110,-110,-108,-112,-410,320,-108,-112,-107,-113,-405,320,-110,-110,-103,-109,-400,325,-107,-107,-110,-110,-425,320,-115,-105,-110,-110,-410,325,-110,-110,-114,-112,-375,280,,,-110,-110,-480,350,-110,-110
NBA,2026-01-07 13:39:55,2026-01-07 19:10,Philadelphia 76ers,Washington Wizards,No,120.7,Yes,-109.11,-110.56,-745.89,514.56,-111.62,-107.75,East,Atlantic,East,Southeast,-106,-114,-800,560,-110,-110,-110,-110,-714,489,-110,-110,-115,-105,-700,500,-115,-105,-110,-110,-700,505,-115,-105,-106,-106,-689,517,-113,-102,-105,-115,-900,575,-110,-110,-110,-110,-700,500,-110,-110,-110,-115,-835,525,,,-110,-110,-675,460,-110,-110
NBA,2026-01-07 13:39:55,2026-01-07 19:40,Atlanta Hawks,New Orleans Pelicans,No,424.9,Yes,-106.67,-113.11,-441.22,337.89,-109.5,-109.75,East,Southeast,West,Southwest,-106,-114,-430,350,-110,-110,-110,-110,-476,344,-110,-110,-105,-115,-440,340,-108,-112,-105,-115,-425,334,-108,-112,-101,-111,-420,340,-105,-109,-105,-115,-450,340,-115,-105,-110,-110,-425,333,-110,-110,-113,-113,-455,325,,,-105,-115,-450,335,-110,-110
NBA,2026-01-07 13:39:55,2026-01-07 19:40,Brooklyn Nets,Orlando Magic,No,936.6,Yes,-111.78,-107.89,110.56,-132.0,-110.38,-108.88,East,Atlantic,East,Southeast,-110,-110,114,-134,-110,-110,-110,-110,118,-145,-110,-110,-115,-105,110,-130,-112,-108,-110,-110,108,-128,-112,-108,-106,-106,110,-126,-109,-105,-115,-105,110,-135,-110,-110,-110,-110,110,-130,-110,-110,-115,-110,105,-130,,,-115,-105,110,-130,-110,-110
NBA,2026-01-07 13:39:55,2026-01-07 19:40,New York Knicks,Los Angeles Clippers,No,2459.8,Yes,-110.22,-109.56,-183.0,153.67,-109.38,-109.88,East,Atlantic,West,Pacific,-112,-108,-180,152,-110,-110,-110,-110,-190,154,-110,-110,-112,-108,-185,154,-108,-112,-110,-110,-180,157,-110,-110,-106,-106,-180,158,-107,-107,-110,-110,-190,155,-110,-110,-110,-110,-180,155,-110,-110,-112,-114,-182,143,,,-110,-110,-180,155,-110,-110
NBA,2026-01-07 13:39:55,2026-01-07 20:10,Memphis Grizzlies,Phoenix Suns,No,1262.6,Yes,-111.0,-108.78,155.78,-185.44,-109.88,-109.38,West,Southwest,West,Pacific,-110,-110,166,-198,-110,-110,-110,-110,153,-189,-110,-110,-108,-112,154,-185,-112,-108,-113,-107,157,-180,-110,-110,-109,-103,158,-180,-107,-107,-110,-110,154,-190,-110,-110,-115,-105,155,-180,-110,-110,-114,-112,145,-182,,,-110,-110,160,-185,-110,-110
NBA,2026-01-07 13:39:55,2026-01-07 20:10,Oklahoma City Thunder,Utah Jazz,Yes,863.6,Yes,-110.33,-109.44,-1256.33,743.89,-109.38,-109.88,West,Northwest,West,Northwest,-112,-108,-1350,810,-108,-112,-110,-110,-1250,693,-110,-110,-112,-108,-1200,750,-110,-110,-110,-110,-1100,709,-110,-110,-106,-106,-1077,733,-107,-107,-115,-105,-1600,850,-110,-110,-110,-110,-1100,700,-110,-110,-113,-113,-1430,750,,,-105,-115,-1200,700,-110,-110
NBA,2026-01-07 13:39:55,2026-01-07 21:40,San Antonio Spurs,Los Angeles Lakers,No,1208.0,Yes,-110.22,-109.56,-284.89,230.11,-108.38,-110.88,West,Southwest,West,Pacific,-110,-110,-280,230,-110,-110,-110,-110,-294,231,-110,-110,-118,-102,-278,225,-105,-115,-112,-108,-275,226,-110,-110,-108,-104,-272,229,-107,-107,-102,-118,-295,230,-110,-110,-110,-110,-280,235,-110,-110,-112,-114,-315,240,,,-110,-110,-275,225,-105,-115
NBA,2026-01-07 13:39:55,2026-01-07 22:10,Golden State Warriors,Milwaukee Bucks,No,1840.7,Yes,-110.0,-109.78,-225.0,185.78,-110.0,-109.25,West,Pacific,East,Central,-106,-114,-215,180,-108,-112,-110,-110,-227,182,-110,-110,-112,-108,-230,190,-110,-110,-107,-113,-225,189,-110,-110,-106,-106,-223,191,-107,-107,-115,-105,-225,185,-115,-105,-115,-105,-225,190,-110,-110,-109,-117,-225,175,,,-110,-110,-230,190,-110,-110
NBA,2026-01-07 13:39:55,2026-01-07 22:10,Portland Trail Blazers,Houston Rockets,No,1836.0,Yes,-108.22,-111.56,215.22,-263.22,-110.12,-109.12,West,Northwest,West,Southwest,-112,-108,210,-255,-108,-112,-110,-110,203,-256,-110,-110,-108,-112,215,-265,-112,-108,-107,-113,219,-265,-112,-108,-103,-109,222,-263,-109,-105,-110,-110,220,-275,-110,-110,-105,-115,223,-265,-110,-110,-114,-112,200,-250,,,-105,-115,225,-275,-110,-110
