League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-04-10 18:37:34,2026-04-10 19:10,70a2274c4f82c7a3f37879b7edf0cfa4,Atlanta Hawks,Cleveland Cavaliers,No,553.9,Yes,East,Southeast,East,Central,-109.22,-110.11,-8.11,8.11,-354.67,278.56,-110.0,-109.67,233.06,-110,-110,-355,285,-110,-110,-102,-118,-355,280,-115,-105,-110,-112,-360,265,-113,-110,-111,-101,-345,285,-107,-107,-115,-105,-350,280,-110,-110,-105,-115,-350,275,-105,-115,-110,-110,-377,282,-110,-110,-110,-110,-350.0,275.0,-110,-110,-110,-110,-350,280,-110,-110
NBA,2026-04-10 18:37:34,2026-04-10 19:10,1126b937945abff19e12dc1ac60f2ecb,Charlotte Hornets,Detroit Pistons,No,505.2,Yes,East,Southeast,East,Central,-109.11,-110.33,-5.83,5.83,-214.0,177.44,-110.11,-109.67,225.39,-114,-106,-220,184,-110,-110,-105,-115,-218,180,-112,-108,-113,-110,-230,180,-112,-112,-103,-109,-204,179,-107,-107,-107,-113,-205,177,-110,-110,-115,-105,-210,170,-110,-110,-110,-110,-214,172,-110,-110,-110,-110,-220.0,180.0,-110,-110,-105,-115,-205,175,-110,-110
NBA,2026-04-10 18:37:34,2026-04-10 19:10,f47d78a747510d6ef00500f74872372d,Washington Wizards,Miami Heat,Yes,922.4,Yes,East,Southeast,East,Southeast,-108.78,-110.78,15.83,-15.83,841.22,-1509.0,-110.56,-109.11,242.5,-110,-110,900,-1600,-114,-106,-105,-115,900,-1600,-108,-112,-112,-112,700,-1250,-109,-114,-109,-103,910,-1464,-108,-106,-113,-107,874,-1500,-111,-109,-105,-115,850,-1600,-110,-110,-110,-110,837,-1667,-110,-110,-105,-115,750.0,-1400.0,-115,-105,-110,-110,850,-1500,-110,-110
NBA,2026-04-10 18:37:34,2026-04-10 19:40,80adae4b4459f5602f7500d94892f2a5,Boston Celtics,New Orleans Pelicans,No,1359.7,Yes,East,Atlantic,West,Southwest,-109.67,-109.78,-17.72,17.72,-1952.44,984.0,-109.67,-110.0,227.06,-112,-108,-2200,1100,-110,-110,-110,-110,-1650,950,-110,-110,-113,-110,-1667,850,-110,-113,-109,-103,-1755,1025,-107,-107,-113,-107,-1800,979,-110,-110,-105,-115,-2500,1050,-110,-110,-110,-110,-2000,902,-110,-110,-105,-115,-2200.0,1000.0,-110,-110,-110,-110,-1800,1000,-110,-110
NBA,2026-04-10 18:37:34,2026-04-10 19:40,4398234154ac742bd22d689c8d4bf956,Indiana Pacers,Philadelphia 76ers,No,583.9,Yes,East,Central,East,Atlantic,-110.11,-109.22,15.33,-15.33,735.89,-1214.0,-110.56,-109.11,232.78,-110,-110,830,-1400,-110,-110,-115,-105,750,-1200,-115,-105,-110,-112,650,-1250,-113,-110,-106,-106,757,-1126,-107,-107,-110,-110,732,-1150,-110,-110,-115,-105,750,-1200,-110,-110,-110,-110,724,-1250,-110,-110,-105,-115,700.0,-1200.0,-110,-110,-110,-110,730,-1150,-110,-110
NBA,2026-04-10 18:37:34,2026-04-10 19:40,39083e08e7959b0ec516933d574379cd,New York Knicks,Toronto Raptors,Yes,340.9,Yes,East,Atlantic,East,Atlantic,-107.56,-112.0,-6.22,6.22,-251.67,205.78,-108.67,-111.0,219.78,-106,-114,-250,205,-108,-112,-102,-118,-258,210,-110,-110,-112,-112,-265,205,-109,-114,-106,-106,-248,210,-104,-110,-110,-110,-250,207,-107,-113,-102,-118,-250,200,-110,-110,-110,-110,-244,195,-110,-110,-110,-110,-250.0,210.0,-110,-110,-110,-110,-250,210,-110,-110
NBA,2026-04-10 18:37:34,2026-04-10 20:10,d463e0aa51436ff32f8ee83d6d3893a8,Milwaukee Bucks,Brooklyn Nets,No,736.6,Yes,East,Central,East,Atlantic,-107.44,-112.0,-10.22,10.22,-501.44,375.56,-109.33,-110.33,217.5,-108,-112,-500,385,-110,-110,-102,-118,-520,390,-108,-112,-109,-114,-500,350,-113,-110,-106,-106,-493,390,-105,-109,-110,-110,-500,383,-108,-112,-102,-118,-500,375,-110,-110,-110,-110,-500,357,-110,-110,-110,-110,-500.0,360.0,-110,-110,-110,-110,-500,390,-110,-110
NBA,2026-04-10 18:37:34,2026-04-10 20:10,ebbf0d3885094991ff36055e753635a3,Chicago Bulls,Orlando Magic,No,985.5,Yes,East,Central,East,Southeast,-108.33,-111.11,15.67,-15.67,748.56,-1248.56,-109.33,-110.33,244.72,-106,-114,750,-1200,-108,-112,-108,-112,800,-1350,-110,-110,-110,-113,650,-1115,-110,-113,-106,-106,804,-1222,-109,-105,-110,-110,776,-1250,-112,-108,-105,-115,775,-1400,-105,-115,-110,-110,682,-1250,-110,-110,-110,-110,700.0,-1200.0,-110,-110,-110,-110,800,-1250,-110,-110
NBA,2026-04-10 18:37:34,2026-04-10 20:10,51aa38f3acd638a314975c61ab16a862,San Antonio Spurs,Dallas Mavericks,Yes,251.0,Yes,West,Southwest,West,Southwest,-107.89,-111.44,-18.17,18.17,-2024.11,1009.78,-107.11,-112.56,238.33,-108,-112,-2000,1040,-106,-114,-105,-115,-2100,1100,-110,-110,-110,-112,-1667,800,-110,-113,-106,-106,-1950,1092,-105,-109,-110,-110,-2000,1041,-108,-112,-102,-118,-2500,1050,-105,-115,-110,-110,-2000,965,-110,-110,-110,-110,-2000.0,950.0,-105,-115,-110,-110,-2000,1050,-105,-115
NBA,2026-04-10 18:37:34,2026-04-10 21:10,11fa8c6f7710a287909a9765aa925cce,Denver Nuggets,Oklahoma City Thunder,Yes,506.0,Yes,West,Northwest,West,Northwest,-113.0,-106.56,-11.56,11.56,-541.0,398.33,-109.44,-110.22,232.11,-114,-106,-560,420,-114,-106,-115,-105,-520,390,-105,-115,-112,-112,-670,440,-110,-113,-111,-101,-503,398,-109,-105,-115,-105,-510,390,-112,-108,-115,-105,-500,375,-105,-115,-110,-110,-556,392,-110,-110,-115,-105,-550.0,390.0,-110,-110,-110,-110,-500,390,-110,-110
