League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-10-30 14:34:52,2025-10-30 19:10,Charlotte Hornets,Orlando Magic,Yes,461.8,Yes,-107.78,-112.0,117.33,-139.33,-109.22,-110.78,East,Southeast,East,Southeast,-106.0,-114.0,126.0,-148.0,-114.0,-106.0,-105.0,-115.0,116.0,-136.0,-107.0,-113.0,-101.0,-111.0,118.0,-134.0,-104.0,-110.0,-105,-115,114,-135,-110,-110,-110.0,-110.0,115.0,-142.0,-110.0,-110.0,-110.0,-110.0,115.0,-140.0,-110.0,-110.0,-110.0,-110.0,120.0,-140.0,-110.0,-110.0,-110.0,-110.0,120.0,-140.0,-105.0,-115.0,-113.0,-113.0,112.0,-139.0,-113.0,-113.0
NBA,2025-10-30 14:34:52,2025-10-30 20:10,Milwaukee Bucks,Golden State Warriors,No,1840.7,Yes,-109.33,-110.22,129.67,-153.89,-108.78,-111.22,East,Central,West,Pacific,-112.0,-108.0,130.0,-154.0,-106.0,-114.0,-107.0,-113.0,132.0,-152.0,-110.0,-110.0,-103.0,-109.0,133.0,-151.0,-107.0,-107.0,-118,-102,130,-155,-108,-112,-110.0,-110.0,125.0,-154.0,-110.0,-110.0,-115.0,-105.0,125.0,-155.0,-110.0,-110.0,-105.0,-115.0,134.0,-155.0,-110.0,-110.0,-105.0,-115.0,130.0,-150.0,-105.0,-115.0,-109.0,-115.0,128.0,-159.0,-113.0,-113.0
NBA,2025-10-30 14:34:52,2025-10-30 20:10,Oklahoma City Thunder,Washington Wizards,No,1152.7,Yes,-110.78,-109.0,-1176.44,718.22,-109.78,-110.11,West,Northwest,East,Southeast,-110.0,-110.0,-1150.0,730.0,-106.0,-114.0,-115.0,-105.0,-1100.0,709.0,-110.0,-110.0,-111.0,-101.0,-1077.0,733.0,-107.0,-107.0,-108,-112,-1200,750,-112,-108,-110.0,-110.0,-1111.0,667.0,-110.0,-110.0,-110.0,-110.0,-1400.0,775.0,-110.0,-110.0,-110.0,-110.0,-1100.0,700.0,-110.0,-110.0,-110.0,-110.0,-1200.0,700.0,-110.0,-110.0,-113.0,-113.0,-1250.0,700.0,-113.0,-112.0
NBA,2025-10-30 14:34:52,2025-10-30 20:30,San Antonio Spurs,Miami Heat,No,1145.9,Yes,-107.56,-112.22,-234.22,192.56,-109.67,-110.33,West,Southwest,East,Southeast,-110.0,-110.0,-220.0,184.0,-114.0,-106.0,-108.0,-112.0,-240.0,200.0,-110.0,-110.0,-104.0,-108.0,-238.0,202.0,-107.0,-107.0,-105,-115,-225,185,-108,-112,-110.0,-110.0,-250.0,197.0,-110.0,-110.0,-102.0,-118.0,-225.0,185.0,-110.0,-110.0,-110.0,-110.0,-235.0,200.0,-110.0,-110.0,-105.0,-115.0,-230.0,190.0,-105.0,-115.0,-114.0,-112.0,-245.0,190.0,-113.0,-113.0
NBA,2025-10-30 14:34:52,2025-10-31 19:00,Indiana Pacers,Atlanta Hawks,No,425.5,Yes,-110.0,-110.0,120.0,-142.0,-105.0,-115.0,East,Central,East,Southeast,,,,,,,,,,,,,,,,,,,-110,-110,120,-142,-105,-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 14:34:52,2025-10-31 19:00,Philadelphia 76ers,Boston Celtics,Yes,273.6,Yes,-110.0,-110.0,-166.0,140.0,-110.0,-110.0,East,Atlantic,East,Atlantic,,,,,,,,,,,,,,,,,,,-110,-110,-166,140,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 14:34:52,2025-10-31 19:30,Cleveland Cavaliers,Toronto Raptors,No,189.3,Yes,-105.33,-112.0,-395.0,310.0,-109.0,-109.0,East,Central,East,Atlantic,,,,,,,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-110,-110,-395,310,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 14:34:52,2025-10-31 20:00,Chicago Bulls,New York Knicks,No,715.3,Yes,-105.33,-112.0,120.0,-142.0,-109.0,-109.0,East,Central,East,Atlantic,,,,,,,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-110,-110,120,-142,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 14:34:52,2025-10-31 21:30,Memphis Grizzlies,Los Angeles Lakers,No,1604.9,Yes,-111.33,-106.0,-205.0,170.0,-105.67,-112.67,West,Southwest,West,Pacific,,,,,,,-113.0,-107.0,,,-105.0,-115.0,-109.0,-103.0,,,-102.0,-113.0,-112,-108,-205,170,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 14:34:52,2025-10-31 22:00,Portland Trail Blazers,Denver Nuggets,Yes,981.8,Yes,-105.33,-112.0,170.0,-205.0,-109.0,-109.0,West,Northwest,West,Northwest,,,,,,,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-110,-110,170,-205,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 14:34:52,2025-10-31 22:00,Phoenix Suns,Utah Jazz,No,505.1,Yes,-105.33,-112.0,-198.0,164.0,-109.0,-109.0,West,Pacific,West,Northwest,,,,,,,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-110,-110,-198,164,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 14:34:52,2025-10-31 22:30,Los Angeles Clippers,New Orleans Pelicans,No,1677.3,Yes,-110.0,-110.0,-380.0,300.0,-110.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,-110,-110,-380,300,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 14:34:52,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-110.5,-112.5,-139.0,115.5,-111.5,-111.5,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,-108,-112,-135,114,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0
NBA,2025-10-30 14:34:52,2025-12-25 14:30,Oklahoma City Thunder,San Antonio Spurs,No,419.4,No,-111.0,-111.5,-415.0,315.0,-113.5,-109.5,West,Northwest,West,Southwest,,,,,,,,,,,,,,,,,,,-110,-110,-410,320,-115,-105,,,,,,,,,,,,,,,,,,,,,,,,,-112.0,-113.0,-420.0,310.0,-112.0,-114.0
NBA,2025-10-30 14:34:52,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-113.0,-110.0,-202.5,165.0,-112.0,-111.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,-112,-108,-205,170,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,-114.0,-112.0,-200.0,160.0,-114.0,-112.0
NBA,2025-10-30 14:34:52,2025-12-25 20:00,Los Angeles Lakers,Houston Rockets,No,1375.3,Yes,-112.0,-108.0,-148.0,124.0,-105.0,-115.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,-112,-108,-148,124,-105,-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 14:34:52,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-111.0,-112.0,-225.0,182.5,-113.5,-109.5,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,-105,-115,-230,190,-115,-105,,,,,,,,,,,,,,,,,,,,,,,,,-117.0,-109.0,-220.0,175.0,-112.0,-114.0
NBA,2025-10-30 14:34:52,2026-01-19 14:30,Cleveland Cavaliers,Oklahoma City Thunder,No,951.7,No,102.0,-122.0,-112.0,-108.0,-110.0,-110.0,East,Central,West,Northwest,,,,,,,,,,,,,,,,,,,102,-122,-112,-108,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 14:34:52,2026-01-19 17:00,New York Knicks,Dallas Mavericks,No,1374.4,No,-102.0,-118.0,-258.0,210.0,-110.0,-110.0,East,Atlantic,West,Southwest,,,,,,,,,,,,,,,,,,,-102,-118,-258,210,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 14:34:52,2026-01-19 20:00,Detroit Pistons,Boston Celtics,No,613.5,Yes,-110.0,-110.0,-198.0,164.0,-110.0,-110.0,East,Central,East,Atlantic,,,,,,,,,,,,,,,,,,,-110,-110,-198,164,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
