League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-05-27 16:18:24,2026-05-28 20:40,78fd894a8789f5fd7f2318cc85b2fc44,San Antonio Spurs,Oklahoma City Thunder,No,419.4,Yes,West,Southwest,West,Northwest,-109.5,-109.88,-3.5,3.5,-160.38,135.0,-111.25,-108.75,219.19,-110,-110,-162,136,-118,-104,-110.0,-113.0,-162.0,130.0,-112.0,-112.0,-110,-110,-162,136,-108,-112,-110.0,-110.0,-160.0,135.0,-115.0,-105.0,-110.0,-110.0,-157.0,137.0,-110.0,-110.0,-106.0,-106.0,-157.0,138.0,-107.0,-107.0,-110.0,-110.0,-163.0,133.0,-110.0,-110.0,-110.0,-110.0,-160.0,135.0,-110.0,-110.0
NBA,2026-05-27 16:18:24,2026-06-03 20:40,27f8823f01243e8857b317dec213f14c,Oklahoma City Thunder,New York Knicks,No,1328.1,Yes,West,Northwest,East,Atlantic,-116.5,-104.5,-6.5,6.5,-247.5,202.5,-110.0,-110.0,216.0,-118,-104,-250,205,-110,-110,,,,,,,-115,-105,-245,200,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-05-27 16:18:24,2026-06-03 20:40,1aae688472781f1a1aaf3efdb38e884b,San Antonio Spurs,New York Knicks,No,1581.9,Yes,West,Southwest,East,Atlantic,-105.0,-115.0,-4.5,4.5,-165.0,139.0,-108.0,-112.0,217.5,-105,-115,-164,138,-106,-114,,,,,,,-105,-115,-166,140,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
