League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-01-01 16:24:02,2026-01-01 18:10,Brooklyn Nets,Houston Rockets,No,1419.5,No,-109.22,-110.56,422.78,-580.78,-110.38,-108.88,East,Atlantic,West,Southwest,-112,-108,440,-590,-114,-106,-110,-110,437,-625,-110,-110,-113,-113,440,-670,,,-105,-115,415,-550,-110,-110,-101,-111,423,-542,-107,-107,-112,-108,410,-550,-112,-108,-115,-105,390,-550,-115,-105,-110,-110,425,-550,-110,-110,-105,-115,425,-600,-105,-115
NBA,2026-01-01 16:24:02,2026-01-01 19:10,Detroit Pistons,Miami Heat,No,1153.0,Yes,-109.89,-109.67,-191.11,160.22,-109.12,-110.12,East,Central,East,Southeast,-110,-110,-198,166,-112,-108,-110,-110,-189,153,-110,-110,-110,-114,-195,155,,,-113,-107,-188,164,-108,-112,-109,-103,-188,165,-105,-109,-112,-108,-192,160,-108,-112,-105,-115,-195,165,-110,-110,-110,-110,-185,159,-110,-110,-110,-110,-190,155,-110,-110
NBA,2026-01-01 16:24:02,2026-01-01 20:40,Dallas Mavericks,Philadelphia 76ers,No,1298.5,Yes,-109.22,-110.44,114.33,-136.0,-109.88,-109.5,West,Southwest,East,Atlantic,-112,-108,118,-138,-106,-114,-110,-110,113,-139,-110,-110,-110,-115,112,-139,,,-110,-110,115,-135,-115,-105,-106,-106,117,-133,-113,-102,-110,-110,114,-135,-110,-110,-105,-115,115,-135,-110,-110,-110,-110,115,-135,-110,-110,-110,-110,110,-135,-105,-115
NBA,2026-01-01 16:24:02,2026-01-01 22:10,Sacramento Kings,Boston Celtics,No,2631.5,Yes,-110.11,-109.67,319.44,-415.56,-110.5,-108.88,West,Pacific,East,Atlantic,-110,-110,320,-405,-105,-115,-110,-110,318,-435,-110,-110,-117,-109,330,-455,,,-110,-110,316,-400,-114,-106,-106,-106,321,-395,-112,-103,-108,-112,320,-410,-108,-112,-110,-110,310,-415,-110,-110,-110,-110,320,-400,-115,-105,-110,-110,320,-425,-110,-110
NBA,2026-01-01 16:24:02,2026-01-01 22:40,Los Angeles Clippers,Utah Jazz,No,589.3,Yes,-107.56,-112.22,-855.44,575.56,-109.88,-109.38,West,Pacific,West,Northwest,-108,-112,-900,610,-110,-110,-110,-110,-918,581,-110,-110,-113,-113,-910,575,,,-108,-112,-870,595,-110,-110,-104,-108,-851,614,-107,-107,-105,-115,-850,575,-112,-108,-105,-115,-750,500,-110,-110,-110,-110,-750,530,-110,-110,-105,-115,-900,600,-110,-110
