League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-04 20:54:41,2025-11-04 19:41,Toronto Raptors,Milwaukee Bucks,No,432.0,Yes,-115.5,-115.17,-1539.0,708.33,-113.5,-116.83,East,Atlantic,East,Central,-102.0,-130.0,-1600.0,750.0,-112.0,-118.0,-125.0,-105.0,-1600.0,800.0,-115.0,-115.0,-118.0,-110.0,-1400.0,700.0,-110.0,-118.0,-118.0,-105.0,-1667.0,725.0,-111.0,-111.0,-110.0,-120.0,-1300.0,625.0,-115.0,-115.0,-120.0,-121.0,-1667.0,650.0,-118.0,-124.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-04 20:54:41,2025-11-04 20:10,New Orleans Pelicans,Charlotte Hornets,No,649.8,Yes,-114.33,-115.5,-245.5,182.5,-114.67,-115.17,West,Southwest,East,Southeast,-112.0,-118.0,-240.0,182.0,-112.0,-118.0,-120.0,-110.0,-270.0,200.0,-120.0,-110.0,-110.0,-115.0,-225.0,175.0,-115.0,-110.0,-111.0,-111.0,-200.0,160.0,-111.0,-111.0,-115.0,-115.0,-260.0,190.0,-110.0,-120.0,-118.0,-124.0,-278.0,188.0,-120.0,-122.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-04 20:54:41,2025-11-04 20:11,Chicago Bulls,Philadelphia 76ers,No,668.1,Yes,-114.0,-117.83,738.33,-1700.0,-116.17,-115.67,East,Central,East,Atlantic,-110.0,-120.0,680.0,-1400.0,-112.0,-118.0,-120.0,-110.0,850.0,-1750.0,-115.0,-115.0,-115.0,-115.0,800.0,-2000.0,-115.0,-115.0,-111.0,-118.0,625.0,-1250.0,-118.0,-111.0,-110.0,-120.0,725.0,-1800.0,-115.0,-115.0,-118.0,-124.0,750.0,-2000.0,-122.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-04 20:54:41,2025-11-04 20:12,Atlanta Hawks,Orlando Magic,Yes,401.3,Yes,-116.17,-114.83,-301.83,220.0,-113.83,-117.67,East,Southeast,East,Southeast,-118.0,-112.0,-295.0,220.0,-114.0,-114.0,-110.0,-120.0,-250.0,190.0,-115.0,-115.0,-115.0,-110.0,-300.0,225.0,-115.0,-115.0,-118.0,-111.0,-286.0,215.0,-111.0,-118.0,-115.0,-115.0,-335.0,240.0,-110.0,-120.0,-121.0,-121.0,-345.0,230.0,-118.0,-124.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-04 20:54:41,2025-11-04 22:10,Golden State Warriors,Phoenix Suns,Yes,652.3,Yes,-109.89,-109.89,-460.78,348.33,-110.11,-109.89,West,Pacific,West,Pacific,-110.0,-110.0,-490.0,380.0,-112.0,-108.0,-110.0,-110.0,-520.0,390.0,-110.0,-110.0,-115.0,-105.0,-500.0,375.0,-110.0,-110.0,-110.0,-110.0,-462.0,333.0,-110.0,-110.0,-105.0,-115.0,-500.0,360.0,-110.0,-110.0,-109.0,-117.0,-480.0,340.0,-112.0,-114.0,-108.0,-104.0,-395.0,321.0,-107.0,-107.0,-112.0,-108.0,-400.0,316.0,-110.0,-110.0,-110.0,-110.0,-400.0,320.0,-110.0,-110.0
NBA,2025-11-04 20:54:41,2025-11-04 23:10,Los Angeles Clippers,Oklahoma City Thunder,No,1188.0,Yes,-112.44,-107.33,261.56,-326.89,-109.44,-110.33,West,Pacific,West,Northwest,-114.0,-106.0,270.0,-335.0,-114.0,-106.0,-110.0,-110.0,260.0,-325.0,-105.0,-115.0,-115.0,-105.0,260.0,-325.0,-105.0,-115.0,-110.0,-110.0,266.0,-345.0,-110.0,-110.0,-115.0,-105.0,260.0,-320.0,-110.0,-110.0,-112.0,-114.0,255.0,-335.0,-114.0,-110.0,-111.0,-101.0,263.0,-317.0,-107.0,-107.0,-115.0,-105.0,260.0,-320.0,-110.0,-110.0,-110.0,-110.0,260.0,-320.0,-110.0,-110.0
NBA,2025-11-04 20:54:41,2025-11-05 19:00,Indiana Pacers,Brooklyn Nets,No,646.8,Yes,-108.67,-110.0,-283.0,226.75,-109.5,-109.5,East,Central,East,Atlantic,-106.0,-114.0,-255.0,210.0,-110.0,-110.0,-110.0,-110.0,-298.0,240.0,-110.0,-110.0,-110.0,-110.0,-285.0,230.0,-110.0,-110.0,-110.0,-110.0,-294.0,227.0,-110.0,-110.0,,,,,,,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-04 20:54:41,2025-11-05 19:00,Detroit Pistons,Utah Jazz,No,1492.1,Yes,-108.67,-110.0,-537.75,395.5,-108.67,-110.33,East,Central,West,Northwest,-106.0,-114.0,-510.0,390.0,-110.0,-110.0,-110.0,-110.0,-535.0,400.0,-110.0,-110.0,-110.0,-110.0,-550.0,400.0,-105.0,-115.0,-110.0,-110.0,-556.0,392.0,-110.0,-110.0,,,,,,,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-04 20:54:41,2025-11-05 19:30,Boston Celtics,Washington Wizards,No,394.0,Yes,-107.67,-111.0,-532.75,391.5,-110.17,-108.83,East,Atlantic,East,Southeast,-110.0,-110.0,-490.0,380.0,-114.0,-106.0,-110.0,-110.0,-535.0,400.0,-110.0,-110.0,-110.0,-110.0,-550.0,400.0,-110.0,-110.0,-110.0,-110.0,-556.0,386.0,-110.0,-110.0,,,,,,,,,,,,,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-04 20:54:41,2025-11-05 19:30,New York Knicks,Minnesota Timberwolves,No,1018.9,Yes,-111.33,-108.67,-226.67,185.33,-110.0,-110.0,East,Atlantic,West,Northwest,-114.0,-106.0,-215.0,180.0,-110.0,-110.0,-110.0,-110.0,-238.0,195.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-227.0,181.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
