League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-10-29 08:52:19,2025-10-29 18:40,Toronto Raptors,Houston Rockets,No,1301.2,No,-107.67,-112.11,183.11,-222.44,-109.22,-110.89,East,Atlantic,West,Southwest,-110.0,-110.0,184.0,-220.0,-108.0,-112.0,-105.0,-115.0,186.0,-220.0,-105.0,-115.0,-101.0,-111.0,188.0,-219.0,-102.0,-113.0,-105,-115,170,-205,-115,-105,-110.0,-110.0,190.0,-238.0,-110.0,-110.0,-110.0,-110.0,170.0,-210.0,-110.0,-110.0,-105.0,-115.0,185.0,-225.0,-110.0,-110.0,-110.0,-110.0,185.0,-220.0,-110.0,-110.0,-113.0,-113.0,190.0,-245.0,-113.0,-113.0
NBA,2025-10-29 08:52:19,2025-10-29 19:10,Boston Celtics,Cleveland Cavaliers,No,550.5,Yes,-109.56,-110.11,141.22,-167.67,-109.67,-110.22,East,Atlantic,East,Central,-110.0,-110.0,142.0,-168.0,-110.0,-110.0,-110.0,-110.0,149.0,-170.0,-110.0,-110.0,-106.0,-106.0,150.0,-170.0,-107.0,-107.0,-110,-110,145,-175,-110,-110,-110.0,-110.0,133.0,-164.0,-110.0,-110.0,-110.0,-110.0,140.0,-170.0,-110.0,-110.0,-110.0,-110.0,140.0,-165.0,-110.0,-110.0,-110.0,-110.0,142.0,-165.0,-110.0,-110.0,-110.0,-115.0,130.0,-162.0,-110.0,-115.0
NBA,2025-10-29 08:52:19,2025-10-29 19:10,Detroit Pistons,Orlando Magic,No,956.1,Yes,-110.22,-109.44,27.62,-122.38,-110.33,-109.67,East,Central,East,Southeast,-112.0,-108.0,-104.0,-112.0,-112.0,-108.0,-112.0,-108.0,110.0,-130.0,-110.0,-110.0,-108.0,-104.0,112.0,-128.0,-107.0,-107.0,-115,-105,-102,-118,-112,-108,-110.0,-110.0,-102.0,-119.0,-110.0,-110.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-105.0,-115.0,105.0,-125.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-115.0,102.0,-127.0,-112.0,-114.0
NBA,2025-10-29 08:52:19,2025-10-29 19:30,Brooklyn Nets,Atlanta Hawks,No,746.3,Yes,-108.67,-110.89,259.89,-325.0,-111.0,-109.0,East,Atlantic,East,Southeast,-106.0,-114.0,250.0,-310.0,-112.0,-108.0,-110.0,-110.0,263.0,-325.0,-110.0,-110.0,-106.0,-106.0,267.0,-322.0,-107.0,-107.0,-102,-118,260,-325,-112,-108,-110.0,-110.0,259.0,-333.0,-110.0,-110.0,-105.0,-115.0,260.0,-325.0,-115.0,-105.0,-115.0,-105.0,280.0,-360.0,-110.0,-110.0,-110.0,-110.0,270.0,-330.0,-110.0,-110.0,-114.0,-110.0,230.0,-295.0,-113.0,-113.0
NBA,2025-10-29 08:52:19,2025-10-29 20:10,Chicago Bulls,Sacramento Kings,No,1791.5,Yes,-86.33,-111.22,-194.67,163.33,-110.67,-109.22,East,Central,West,Pacific,-110.0,-110.0,-194.0,162.0,-110.0,-110.0,-103.0,-117.0,-190.0,165.0,-115.0,-105.0,101.0,-113.0,-190.0,166.0,-113.0,-102.0,-112,-108,-198,164,-108,-112,-110.0,-110.0,-200.0,161.0,-110.0,-110.0,-115.0,-105.0,-200.0,165.0,-110.0,-110.0,-105.0,-115.0,-185.0,160.0,-110.0,-110.0,-110.0,-110.0,-195.0,167.0,-110.0,-110.0,-113.0,-113.0,-200.0,160.0,-110.0,-114.0
NBA,2025-10-29 08:52:19,2025-10-29 20:30,Dallas Mavericks,Indiana Pacers,No,763.9,Yes,-110.33,-109.44,-251.33,206.0,-110.56,-109.44,West,Southwest,East,Central,-108.0,-112.0,-260.0,220.0,-114.0,-106.0,-115.0,-105.0,-245.0,203.0,-110.0,-110.0,-111.0,-101.0,-243.0,206.0,-107.0,-107.0,-105,-115,-250,205,-112,-108,-110.0,-110.0,-244.0,192.0,-110.0,-110.0,-110.0,-110.0,-275.0,220.0,-110.0,-110.0,-110.0,-110.0,-260.0,215.0,-110.0,-110.0,-110.0,-110.0,-245.0,205.0,-110.0,-110.0,-114.0,-112.0,-240.0,188.0,-112.0,-114.0
NBA,2025-10-29 08:52:19,2025-10-29 21:00,Denver Nuggets,New Orleans Pelicans,No,1081.8,Yes,-111.11,-108.56,-735.44,511.78,-109.56,-110.44,West,Northwest,West,Southwest,-114.0,-106.0,-750.0,530.0,-110.0,-110.0,-110.0,-110.0,-750.0,534.0,-110.0,-110.0,-106.0,-106.0,-737.0,547.0,-107.0,-107.0,-115,-105,-700,500,-105,-115,-110.0,-110.0,-667.0,455.0,-110.0,-110.0,-115.0,-105.0,-750.0,525.0,-110.0,-110.0,-110.0,-110.0,-800.0,525.0,-110.0,-110.0,-110.0,-110.0,-750.0,530.0,-110.0,-110.0,-110.0,-115.0,-715.0,460.0,-114.0,-112.0
NBA,2025-10-29 08:52:19,2025-10-29 21:00,Utah Jazz,Portland Trail Blazers,Yes,635.0,Yes,-111.0,-108.78,126.56,-150.0,-110.44,-109.67,West,Northwest,West,Northwest,-110.0,-110.0,128.0,-152.0,-114.0,-106.0,-113.0,-107.0,130.0,-150.0,-115.0,-105.0,-109.0,-103.0,132.0,-149.0,-113.0,-102.0,-115,-105,124,-148,-105,-115,-110.0,-110.0,124.0,-152.0,-110.0,-110.0,-115.0,-105.0,125.0,-150.0,-105.0,-115.0,-105.0,-115.0,135.0,-160.0,-110.0,-110.0,-110.0,-110.0,129.0,-150.0,-110.0,-110.0,-112.0,-114.0,112.0,-139.0,-112.0,-114.0
NBA,2025-10-29 08:52:19,2025-10-29 21:40,Minnesota Timberwolves,Los Angeles Lakers,No,1524.7,Yes,-109.56,-110.22,-283.33,229.11,-110.0,-110.0,West,Northwest,West,Pacific,-112.0,-108.0,-270.0,220.0,-112.0,-108.0,-113.0,-107.0,-280.0,230.0,-110.0,-110.0,-109.0,-103.0,-277.0,233.0,-107.0,-107.0,-105,-115,-285,230,-108,-112,-110.0,-110.0,-278.0,219.0,-110.0,-110.0,-105.0,-115.0,-285.0,225.0,-110.0,-110.0,-105.0,-115.0,-290.0,240.0,-110.0,-110.0,-110.0,-110.0,-280.0,235.0,-110.0,-110.0,-117.0,-109.0,-305.0,230.0,-113.0,-113.0
NBA,2025-10-29 08:52:19,2025-10-29 22:10,Phoenix Suns,Memphis Grizzlies,No,1262.6,Yes,-110.67,-109.0,80.33,-122.78,-112.0,-108.11,West,Pacific,West,Southwest,-110.0,-110.0,102.0,-120.0,-114.0,-106.0,-115.0,-105.0,105.0,-125.0,-115.0,-105.0,-111.0,-101.0,107.0,-123.0,-113.0,-102.0,-105,-115,102,-122,-108,-112,-110.0,-110.0,102.0,-125.0,-110.0,-110.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-115.0,-105.0,105.0,-125.0,-115.0,-105.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-110.0,-115.0,-105.0,-120.0,-113.0,-113.0
NBA,2025-10-29 08:52:19,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-111.0,-111.0,-142.0,117.33,-111.0,-111.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,-110,-110,-142,120,-110,-110,-110.0,-110.0,-141.0,115.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0
NBA,2025-10-29 08:52:19,2025-12-25 14:30,Oklahoma City Thunder,San Antonio Spurs,No,419.4,No,-110.67,-111.0,-426.67,320.0,-109.0,-113.0,West,Northwest,West,Southwest,,,,,,,,,,,,,,,,,,,-110,-110,-410,320,-105,-115,-110.0,-110.0,-450.0,330.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,-112.0,-113.0,-420.0,310.0,-112.0,-114.0
NBA,2025-10-29 08:52:19,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-112.0,-110.0,-199.33,162.0,-111.33,-110.67,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,-112,-108,-205,170,-110,-110,-110.0,-110.0,-193.0,156.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,-114.0,-112.0,-200.0,160.0,-114.0,-112.0
NBA,2025-10-29 08:52:19,2025-12-25 20:00,Los Angeles Lakers,Houston Rockets,No,1375.3,Yes,-111.0,-109.0,-145.5,120.5,-112.5,-107.5,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,-112,-108,-148,124,-115,-105,-110.0,-110.0,-143.0,117.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-29 08:52:19,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-110.67,-111.33,-221.0,178.0,-112.33,-109.67,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,-105,-115,-225,185,-115,-105,-110.0,-110.0,-218.0,174.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,-117.0,-109.0,-220.0,175.0,-112.0,-114.0
