League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-08 16:18:55,2025-11-08 19:10,Washington Wizards,Dallas Mavericks,No,1185.0,Yes,-109.0,-110.78,175.33,-211.44,-111.22,-108.78,East,Southeast,West,Southwest,-108.0,-112.0,180.0,-218.0,-115.0,-105.0,-110.0,-110.0,170.0,-213.0,-110.0,-110.0,-114.0,-106.0,166.0,-198.0,-110.0,-110.0,-113,-113,180,-230,-113,-113,-101.0,-111.0,182.0,-209.0,-110.0,-104.0,-105.0,-115.0,180.0,-210.0,-113.0,-107.0,-110.0,-110.0,175.0,-210.0,-115.0,-105.0,-110.0,-110.0,170.0,-210.0,-105.0,-115.0,-110.0,-110.0,175.0,-205.0,-110.0,-110.0
NBA,2025-11-08 16:18:55,2025-11-08 19:30,Philadelphia 76ers,Toronto Raptors,Yes,337.5,Yes,-107.56,-112.22,-206.89,172.56,-110.89,-109.11,East,Atlantic,East,Atlantic,-105.0,-115.0,-205.0,170.0,-112.0,-108.0,-110.0,-110.0,-213.0,170.0,-110.0,-110.0,-110.0,-110.0,-205.0,172.0,-112.0,-108.0,-113,-113,-215,170,-112,-114,-103.0,-109.0,-204.0,179.0,-107.0,-107.0,-107.0,-113.0,-205.0,177.0,-110.0,-110.0,-105.0,-115.0,-200.0,170.0,-110.0,-110.0,-105.0,-115.0,-210.0,170.0,-115.0,-105.0,-110.0,-110.0,-205.0,175.0,-110.0,-110.0
NBA,2025-11-08 16:18:55,2025-11-08 20:00,Atlanta Hawks,Los Angeles Lakers,No,1937.7,Yes,-109.78,-110.0,163.11,-194.67,-110.22,-109.67,East,Southeast,West,Pacific,-108.0,-112.0,160.0,-192.0,-108.0,-112.0,-110.0,-110.0,170.0,-214.0,-110.0,-110.0,-112.0,-108.0,164.0,-196.0,-112.0,-108.0,-112,-114,155,-195,-110,-115,-106.0,-106.0,166.0,-190.0,-107.0,-107.0,-110.0,-110.0,165.0,-190.0,-110.0,-110.0,-110.0,-110.0,160.0,-185.0,-110.0,-110.0,-110.0,-110.0,165.0,-200.0,-115.0,-105.0,-110.0,-110.0,163.0,-190.0,-110.0,-110.0
NBA,2025-11-08 16:18:55,2025-11-08 20:00,San Antonio Spurs,New Orleans Pelicans,Yes,503.7,Yes,-109.67,-110.0,-543.22,400.89,-109.44,-110.56,West,Southwest,West,Southwest,-112.0,-108.0,-550.0,410.0,-105.0,-115.0,-110.0,-110.0,-556.0,395.0,-110.0,-110.0,-114.0,-106.0,-590.0,430.0,-110.0,-110.0,-115,-110,-500,360,-113,-113,-101.0,-111.0,-518.0,408.0,-107.0,-107.0,-105.0,-115.0,-525.0,400.0,-110.0,-110.0,-105.0,-115.0,-575.0,400.0,-110.0,-110.0,-115.0,-105.0,-550.0,400.0,-110.0,-110.0,-110.0,-110.0,-525.0,405.0,-110.0,-110.0
NBA,2025-11-08 16:18:55,2025-11-08 20:10,Cleveland Cavaliers,Chicago Bulls,Yes,310.7,Yes,-109.78,-110.0,-338.22,269.67,-107.67,-112.44,East,Central,East,Central,-105.0,-115.0,-345.0,275.0,-105.0,-115.0,-110.0,-110.0,-333.0,255.0,-110.0,-110.0,-110.0,-110.0,-360.0,290.0,-110.0,-110.0,-112,-114,-315,245,-112,-114,-111.0,-101.0,-336.0,278.0,-102.0,-113.0,-115.0,-105.0,-340.0,274.0,-105.0,-115.0,-110.0,-110.0,-350.0,275.0,-110.0,-110.0,-105.0,-115.0,-325.0,260.0,-105.0,-115.0,-110.0,-110.0,-340.0,275.0,-110.0,-110.0
NBA,2025-11-08 16:18:55,2025-11-08 20:10,Miami Heat,Portland Trail Blazers,No,2707.3,Yes,-111.67,-108.11,139.22,-165.56,-109.33,-110.67,East,Southeast,West,Northwest,-105.0,-115.0,140.0,-166.0,-105.0,-115.0,-110.0,-110.0,140.0,-172.0,-110.0,-110.0,-110.0,-110.0,142.0,-168.0,-110.0,-110.0,-114,-112,140,-177,-112,-114,-111.0,-101.0,141.0,-160.0,-107.0,-107.0,-115.0,-105.0,142.0,-162.0,-110.0,-110.0,-115.0,-105.0,135.0,-160.0,-110.0,-110.0,-110.0,-110.0,135.0,-165.0,-110.0,-110.0,-115.0,-105.0,138.0,-160.0,-110.0,-110.0
NBA,2025-11-08 16:18:55,2025-11-08 21:10,Denver Nuggets,Indiana Pacers,No,1002.0,Yes,-111.44,-108.11,-534.33,396.22,-109.89,-109.89,West,Northwest,East,Central,-115.0,-105.0,-550.0,410.0,-112.0,-108.0,-110.0,-110.0,-556.0,393.0,-110.0,-110.0,-114.0,-106.0,-500.0,385.0,-110.0,-110.0,-114,-110,-560,390,-110,-114,-103.0,-109.0,-518.0,408.0,-107.0,-107.0,-107.0,-113.0,-525.0,400.0,-110.0,-110.0,-115.0,-105.0,-525.0,375.0,-110.0,-110.0,-115.0,-105.0,-550.0,400.0,-110.0,-110.0,-110.0,-110.0,-525.0,405.0,-110.0,-110.0
NBA,2025-11-08 16:18:55,2025-11-08 22:30,Los Angeles Clippers,Phoenix Suns,Yes,362.6,Yes,-111.57,-108.14,-206.62,171.5,-110.11,-110.0,West,Pacific,West,Pacific,-105.0,-115.0,-205.0,170.0,-105.0,-115.0,-110.0,-110.0,-208.0,166.0,-110.0,-110.0,-112.0,-108.0,-205.0,172.0,-110.0,-110.0,-113,-113,-225,175,-113,-113,-111.0,-101.0,-200.0,175.0,-113.0,-102.0,-115.0,-105.0,-200.0,174.0,-115.0,-105.0,,,,,-105.0,-115.0,,,-210.0,170.0,-105.0,-115.0,-115.0,-105.0,-200.0,170.0,-115.0,-105.0
NBA,2025-11-08 16:18:55,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-08 16:18:55,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
