League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2025-11-03 10:25:42,2025-11-03 19:00,Indiana Pacers,Milwaukee Bucks,Yes,244.2,Yes,-109.0,-110.67,184.0,-222.44,-109.56,-110.44,East,Central,East,Central,-102.0,-118.0,185.0,-225.0,-110.0,-110.0,-111.0,-101.0,185.0,-214.0,-107.0,-107.0,-115.0,-105.0,183.0,-215.0,-110.0,-110.0,-108.0,-112.0,184.0,-220.0,-110.0,-110.0,-110.0,-110.0,186.0,-233.0,-110.0,-110.0,-115,-110,170,-220,-114,-112,-105.0,-115.0,185.0,-225.0,-105.0,-115.0,-110.0,-110.0,183.0,-215.0,-110.0,-110.0,-105.0,-115.0,195.0,-235.0,-110.0,-110.0
NBA,2025-11-03 10:25:42,2025-11-03 19:10,Brooklyn Nets,Minnesota Timberwolves,No,1021.6,Yes,-110.0,-109.78,296.44,-377.89,-110.89,-109.11,East,Atlantic,West,Northwest,-105.0,-115.0,295.0,-375.0,-112.0,-108.0,-111.0,-101.0,304.0,-371.0,-107.0,-107.0,-115.0,-105.0,299.0,-375.0,-110.0,-110.0,-110.0,-110.0,295.0,-370.0,-110.0,-110.0,-110.0,-110.0,295.0,-385.0,-110.0,-110.0,-114,-112,285,-385,-114,-112,-105.0,-115.0,300.0,-375.0,-115.0,-105.0,-110.0,-110.0,300.0,-375.0,-110.0,-110.0,-110.0,-110.0,295.0,-390.0,-110.0,-110.0
NBA,2025-11-03 10:25:42,2025-11-03 19:40,Boston Celtics,Utah Jazz,No,2099.0,Yes,-110.44,-109.33,-468.89,356.78,-110.22,-109.56,East,Atlantic,West,Northwest,-115.0,-105.0,-470.0,360.0,-115.0,-105.0,-106.0,-106.0,-439.0,353.0,-107.0,-107.0,-110.0,-110.0,-445.0,347.0,-110.0,-110.0,-110.0,-110.0,-460.0,360.0,-110.0,-110.0,-110.0,-110.0,-476.0,351.0,-110.0,-110.0,-113,-113,-500,360,-110,-114,-115.0,-105.0,-500.0,375.0,-110.0,-110.0,-110.0,-110.0,-460.0,360.0,-110.0,-110.0,-105.0,-115.0,-470.0,345.0,-110.0,-110.0
NBA,2025-11-03 10:25:42,2025-11-03 19:40,New York Knicks,Washington Wizards,No,205.6,Yes,-111.0,-108.78,-647.22,465.56,-111.33,-108.78,East,Atlantic,East,Southeast,-110.0,-110.0,-650.0,470.0,-110.0,-110.0,-106.0,-106.0,-600.0,462.0,-113.0,-102.0,-110.0,-110.0,-610.0,452.0,-115.0,-105.0,-114.0,-106.0,-670.0,490.0,-110.0,-110.0,-110.0,-110.0,-625.0,441.0,-110.0,-110.0,-114,-112,-670,450,-114,-112,-110.0,-110.0,-700.0,500.0,-105.0,-115.0,-110.0,-110.0,-650.0,475.0,-110.0,-110.0,-115.0,-105.0,-650.0,450.0,-115.0,-105.0
NBA,2025-11-03 10:25:42,2025-11-03 20:10,Houston Rockets,Dallas Mavericks,Yes,226.3,Yes,-111.67,-108.0,-693.67,490.0,-111.22,-108.78,West,Southwest,West,Southwest,-115.0,-105.0,-700.0,500.0,-105.0,-115.0,-111.0,-101.0,-664.0,502.0,-113.0,-102.0,-115.0,-105.0,-675.0,491.0,-115.0,-105.0,-114.0,-106.0,-700.0,500.0,-110.0,-110.0,-110.0,-110.0,-714.0,472.0,-110.0,-110.0,-110,-115,-715,480,-113,-112,-115.0,-105.0,-700.0,500.0,-115.0,-105.0,-110.0,-110.0,-675.0,490.0,-110.0,-110.0,-105.0,-115.0,-700.0,475.0,-110.0,-110.0
NBA,2025-11-03 10:25:42,2025-11-03 20:10,Memphis Grizzlies,Detroit Pistons,No,623.7,Yes,-112.89,-106.78,156.78,-186.78,-109.89,-110.11,West,Southwest,East,Central,-115.0,-105.0,160.0,-192.0,-115.0,-105.0,-111.0,-101.0,161.0,-183.0,-107.0,-107.0,-115.0,-105.0,160.0,-183.0,-110.0,-110.0,-110.0,-110.0,158.0,-188.0,-110.0,-110.0,-110.0,-110.0,149.0,-185.0,-110.0,-110.0,-115,-110,150,-190,-112,-114,-115.0,-105.0,154.0,-190.0,-105.0,-115.0,-115.0,-105.0,159.0,-185.0,-110.0,-110.0,-110.0,-110.0,160.0,-185.0,-110.0,-110.0
NBA,2025-11-03 10:25:42,2025-11-03 21:00,Denver Nuggets,Sacramento Kings,No,888.1,Yes,-110.56,-109.11,-607.67,440.67,-110.22,-109.78,West,Northwest,West,Pacific,-108.0,-112.0,-600.0,440.0,-112.0,-108.0,-111.0,-101.0,-576.0,446.0,-107.0,-107.0,-115.0,-105.0,-585.0,437.0,-110.0,-110.0,-106.0,-114.0,-600.0,450.0,-114.0,-106.0,-110.0,-110.0,-673.0,448.0,-110.0,-110.0,-115,-110,-625,425,-114,-112,-115.0,-105.0,-625.0,450.0,-105.0,-115.0,-110.0,-110.0,-585.0,445.0,-110.0,-110.0,-105.0,-115.0,-600.0,425.0,-110.0,-110.0
NBA,2025-11-03 10:25:42,2025-11-03 22:10,Portland Trail Blazers,Los Angeles Lakers,No,826.1,Yes,-110.11,-109.44,-152.0,128.44,-111.33,-108.78,West,Northwest,West,Pacific,-105.0,-115.0,-155.0,130.0,-105.0,-115.0,-111.0,-101.0,-149.0,132.0,-113.0,-102.0,-115.0,-105.0,-150.0,130.0,-115.0,-105.0,-106.0,-114.0,-158.0,134.0,-110.0,-110.0,-110.0,-110.0,-152.0,123.0,-110.0,-110.0,-114,-110,-159,128,-114,-112,-105.0,-115.0,-150.0,125.0,-110.0,-110.0,-115.0,-105.0,-150.0,129.0,-110.0,-110.0,-110.0,-110.0,-145.0,125.0,-115.0,-105.0
NBA,2025-11-03 10:25:42,2025-11-03 22:40,Los Angeles Clippers,Miami Heat,No,2344.1,Yes,-86.67,-110.67,-320.0,256.89,-107.22,-112.89,West,Pacific,East,Southeast,100.0,-120.0,-325.0,260.0,-105.0,-115.0,-106.0,-106.0,-322.0,267.0,-102.0,-113.0,-110.0,-110.0,-325.0,263.0,-105.0,-115.0,-114.0,-106.0,-320.0,260.0,-106.0,-114.0,-110.0,-110.0,-323.0,247.0,-110.0,-110.0,-115,-109,-315,240,-112,-114,-105.0,-115.0,-325.0,260.0,-105.0,-115.0,-110.0,-110.0,-325.0,265.0,-110.0,-110.0,-110.0,-110.0,-300.0,250.0,-110.0,-110.0
NBA,2025-11-03 10:25:42,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,,,,,,,
