League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-03-22 18:26:03,2026-03-22 17:10,2a8d0098f2f9618a48da74e1db566ffd,Denver Nuggets,Portland Trail Blazers,Yes,981.8,No,West,Northwest,West,Northwest,-113.33,-115.33,-14.33,14.33,-3791.67,985.0,-115.33,-115.67,258.67,-114,-114,-3500,1060,-125,-106,-111.0,-111.0,-2500.0,950.0,-111.0,-118.0,-110.0,-120.0,-1750.0,850.0,-115.0,-115.0,-120.0,-114.0,-10000.0,1150.0,-121.0,-115.0,-115.0,-115.0,-2500.0,1000.0,-115.0,-115.0,-110.0,-118.0,-2500.0,900.0,-105.0,-125.0,,,,,,,,,,,,,,,,,,
NBA,2026-03-22 18:26:03,2026-03-22 18:11,d59068d1012b6bf912e2b6824b39bf51,Sacramento Kings,Brooklyn Nets,No,2508.3,No,West,Pacific,East,Atlantic,-113.86,-114.29,-6.07,6.07,-248.57,190.43,-83.14,-117.71,215.79,-108,-122,-265,200,100,-132,-118.0,-105.0,-250.0,190.0,-111.0,-118.0,-115.0,-115.0,-245.0,185.0,-110.0,-120.0,-113.0,-121.0,-250.0,185.0,-120.0,-117.0,-110.0,-120.0,-250.0,185.0,-115.0,-115.0,-125.0,-105.0,-235.0,185.0,-118.0,-110.0,-108.0,-112.0,-245.0,203.0,-108.0,-112.0,,,,,,,,,,,,
NBA,2026-03-22 18:26:03,2026-03-22 19:40,4dd372ed75728dd87afb1727ae355dc3,New York Knicks,Washington Wizards,No,205.6,Yes,East,Atlantic,East,Southeast,-110.33,-109.11,-21.61,21.61,-4905.89,1406.11,-110.11,-109.56,228.78,-114,-106,-4000,1500,-114,-106,-110.0,-110.0,-5000.0,1346.0,-110.0,-110.0,-110.0,-110.0,-3200.0,1400.0,-110.0,-110.0,-113.0,-110.0,-5000.0,1200.0,-109.0,-114.0,-110.0,-110.0,-6500.0,1300.0,-110.0,-110.0,-110.0,-110.0,-10000.0,1650.0,-105.0,-115.0,-110.0,-110.0,-3500.0,1356.0,-113.0,-107.0,-106.0,-106.0,-3453.0,1403.0,-110.0,-104.0,-110.0,-110.0,-3500.0,1500.0,-110.0,-110.0
NBA,2026-03-22 18:26:03,2026-03-22 20:10,1a05c77c819835b566aa84234d87308b,Boston Celtics,Minnesota Timberwolves,No,1124.0,Yes,East,Atlantic,West,Northwest,-109.89,-109.56,-9.94,9.94,-420.56,323.44,-109.22,-110.33,221.94,-110,-110,-420,330,-110,-110,-110.0,-110.0,-400.0,304.0,-110.0,-110.0,-118.0,-102.0,-410.0,320.0,-112.0,-108.0,-114.0,-109.0,-455.0,325.0,-109.0,-113.0,-110.0,-110.0,-440.0,330.0,-110.0,-110.0,-105.0,-115.0,-425.0,320.0,-105.0,-115.0,-108.0,-112.0,-400.0,316.0,-110.0,-110.0,-104.0,-108.0,-395.0,321.0,-107.0,-107.0,-110.0,-110.0,-440.0,345.0,-110.0,-110.0
NBA,2026-03-22 18:26:03,2026-03-22 21:10,cc54e4aec84694c34dba42b139467839,Phoenix Suns,Toronto Raptors,No,1890.3,Yes,West,Pacific,East,Atlantic,-109.56,-110.0,4.17,-4.17,146.44,-174.44,-110.11,-109.56,219.39,-106,-114,148,-176,-108,-112,-110.0,-110.0,141.0,-175.0,-110.0,-110.0,-118.0,-102.0,145.0,-175.0,-110.0,-110.0,-112.0,-112.0,150.0,-190.0,-114.0,-109.0,-105.0,-115.0,140.0,-165.0,-110.0,-110.0,-115.0,-105.0,145.0,-175.0,-110.0,-110.0,-107.0,-113.0,151.0,-172.0,-111.0,-109.0,-103.0,-109.0,152.0,-172.0,-108.0,-106.0,-110.0,-110.0,146.0,-170.0,-110.0,-110.0
NBA,2026-03-22 18:26:03,2026-03-23 19:10,b542245530e737dbd0703796ab0c1257,Detroit Pistons,Los Angeles Lakers,No,1984.4,Yes,East,Central,West,Pacific,-109.0,-111.0,2.0,-2.0,108.5,-128.5,-107.5,-112.5,227.0,-110,-110,112,-132,-110,-110,,,,,,,-108.0,-112.0,105.0,-125.0,-105.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-22 18:26:03,2026-03-23 19:10,ee838160ed85754aa11218f7ec3708b0,Orlando Magic,Indiana Pacers,No,820.2,Yes,East,Southeast,East,Central,-110.0,-110.0,-12.75,12.75,-800.0,557.5,-110.0,-110.0,233.0,-110,-110,-850,590,-110,-110,,,,,,,-110.0,-110.0,-750.0,525.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-22 18:26:03,2026-03-23 19:10,c61d2594de00eb4d12ba96127dc437e5,Miami Heat,San Antonio Spurs,No,1145.9,Yes,East,Southeast,West,Southwest,-110.0,-110.0,6.0,-6.0,188.0,-225.0,-108.0,-112.0,240.5,-110,-110,188,-225,-108,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-22 18:26:03,2026-03-23 19:10,49b50074de17e9d2082babc6b09b0d97,Philadelphia 76ers,Oklahoma City Thunder,No,1258.6,Yes,East,Atlantic,West,Northwest,-110.0,-110.0,15.5,-15.5,765.0,-1250.0,-110.0,-110.0,223.0,-110,-110,730,-1150,-110,-110,,,,,,,-110.0,-110.0,800.0,-1350.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-22 18:26:03,2026-03-23 22:40,9d16ebba2fd9d005cddea05f25e60145,Los Angeles Clippers,Milwaukee Bucks,No,1753.0,Yes,West,Pacific,East,Central,-110.0,-110.0,-11.0,11.0,-500.0,385.0,-110.0,-110.0,226.5,-110,-110,-500,385,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
