League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-01-09 16:26:23,2026-01-09 19:10,Boston Celtics,Toronto Raptors,Yes,430.3,Yes,-110.0,-109.56,-374.0,291.78,-108.62,-110.62,East,Atlantic,East,Atlantic,-112,-108,-370,295,-108,-112,-110,-110,-375,280,-110,-110,-105,-115,-375,295,-105,-115,-110,-102,-371,304,-109,-105,-114,-106,-375,299,-112,-108,-114,-110,-400,295,,,-110,-110,-345,278,-110,-110,-105.0,-115.0,-375,290,-105,-115,-110.0,-110.0,-380.0,290.0,-110,-110
NBA,2026-01-09 16:26:23,2026-01-09 19:10,Washington Wizards,New Orleans Pelicans,No,966.2,Yes,-109.78,-110.0,121.67,-144.22,-109.38,-109.88,East,Southeast,West,Southwest,-106,-114,122,-144,-108,-112,-110,-110,121,-149,-110,-110,-108,-112,120,-142,-115,-105,-109,-103,122,-138,-107,-107,-113,-107,120,-140,-110,-110,-112,-114,120,-150,,,-115,-105,125,-145,-110,-110,-105.0,-115.0,120,-145,-110,-110,-110.0,-110.0,125.0,-145.0,-105,-115
NBA,2026-01-09 16:26:23,2026-01-09 19:10,Orlando Magic,Philadelphia 76ers,No,859.5,Yes,-111.33,-108.44,130.33,-154.33,-110.75,-108.5,East,Southeast,East,Atlantic,-112,-108,130,-154,-114,-106,-110,-110,125,-154,-110,-110,-115,-105,130,-155,-115,-105,-104,-108,132,-149,-107,-107,-108,-112,130,-150,-110,-110,-113,-113,132,-167,,,-110,-110,129,-150,-110,-110,-115.0,-105.0,135,-160,-110,-110,-115.0,-105.0,130.0,-150.0,-110,-110
NBA,2026-01-09 16:26:23,2026-01-09 19:40,Brooklyn Nets,Los Angeles Clippers,No,2461.0,Yes,-108.44,-111.11,162.44,-194.0,-109.62,-109.62,East,Atlantic,West,Pacific,-106,-114,164,-196,-110,-110,-110,-110,155,-192,-110,-110,-115,-105,164,-198,-110,-110,-101,-111,166,-190,-107,-107,-105,-115,165,-190,-110,-110,-109,-115,155,-195,,,-110,-110,163,-190,-110,-110,-105.0,-115.0,165,-200,-110,-110,-115.0,-105.0,165.0,-195.0,-110,-110
NBA,2026-01-09 16:26:23,2026-01-09 20:10,Memphis Grizzlies,Oklahoma City Thunder,No,422.4,Yes,-107.89,-111.89,182.11,-220.11,-109.12,-110.12,West,Southwest,West,Northwest,-106,-114,184,-220,-108,-112,-110,-110,182,-227,-110,-110,-115,-105,190,-230,-108,-112,-101,-111,185,-214,-107,-107,-105,-115,183,-215,-110,-110,-114,-112,180,-235,,,-110,-110,180,-210,-110,-110,-105.0,-115.0,180,-220,-110,-110,-105.0,-115.0,175.0,-210.0,-110,-110
NBA,2026-01-09 16:26:23,2026-01-09 21:10,Denver Nuggets,Atlanta Hawks,No,1212.6,Yes,-109.89,-109.78,102.44,-122.56,-109.75,-109.5,West,Northwest,East,Southeast,-110,-110,106,-124,-106,-114,-110,-110,102,-125,-110,-110,-108,-112,102,-122,-110,-110,-106,-106,102,-118,-107,-107,-110,-110,100,-120,-110,-110,-110,-115,100,-124,,,-110,-110,105,-125,-110,-110,-110.0,-110.0,100,-120,-110,-110,-115.0,-105.0,105.0,-125.0,-115,-105
NBA,2026-01-09 16:26:23,2026-01-09 21:10,Phoenix Suns,New York Knicks,No,2145.0,Yes,-109.25,-110.5,-0.75,-119.0,-109.75,-109.5,West,Pacific,East,Atlantic,-106,-114,100,-118,-106,-114,-110,-110,-102,-119,-110,-110,-105,-115,105,-125,-115,-105,-106,-106,100,-116,-107,-107,-110,-110,-102,-118,-110,-110,-112,-114,-105,-118,,,-110,-110,100,-120,-110,-110,-115.0,-105.0,-102,-118,-110,-110,,,,,-110,-110
NBA,2026-01-09 16:26:23,2026-01-09 22:10,Golden State Warriors,Sacramento Kings,Yes,74.0,Yes,-110.22,-109.56,-786.22,537.0,-110.75,-108.5,West,Pacific,West,Pacific,-110,-110,-820,570,-114,-106,-110,-110,-769,502,-110,-110,-110,-110,-750,525,-110,-110,-105,-107,-737,547,-107,-107,-109,-111,-750,534,-110,-110,-113,-113,-1000,600,,,-110,-110,-750,530,-110,-110,-110.0,-110.0,-800,550,-115,-105,-115.0,-105.0,-700.0,475.0,-110,-110
NBA,2026-01-09 16:26:23,2026-01-09 22:10,Portland Trail Blazers,Houston Rockets,No,1836.0,Yes,-107.11,-112.67,202.44,-247.67,-109.38,-109.88,West,Northwest,West,Southwest,-106,-114,205,-250,-108,-112,-110,-110,202,-256,-110,-110,-105,-115,200,-245,-110,-110,-101,-111,202,-238,-107,-107,-105,-115,200,-240,-110,-110,-112,-114,205,-265,,,-110,-110,203,-240,-110,-110,-105.0,-115.0,200,-250,-110,-110,-110.0,-110.0,205.0,-245.0,-110,-110
NBA,2026-01-09 16:26:23,2026-01-09 22:40,Los Angeles Lakers,Milwaukee Bucks,No,1745.7,Yes,-108.25,-111.5,-159.44,134.56,-109.62,-109.62,West,Pacific,East,Central,-114,-106,-164,138,-110,-110,-110,-110,-160,129,-110,-110,-105,-115,-162,136,-110,-110,-102,-110,-155,136,-107,-107,-106,-114,-155,135,-110,-110,-109,-117,-159,128,,,-110,-110,-155,134,-110,-110,,,-160,135,-110,-110,-110.0,-110.0,-165.0,140.0,-110,-110
