League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-01 04:34:19,2025-12-01 19:00,Washington Wizards,Milwaukee Bucks,No,637.0,Yes,-106.22,-113.56,309.0,-397.56,-107.33,-112.78,East,Southeast,East,Central,-105,-115,295,-375,-108,-112,-101.0,-111.0,304.0,-371.0,-102.0,-113.0,-105.0,-115.0,299.0,-375.0,-105.0,-115.0,-106,-114,350,-450,-112,-108,-110.0,-110.0,313.0,-417.0,-110.0,-110.0,-105.0,-115.0,310.0,-400.0,-105.0,-115.0,-110.0,-110.0,290.0,-380.0,-105.0,-115.0,-109.0,-117.0,320.0,-435.0,-114.0,-112.0,-105.0,-115.0,300.0,-375.0,-105.0,-115.0
NBA,2025-12-01 04:34:19,2025-12-01 19:10,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,-108.22,-111.56,-392.0,304.67,-108.22,-111.89,East,Central,East,Southeast,-108,-112,-380,300,-108,-112,-111.0,-101.0,-371.0,304.0,-102.0,-113.0,-115.0,-105.0,-375.0,299.0,-105.0,-115.0,-106,-114,-375,300,-105,-115,-110.0,-110.0,-417.0,309.0,-110.0,-110.0,-105.0,-115.0,-400.0,310.0,-115.0,-105.0,-105.0,-115.0,-410.0,305.0,-110.0,-110.0,-109.0,-117.0,-400.0,295.0,-114.0,-112.0,-105.0,-115.0,-400.0,320.0,-105.0,-115.0
NBA,2025-12-01 04:34:19,2025-12-01 19:10,Indiana Pacers,Cleveland Cavaliers,Yes,263.5,Yes,-110.22,-109.56,192.0,-233.89,-108.22,-111.89,East,Central,East,Central,-110,-110,195,-238,-115,-105,-106.0,-106.0,202.0,-238.0,-102.0,-113.0,-110.0,-110.0,200.0,-240.0,-105.0,-115.0,-108,-112,176,-210,-110,-110,-110.0,-110.0,192.0,-244.0,-110.0,-110.0,-110.0,-110.0,190.0,-235.0,-105.0,-115.0,-115.0,-105.0,200.0,-240.0,-110.0,-110.0,-113.0,-113.0,170.0,-220.0,-112.0,-114.0,-110.0,-110.0,203.0,-240.0,-105.0,-115.0
NBA,2025-12-01 04:34:19,2025-12-01 19:30,Miami Heat,Los Angeles Clippers,No,2344.1,Yes,-109.0,-110.78,-240.89,197.22,-110.11,-109.89,East,Southeast,West,Pacific,-105,-115,-245,200,-112,-108,-106.0,-106.0,-238.0,202.0,-107.0,-107.0,-110.0,-110.0,-240.0,200.0,-110.0,-110.0,-108,-112,-240,198,-110,-110,-110.0,-110.0,-250.0,197.0,-110.0,-110.0,-110.0,-110.0,-250.0,200.0,-110.0,-110.0,-110.0,-110.0,-235.0,195.0,-110.0,-110.0,-112.0,-114.0,-230.0,180.0,-112.0,-114.0,-110.0,-110.0,-240.0,203.0,-110.0,-110.0
NBA,2025-12-01 04:34:19,2025-12-01 19:40,Brooklyn Nets,Charlotte Hornets,No,530.9,Yes,-111.56,-85.89,159.78,-190.11,-110.56,-109.33,East,Atlantic,East,Southeast,-110,-110,160,-192,-110,-110,-114.0,102.0,169.0,-193.0,-107.0,-107.0,-118.0,-102.0,168.0,-193.0,-110.0,-110.0,-110,-110,164,-196,-108,-112,-110.0,-110.0,150.0,-185.0,-110.0,-110.0,-110.0,-110.0,155.0,-190.0,-115.0,-105.0,-110.0,-110.0,160.0,-185.0,-110.0,-110.0,-112.0,-113.0,145.0,-182.0,-115.0,-110.0,-110.0,-110.0,167.0,-195.0,-110.0,-110.0
NBA,2025-12-01 04:34:19,2025-12-01 19:40,Orlando Magic,Chicago Bulls,No,985.5,Yes,-110.33,-109.33,-350.22,276.78,-111.11,-108.89,East,Southeast,East,Central,-110,-110,-345,275,-112,-108,-106.0,-106.0,-342.0,282.0,-107.0,-107.0,-110.0,-110.0,-345.0,278.0,-110.0,-110.0,-110,-110,-350,280,-114,-106,-110.0,-110.0,-345.0,263.0,-110.0,-110.0,-110.0,-110.0,-350.0,280.0,-115.0,-105.0,-115.0,-105.0,-370.0,285.0,-110.0,-110.0,-112.0,-113.0,-360.0,270.0,-112.0,-114.0,-110.0,-110.0,-345.0,278.0,-110.0,-110.0
NBA,2025-12-01 04:34:19,2025-12-01 21:10,Denver Nuggets,Dallas Mavericks,No,662.5,Yes,-115.22,-38.0,-532.11,393.56,-110.33,-87.33,West,Northwest,West,Southwest,-105,-115,-485,370,-105,-115,-122.0,109.0,-518.0,408.0,-115.0,100.0,-125.0,105.0,-525.0,400.0,-117.0,-103.0,-112,-108,-500,385,-106,-114,-110.0,-110.0,-526.0,369.0,-110.0,-110.0,-110.0,-110.0,-600.0,425.0,-105.0,-115.0,-115.0,-105.0,-550.0,390.0,-110.0,-110.0,-113.0,-113.0,-560.0,390.0,-110.0,-114.0,-125.0,105.0,-525.0,405.0,-115.0,-105.0
NBA,2025-12-01 04:34:19,2025-12-01 21:10,Utah Jazz,Houston Rockets,No,1201.1,Yes,-111.0,-108.56,457.33,-634.22,-109.89,-109.89,West,Northwest,West,Southwest,-115,-105,455,-625,-112,-108,-106.0,-106.0,456.0,-591.0,-107.0,-107.0,-110.0,-110.0,446.0,-600.0,-110.0,-110.0,-110,-110,500,-700,-110,-110,-110.0,-110.0,454.0,-667.0,-110.0,-110.0,-118.0,-102.0,475.0,-650.0,-110.0,-110.0,-110.0,-110.0,450.0,-650.0,-110.0,-110.0,-110.0,-114.0,430.0,-625.0,-110.0,-114.0,-110.0,-110.0,450.0,-600.0,-110.0,-110.0
NBA,2025-12-01 04:34:19,2025-12-01 22:10,Los Angeles Lakers,Phoenix Suns,Yes,359.1,Yes,-109.78,-110.0,-219.56,181.33,-107.78,-112.33,West,Pacific,West,Pacific,-110,-110,-225,185,-108,-112,-106.0,-106.0,-214.0,185.0,-102.0,-113.0,-110.0,-110.0,-215.0,183.0,-105.0,-115.0,-110,-110,-225,188,-108,-112,-110.0,-110.0,-222.0,178.0,-110.0,-110.0,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-110.0,-110.0,-225.0,185.0,-110.0,-110.0,-112.0,-114.0,-215.0,165.0,-112.0,-114.0,-110.0,-110.0,-215.0,183.0,-105.0,-115.0
NBA,2025-12-01 04:34:19,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-109.5,-110.5,-207.5,173.0,-110.0,-110.0,East,Southeast,East,Southeast,-105,-115,-205,170,-110,-110,,,,,,,,,,,,,-114,-106,-210,176,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
