League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-20 16:15:07,2026-05-20 20:40,51176769d0f89d3e39adc8e90922f84d,Oklahoma City Thunder,San Antonio Spurs,No,419.4,Yes,West,Northwest,West,Southwest,-109.22,-110.22,-7.22,7.22,-250.89,204.44,-110.22,-109.44,216.72,-114,-109,-275,210,-110,-113,-108,-112,-250,205,-110,-110,-105,-115,-230,190,-108,-112,-111,-101,-248,210,-108,-106,-105,-115,-250,200,-115,-105,-110,-110,-250,207,-111,-109,-110,-110,-260,215,-110,-110,-110,-110,-250,198,-110,-110,-110.0,-110.0,-245.0,205.0,-110.0,-110.0
NBA,2026-05-20 16:15:07,2026-05-21 20:10,dc45982e3723fb38d8477a1a75395594,New York Knicks,Cleveland Cavaliers,No,404.7,Yes,East,Atlantic,East,Central,-108.12,-111.25,-6.19,6.19,-232.0,190.25,-109.88,-109.75,215.75,-109,-114,-230,180,-110,-113,-106,-114,-225,188,-112,-108,-105,-115,-218,180,-108,-112,-108,-104,-238,202,-108,-106,-105,-115,-235,190,-110,-110,-112,-108,-240,200,-111,-109,-110,-110,-230,190,-110,-110,-110,-110,-240,192,-110,-110,,,,,,
