League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2025-12-08 07:53:27,2025-12-08 19:10,Indiana Pacers,Sacramento Kings,No,1887.3,Yes,-112.0,-107.78,-168.78,142.56,-112.22,-107.89,East,Central,West,Pacific,-114,-106,-168,142,-114,-106,-109.0,-103.0,-168.0,149.0,-113.0,-102.0,-113.0,-107.0,-168.0,148.0,-115.0,-105.0,-110.0,-110.0,-168.0,136.0,-110.0,-110.0,-115,-105,-170,142,-115,-105,-109,-117,-167,135,-113,-113,-118.0,-102.0,-170.0,140.0,-110.0,-110.0,-110.0,-110.0,-170.0,146.0,-110.0,-110.0,-110.0,-110.0,-170.0,145.0,-110.0,-110.0
NBA,2025-12-08 07:53:27,2025-12-08 19:40,Minnesota Timberwolves,Phoenix Suns,No,1279.2,Yes,-112.56,-107.11,-439.33,335.0,-109.67,-110.44,West,Northwest,West,Pacific,-112,-108,-405,320,-112,-108,-111.0,-101.0,-420.0,340.0,-102.0,-113.0,-115.0,-105.0,-425.0,334.0,-105.0,-115.0,-110.0,-110.0,-459.0,340.0,-110.0,-110.0,-115,-105,-440,340,-115,-105,-115,-110,-480,340,-113,-113,-115.0,-105.0,-450.0,333.0,-110.0,-110.0,-110.0,-110.0,-425.0,333.0,-110.0,-110.0,-110.0,-110.0,-450.0,335.0,-110.0,-110.0
NBA,2025-12-08 07:53:27,2025-12-08 20:10,New Orleans Pelicans,San Antonio Spurs,Yes,503.7,Yes,-109.56,-110.11,344.89,-453.33,-108.11,-111.89,West,Southwest,West,Southwest,-110,-110,385,-500,-108,-112,-107.0,-105.0,350.0,-435.0,-102.0,-113.0,-111.0,-109.0,344.0,-440.0,-105.0,-115.0,-110.0,-110.0,345.0,-480.0,-110.0,-110.0,-108,-112,340,-440,-108,-112,-110,-115,325,-455,-110,-115,-110.0,-110.0,340.0,-450.0,-110.0,-110.0,-110.0,-110.0,345.0,-440.0,-110.0,-110.0,-110.0,-110.0,330.0,-440.0,-110.0,-110.0
NBA,2025-12-08 07:53:27,2025-12-09 18:10,Orlando Magic,Miami Heat,Yes,203.7,No,-114.0,-108.0,-106.0,-114.0,-110.0,-112.0,East,Southeast,East,Southeast,-114,-106,-106,-110,-112,-108,,,,,,,,,,,,,,,,,,,-115,-105,-105,-115,-105,-115,-113,-113,-107,-117,-113,-113,,,,,,,,,,,,,,,,,,
NBA,2025-12-08 07:53:27,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-112.33,-109.67,139.0,-167.0,-111.0,-110.67,East,Atlantic,East,Atlantic,-110,-110,142,-168,-110,-110,,,,,,,,,,,,,,,,,,,-115,-105,140,-166,-110,-110,-112,-114,135,-167,-113,-112,,,,,,,,,,,,,,,,,,
NBA,2025-12-08 07:53:27,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-112.0,-109.67,-1183.33,700.0,-110.0,-111.33,West,Northwest,West,Pacific,-108,-112,-1100,700,-110,-110,,,,,,,,,,,,,,,,,,,-115,-105,-1200,750,-110,-110,-113,-112,-1250,650,-110,-114,,,,,,,,,,,,,,,,,,
NBA,2025-12-08 07:53:27,2025-12-10 22:00,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,-114.0,-108.0,-180.33,148.0,-113.0,-109.0,West,Pacific,West,Southwest,-114,-106,-186,156,-112,-108,,,,,,,,,,,,,,,,,,,-115,-105,-175,145,-115,-105,-113,-113,-180,143,-112,-114,,,,,,,,,,,,,,,,,,
