League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-24 15:17:30,2026-05-24 20:10,74cd3b630383a2e3eff3afd92006ebb3,San Antonio Spurs,Oklahoma City Thunder,No,419.4,Yes,West,Southwest,West,Northwest,-111.78,-107.67,-2.61,2.61,-148.22,125.22,-109.67,-110.0,219.22,-110,-110,-148,124,-112,-108,-110,-110,-144,122,-110,-110,-115,-105,-150,125,-105,-115,-111,-101,-147,130,-107,-107,-110,-113,-148,120,-113,-110,-115,-105,-148,128,-110,-110,-110,-110,-154,124,-110,-110,-110,-110,-145,125,-110,-110,-115.0,-105.0,-150.0,129.0,-110.0,-110.0
NBA,2026-05-24 15:17:30,2026-05-25 20:10,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,No,404.7,Yes,East,Central,East,Atlantic,-108.5,-110.75,2.19,-2.19,112.25,-133.5,-109.38,-110.25,217.56,-112,-108,110,-130,-110,-110,-110,-110,110,-130,-108,-112,-110,-110,110,-135,-110,-110,-104,-108,119,-135,-107,-107,-109,-113,107,-132,-110,-113,-108,-112,117,-137,-110,-110,-110,-110,110,-134,-110,-110,-105,-115,115,-135,-110,-110,,,,,,
