League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-21 15:53:33,2026-05-21 20:10,dc45982e3723fb38d8477a1a75395594,New York Knicks,Cleveland Cavaliers,No,404.7,Yes,East,Atlantic,East,Central,-109.78,-109.56,-5.33,5.33,-206.78,172.0,-109.44,-110.22,215.11,-108,-112,-200,168,-106,-114,-112,-108,-205,170,-108,-112,-110,-112,-215,170,-109,-114,-109,-111,-197,172,-110,-110,-109,-103,-197,173,-107,-107,-105,-115,-210,170,-115,-105,-115,-105,-220,180,-110,-110,-110,-110,-217,175,-110,-110,-110.0,-110.0,-200.0,170.0,-110.0,-110.0
NBA,2026-05-21 15:53:33,2026-05-22 20:40,7b814a0bc57622abcbc708d9e9a27fca,San Antonio Spurs,Oklahoma City Thunder,No,419.4,Yes,West,Southwest,West,Northwest,-109.62,-109.62,-1.75,1.75,-125.5,104.62,-110.0,-109.5,217.19,-108,-112,-118,100,-114,-106,-110,-110,-125,105,-110,-110,-112,-110,-125,100,-109,-113,-108,-112,-125,105,-110,-110,-104,-108,-123,107,-107,-107,-115,-105,-130,105,-110,-110,-110,-110,-130,110,-110,-110,-110,-110,-128,105,-110,-110,,,,,,
