League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-01-09 13:39:10,2026-01-09 19:10,Boston Celtics,Toronto Raptors,Yes,430.3,Yes,-107.78,-112.0,-370.67,291.78,-109.62,-109.62,East,Atlantic,East,Atlantic,-108,-112,-375,300,-112,-108,-110,-110,-375,280,-110,-110,-102,-118,-375,295,-108,-112,-106,-106,-371,304,-107,-107,-110,-110,-375,299,-110,-110,-112,-114,-385,290,,,-110,-110,-345.0,278.0,-110,-110,-102.0,-118.0,-375,300,-110,-110,-110,-110,-360,280,-110,-110
NBA,2026-01-09 13:39:10,2026-01-09 19:10,Washington Wizards,New Orleans Pelicans,No,966.2,Yes,-109.89,-109.67,119.89,-142.0,-108.75,-110.5,East,Southeast,West,Southwest,-106,-114,124,-146,-108,-112,-110,-110,121,-149,-110,-110,-102,-118,120,-142,-105,-115,-106,-106,122,-138,-107,-107,-110,-110,120,-140,-110,-110,-115,-109,117,-143,,,-110,-110,120.0,-140.0,-110,-110,-115.0,-105.0,120,-145,-115,-105,-115,-105,115,-135,-105,-115
NBA,2026-01-09 13:39:10,2026-01-09 19:10,Orlando Magic,Philadelphia 76ers,No,859.5,Yes,-108.33,-111.33,144.89,-172.44,-108.38,-110.88,East,Southeast,East,Atlantic,-110,-110,144,-172,-110,-110,-110,-110,142,-175,-110,-110,-102,-118,150,-180,-105,-115,-106,-106,150,-170,-107,-107,-110,-110,149,-170,-110,-110,-115,-110,138,-175,,,-110,-110,146.0,-170.0,-110,-110,-102.0,-118.0,145,-175,-105,-115,-110,-110,140,-165,-110,-110
NBA,2026-01-09 13:39:10,2026-01-09 19:40,Brooklyn Nets,Los Angeles Clippers,No,2461.0,Yes,-108.22,-111.56,159.56,-190.56,-109.25,-110.0,East,Atlantic,West,Pacific,-106,-114,164,-196,-110,-110,-110,-110,155,-192,-110,-110,-108,-112,160,-192,-108,-112,-106,-106,162,-185,-104,-110,-110,-110,161,-185,-107,-113,-109,-117,155,-195,,,-110,-110,159.0,-185.0,-110,-110,-110.0,-110.0,155,-190,-110,-110,-105,-115,165,-195,-115,-105
NBA,2026-01-09 13:39:10,2026-01-09 20:10,Memphis Grizzlies,Oklahoma City Thunder,No,422.4,Yes,-109.67,-110.0,169.78,-203.22,-109.25,-110.0,West,Southwest,West,Northwest,-114,-106,166,-198,-108,-112,-110,-110,168,-208,-110,-110,-108,-112,180,-218,-108,-112,-108,-104,175,-200,-110,-104,-112,-108,174,-200,-113,-107,-110,-115,160,-200,,,-110,-110,170.0,-200.0,-110,-110,-110.0,-110.0,170,-210,-105,-115,-105,-115,165,-195,-110,-110
NBA,2026-01-09 13:39:10,2026-01-09 21:10,Denver Nuggets,Atlanta Hawks,No,1212.6,Yes,-62.22,-113.0,-114.12,-105.88,-110.5,-108.75,West,Northwest,East,Southeast,-106,-114,-110,-108,-114,-106,-110,-110,-112,-109,-110,-110,102,-122,-115,-105,-108,-112,-101,-111,-113,-103,-107,-107,-105,-115,-115,-105,-110,-110,-115,-110,-120,-105,,,-110,-110,,,-110,-110,100.0,-120.0,-118,-102,-110,-110,-115,-105,-110,-110,-115,-105
NBA,2026-01-09 13:39:10,2026-01-09 21:10,Phoenix Suns,New York Knicks,No,2145.0,Yes,-109.89,-109.89,-58.33,-116.89,-108.5,-110.75,West,Pacific,East,Atlantic,-106,-114,104,-122,-106,-114,-110,-110,-106,-115,-110,-110,-105,-115,102,-122,-105,-115,-106,-106,-103,-113,-107,-107,-110,-110,-105,-115,-110,-110,-112,-114,-105,-120,,,-110,-110,-105.0,-115.0,-110,-110,-115.0,-105.0,-102,-115,-110,-110,-115,-105,-105,-115,-110,-110
NBA,2026-01-09 13:39:10,2026-01-09 22:10,Golden State Warriors,Sacramento Kings,Yes,74.0,Yes,-110.44,-109.22,-773.11,529.56,-110.75,-108.5,West,Pacific,West,Pacific,-106,-114,-820,570,-114,-106,-110,-110,-769,502,-110,-110,-110,-110,-750,525,-110,-110,-111,-101,-699,523,-107,-107,-115,-105,-710,511,-110,-110,-112,-113,-1000,600,,,-110,-110,-710.0,510.0,-110,-110,-110.0,-110.0,-800,550,-115,-105,-110,-110,-700,475,-110,-110
NBA,2026-01-09 13:39:10,2026-01-09 22:10,Portland Trail Blazers,Houston Rockets,No,1836.0,Yes,-108.89,-110.78,203.44,-250.22,-108.62,-110.62,West,Northwest,West,Southwest,-108,-112,205,-255,-112,-108,-110,-110,201,-256,-110,-110,-110,-110,210,-258,-105,-115,-104,-108,202,-238,-107,-107,-108,-112,200,-240,-110,-110,-115,-110,200,-265,,,-110,-110,203.0,-240.0,-110,-110,-110.0,-110.0,200,-250,-105,-115,-105,-115,210,-250,-110,-110
NBA,2026-01-09 13:39:10,2026-01-09 22:40,Los Angeles Lakers,Milwaukee Bucks,No,1745.7,Yes,-109.88,-109.75,-159.67,134.89,-110.12,-109.12,West,Pacific,East,Central,-110,-110,-158,134,-112,-108,-110,-110,-159,129,-110,-110,-105,-115,-162,136,-112,-108,-110,-102,-158,139,-107,-107,-114,-106,-158,138,-110,-110,-110,-115,-162,130,,,-110,-110,-160.0,138.0,-110,-110,,,-160,135,-110,-110,-110,-110,-160,135,-110,-110
