League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-11 07:56:25,2025-12-11 20:10,Milwaukee Bucks,Boston Celtics,No,857.9,Yes,-86.33,-111.22,307.11,-393.89,-108.67,-111.33,East,Central,East,Atlantic,-110,-110,315,-400,-110,-110,-102,-118,310,-395,-108,-112,-114.0,-112.0,285.0,-385.0,-113.0,-112.0,-110.0,-110.0,302.0,-400.0,-110.0,-110.0,100.0,-120.0,310.0,-400.0,-110.0,-110.0,-106.0,-106.0,321.0,-395.0,-102.0,-113.0,-110.0,-110.0,316.0,-400.0,-105.0,-115.0,-115.0,-105.0,285.0,-370.0,-110.0,-110.0,-110.0,-110.0,320.0,-400.0,-110.0,-110.0
NBA,2025-12-11 07:56:25,2025-12-11 20:10,Houston Rockets,Los Angeles Clippers,No,1378.7,Yes,-109.67,-110.11,-406.67,315.0,-109.11,-110.89,West,Southwest,West,Pacific,-106,-114,-390,310,-110,-110,-108,-112,-425,330,-108,-112,-117.0,-109.0,-385.0,290.0,-112.0,-114.0,-110.0,-110.0,-400.0,297.0,-110.0,-110.0,-110.0,-110.0,-425.0,325.0,-105.0,-115.0,-106.0,-106.0,-405.0,329.0,-107.0,-107.0,-110.0,-110.0,-410.0,324.0,-110.0,-110.0,-110.0,-110.0,-410.0,305.0,-110.0,-110.0,-110.0,-110.0,-410.0,325.0,-110.0,-110.0
NBA,2025-12-11 07:56:25,2025-12-11 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-110.44,-109.33,154.22,-183.67,-111.44,-108.78,West,Southwest,West,Northwest,-112,-108,154,-184,-118,-104,-112,-108,154,-185,-110,-110,-114.0,-112.0,145.0,-182.0,-113.0,-113.0,-110.0,-110.0,150.0,-187.0,-110.0,-110.0,-110.0,-110.0,155.0,-190.0,-115.0,-105.0,-106.0,-106.0,158.0,-180.0,-107.0,-107.0,-110.0,-110.0,157.0,-180.0,-110.0,-110.0,-110.0,-110.0,160.0,-185.0,-110.0,-110.0,-110.0,-110.0,155.0,-180.0,-110.0,-110.0
NBA,2025-12-11 07:56:25,2025-12-11 22:10,Sacramento Kings,Denver Nuggets,No,888.1,Yes,-63.89,-111.44,346.11,-451.78,-109.22,-110.78,West,Pacific,West,Northwest,-112,-108,330,-420,-108,-112,100,-120,370,-485,-105,-115,-117.0,-109.0,335.0,-455.0,-113.0,-113.0,-110.0,-110.0,348.0,-476.0,-110.0,-110.0,100.0,-120.0,360.0,-475.0,-110.0,-110.0,-106.0,-106.0,364.0,-455.0,-107.0,-107.0,-110.0,-110.0,358.0,-460.0,-110.0,-110.0,-110.0,-110.0,290.0,-380.0,-110.0,-110.0,-110.0,-110.0,360.0,-460.0,-110.0,-110.0
NBA,2025-12-11 07:56:25,2025-12-12 19:10,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,-111.67,-110.0,-245.0,197.67,-111.33,-110.67,East,Central,East,Southeast,-110,-110,-240,198,-112,-108,-110,-110,-245,200,-110,-110,-115.0,-110.0,-250.0,195.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 07:56:25,2025-12-12 19:10,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-111.67,-110.33,-119.0,31.67,-111.67,-110.33,East,Southeast,East,Central,-112,-108,-120,102,-112,-108,-110,-110,-120,100,-110,-110,-113.0,-113.0,-117.0,-107.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 07:56:25,2025-12-12 19:10,Washington Wizards,Cleveland Cavaliers,No,305.1,Yes,-112.67,-108.67,546.67,-818.33,-108.33,-113.67,East,Southeast,East,Central,-114,-106,540,-770,-108,-112,-110,-110,575,-850,-105,-115,-114.0,-110.0,525.0,-835.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 07:56:25,2025-12-12 19:10,Philadelphia 76ers,Indiana Pacers,No,583.9,Yes,-109.0,-113.0,-230.0,186.67,-110.67,-111.33,East,Atlantic,East,Central,-110,-110,-230,190,-110,-110,-105,-115,-225,185,-110,-110,-112.0,-114.0,-235.0,185.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 07:56:25,2025-12-12 20:10,Memphis Grizzlies,Utah Jazz,No,1251.0,Yes,-111.0,-111.0,-252.67,203.33,-112.33,-109.67,West,Southwest,West,Northwest,-114,-106,-255,210,-114,-106,-110,-110,-238,195,-110,-110,-109.0,-117.0,-265.0,205.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 07:56:25,2025-12-12 20:40,Dallas Mavericks,Brooklyn Nets,No,1374.0,Yes,-110.67,-111.0,-286.67,228.33,-110.0,-112.0,West,Southwest,East,Atlantic,-112,-108,-260,215,-108,-112,-110,-110,-285,230,-110,-110,-110.0,-115.0,-315.0,240.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
