League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-14 01:36:48,2025-11-14 19:10,Orlando Magic,Brooklyn Nets,No,936.6,Yes,-108.78,-111.0,-872.33,577.56,-110.0,-109.89,East,Southeast,East,Atlantic,-112.0,-108.0,-750.0,530.0,-114.0,-106.0,-110.0,-110.0,-950.0,625.0,-112.0,-108.0,-112,-114,-835,525,-112,-113,-110.0,-110.0,-833.0,524.0,-110.0,-110.0,-103.0,-109.0,-883.0,631.0,-107.0,-107.0,-107.0,-113.0,-900.0,613.0,-110.0,-110.0,-110.0,-110.0,-1000.0,625.0,-110.0,-110.0,-110.0,-110.0,-800.0,525.0,-105.0,-115.0,-105.0,-115.0,-900.0,600.0,-110.0,-110.0
NBA,2025-11-14 01:36:48,2025-11-14 19:10,New York Knicks,Miami Heat,No,1091.4,Yes,-109.25,-110.38,-218.0,180.0,-109.75,-85.25,East,Atlantic,East,Southeast,-110.0,-110.0,-215.0,180.0,-105.0,-115.0,-110.0,-110.0,-218.0,180.0,-110.0,-110.0,-113,-112,-235,185,-112,-114,-110.0,-110.0,-217.0,173.0,-110.0,-110.0,-106.0,-106.0,-209.0,182.0,-104.0,-110.0,-110.0,-110.0,-210.0,180.0,-107.0,-113.0,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-105.0,-115.0,-220.0,180.0,-120.0,100.0,,,,,,
NBA,2025-11-14 01:36:48,2025-11-14 19:40,Detroit Pistons,Philadelphia 76ers,No,444.3,Yes,-111.56,-108.22,-216.56,180.0,-111.67,-108.44,East,Central,East,Atlantic,-110.0,-110.0,-215.0,180.0,-110.0,-110.0,-110.0,-110.0,-218.0,180.0,-115.0,-105.0,-113,-113,-215,170,-112,-114,-110.0,-110.0,-227.0,183.0,-110.0,-110.0,-111.0,-101.0,-209.0,182.0,-113.0,-102.0,-115.0,-105.0,-210.0,180.0,-115.0,-105.0,-110.0,-110.0,-225.0,185.0,-105.0,-115.0,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-115.0,-105.0,-210.0,180.0,-115.0,-105.0
NBA,2025-11-14 01:36:48,2025-11-14 20:10,Milwaukee Bucks,Charlotte Hornets,No,659.4,Yes,-111.78,-107.89,-416.22,320.33,-108.89,-111.22,East,Central,East,Southeast,-110.0,-110.0,-370.0,295.0,-114.0,-106.0,-115.0,-105.0,-410.0,320.0,-110.0,-110.0,-110,-115,-435,320,-114,-112,-110.0,-110.0,-476.0,346.0,-110.0,-110.0,-111.0,-101.0,-395.0,321.0,-102.0,-113.0,-115.0,-105.0,-400.0,316.0,-105.0,-115.0,-115.0,-105.0,-450.0,340.0,-115.0,-105.0,-105.0,-115.0,-410.0,305.0,-105.0,-115.0,-115.0,-105.0,-400.0,320.0,-105.0,-115.0
NBA,2025-11-14 01:36:48,2025-11-14 20:10,Houston Rockets,Portland Trail Blazers,No,1836.0,Yes,-86.22,-111.33,-332.67,264.89,-111.22,-86.44,West,Southwest,West,Northwest,-112.0,-108.0,-295.0,240.0,-114.0,-106.0,100.0,-120.0,-340.0,270.0,-105.0,-115.0,-113,-113,-345,260,-115,-110,-110.0,-110.0,-333.0,258.0,-110.0,-110.0,-106.0,-106.0,-331.0,274.0,-107.0,-107.0,-110.0,-110.0,-335.0,270.0,-110.0,-110.0,-105.0,-115.0,-350.0,275.0,-110.0,-110.0,-110.0,-110.0,-330.0,265.0,-120.0,100.0,-110.0,-110.0,-335.0,272.0,-110.0,-110.0
NBA,2025-11-14 01:36:48,2025-11-14 20:10,New Orleans Pelicans,Los Angeles Lakers,No,1673.5,Yes,-112.33,-107.22,365.44,-486.67,-88.22,-109.67,West,Southwest,West,Pacific,-110.0,-110.0,350.0,-450.0,-110.0,-110.0,-115.0,-105.0,370.0,-485.0,-108.0,-112.0,-115,-109,370,-530,-113,-113,-110.0,-110.0,371.0,-526.0,-110.0,-110.0,-111.0,-101.0,367.0,-459.0,-113.0,-102.0,-115.0,-105.0,361.0,-465.0,-115.0,-105.0,-110.0,-110.0,400.0,-550.0,-110.0,-110.0,-110.0,-110.0,335.0,-450.0,100.0,-120.0,-115.0,-105.0,365.0,-465.0,-115.0,-105.0
NBA,2025-11-14 01:36:48,2025-11-14 20:10,Minnesota Timberwolves,Sacramento Kings,No,1514.6,Yes,-111.67,-108.11,-616.22,445.22,-112.44,-107.67,West,Northwest,West,Pacific,-106.0,-114.0,-560.0,420.0,-110.0,-110.0,-115.0,-105.0,-625.0,455.0,-110.0,-110.0,-113,-113,-670,450,-114,-112,-110.0,-110.0,-625.0,425.0,-110.0,-110.0,-111.0,-101.0,-591.0,456.0,-113.0,-102.0,-115.0,-105.0,-600.0,446.0,-115.0,-105.0,-115.0,-105.0,-650.0,475.0,-110.0,-110.0,-105.0,-115.0,-625.0,430.0,-115.0,-105.0,-115.0,-105.0,-600.0,450.0,-115.0,-105.0
NBA,2025-11-14 01:36:48,2025-11-14 20:40,Dallas Mavericks,Los Angeles Clippers,No,1245.2,Yes,-111.0,-108.78,136.89,-162.44,-110.11,-109.89,West,Southwest,West,Pacific,-114.0,-106.0,140.0,-166.0,-110.0,-110.0,-110.0,-110.0,136.0,-162.0,-110.0,-110.0,-114,-112,133,-167,-114,-112,-110.0,-110.0,139.0,-172.0,-110.0,-110.0,-106.0,-106.0,141.0,-160.0,-107.0,-107.0,-110.0,-110.0,140.0,-160.0,-110.0,-110.0,-110.0,-110.0,135.0,-165.0,-110.0,-110.0,-115.0,-105.0,130.0,-150.0,-110.0,-110.0,-110.0,-110.0,138.0,-160.0,-110.0,-110.0
NBA,2025-11-14 01:36:48,2025-11-14 21:40,San Antonio Spurs,Golden State Warriors,No,1490.6,Yes,-113.67,-106.11,-144.33,122.11,-110.0,-110.0,West,Southwest,West,Pacific,-110.0,-110.0,-138.0,118.0,-110.0,-110.0,-115.0,-105.0,-148.0,124.0,-110.0,-110.0,-114,-112,-137,112,-113,-113,-110.0,-110.0,-152.0,123.0,-110.0,-110.0,-111.0,-101.0,-144.0,127.0,-107.0,-107.0,-115.0,-105.0,-145.0,125.0,-110.0,-110.0,-118.0,-102.0,-150.0,125.0,-110.0,-110.0,-115.0,-105.0,-140.0,120.0,-110.0,-110.0,-115.0,-105.0,-145.0,125.0,-110.0,-110.0
NBA,2025-11-14 01:36:48,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
