League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-11 10:30:58,2025-12-11 20:10,Milwaukee Bucks,Boston Celtics,No,857.9,Yes,-110.67,-86.44,309.89,-400.0,-111.44,-108.67,East,Central,East,Atlantic,-110,-110,310,-390,-106,-114,-120,100,310,-395,-112,-108,-110.0,-115.0,295.0,-400.0,-112.0,-114.0,-110.0,-110.0,292.0,-385.0,-110.0,-110.0,-115.0,-102.0,320.0,-425.0,-110.0,-110.0,-106.0,-106.0,321.0,-395.0,-113.0,-102.0,-110.0,-110.0,316.0,-400.0,-115.0,-105.0,-105.0,-115.0,305.0,-410.0,-115.0,-105.0,-110.0,-110.0,320.0,-400.0,-110.0,-110.0
NBA,2025-12-11 10:30:58,2025-12-11 20:10,Houston Rockets,Los Angeles Clippers,No,1378.7,Yes,-110.0,-109.67,-409.11,317.0,-110.78,-109.22,West,Southwest,West,Pacific,-106,-114,-420,330,-110,-110,-108,-112,-410,320,-112,-108,-115.0,-110.0,-385.0,285.0,-113.0,-113.0,-110.0,-110.0,-417.0,315.0,-110.0,-110.0,-110.0,-110.0,-425.0,325.0,-110.0,-110.0,-106.0,-106.0,-405.0,329.0,-107.0,-107.0,-110.0,-110.0,-410.0,324.0,-110.0,-110.0,-115.0,-105.0,-400.0,300.0,-115.0,-105.0,-110.0,-110.0,-410.0,325.0,-110.0,-110.0
NBA,2025-12-11 10:30:58,2025-12-11 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-112.11,-107.44,150.56,-179.33,-111.11,-108.89,West,Southwest,West,Northwest,-112,-108,152,-180,-114,-106,-112,-108,154,-185,-115,-105,-114.0,-110.0,145.0,-182.0,-114.0,-112.0,-110.0,-110.0,152.0,-187.0,-110.0,-110.0,-110.0,-110.0,150.0,-185.0,-110.0,-110.0,-111.0,-101.0,154.0,-175.0,-107.0,-107.0,-115.0,-105.0,153.0,-175.0,-110.0,-110.0,-110.0,-110.0,145.0,-170.0,-110.0,-110.0,-115.0,-105.0,150.0,-175.0,-110.0,-110.0
NBA,2025-12-11 10:30:58,2025-12-11 22:10,Sacramento Kings,Denver Nuggets,No,888.1,Yes,-110.78,-109.0,354.67,-467.89,-109.11,-110.67,West,Pacific,West,Northwest,-110,-110,385,-500,-110,-110,-118,-102,370,-485,-110,-110,-112.0,-114.0,310.0,-435.0,-110.0,-114.0,-110.0,-110.0,343.0,-476.0,-110.0,-110.0,-115.0,-105.0,360.0,-475.0,-110.0,-110.0,-104.0,-108.0,360.0,-450.0,-107.0,-107.0,-108.0,-112.0,354.0,-455.0,-110.0,-110.0,-110.0,-110.0,350.0,-480.0,-105.0,-115.0,-110.0,-110.0,360.0,-455.0,-110.0,-110.0
NBA,2025-12-11 10:30:58,2025-12-12 19:10,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,-111.67,-110.0,-246.67,199.33,-111.33,-110.67,East,Central,East,Southeast,-110,-110,-240,198,-112,-108,-110,-110,-250,205,-110,-110,-115.0,-110.0,-250.0,195.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 10:30:58,2025-12-12 19:10,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-111.0,-111.0,-105.67,-115.0,-111.33,-110.67,East,Southeast,East,Central,-110,-110,-102,-116,-112,-108,-110,-110,-108,-112,-110,-110,-113.0,-113.0,-107.0,-117.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 10:30:58,2025-12-12 19:10,Washington Wizards,Cleveland Cavaliers,No,305.1,Yes,-112.67,-108.67,555.0,-835.0,-110.0,-112.0,East,Southeast,East,Central,-114,-106,540,-770,-108,-112,-110,-110,600,-900,-110,-110,-114.0,-110.0,525.0,-835.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 10:30:58,2025-12-12 19:10,Philadelphia 76ers,Indiana Pacers,No,583.9,Yes,-113.33,-108.67,-241.67,195.0,-109.0,-113.0,East,Atlantic,East,Central,-112,-108,-250,205,-110,-110,-115,-105,-225,185,-105,-115,-113.0,-113.0,-250.0,195.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 10:30:58,2025-12-12 20:10,Memphis Grizzlies,Utah Jazz,No,1251.0,Yes,-111.0,-111.0,-253.33,203.33,-109.67,-112.33,West,Southwest,West,Northwest,-114,-106,-245,200,-106,-114,-110,-110,-250,205,-110,-110,-109.0,-117.0,-265.0,205.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 10:30:58,2025-12-12 20:40,Dallas Mavericks,Brooklyn Nets,No,1374.0,Yes,-110.33,-111.67,-278.67,223.33,-110.0,-112.0,West,Southwest,East,Atlantic,-112,-108,-260,215,-108,-112,-110,-110,-298,240,-110,-110,-109.0,-117.0,-278.0,215.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
