League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-10 13:35:05,2025-11-10 19:00,Detroit Pistons,Washington Wizards,No,396.2,Yes,-112.44,-85.0,-642.44,463.22,-109.22,-110.78,East,Central,East,Southeast,-112.0,-108.0,-650.0,470.0,-112.0,-108.0,-113.0,101.0,-629.0,480.0,-107.0,-107.0,-117.0,-103.0,-640.0,469.0,-110.0,-110.0,-110.0,-110.0,-673.0,460.0,-110.0,-110.0,-115.0,-105.0,-650.0,475.0,-105.0,-115.0,-110.0,-110.0,-650.0,480.0,-106.0,-114.0,-110,-115,-590,410,-113,-113,-115.0,-105.0,-650.0,450.0,-110.0,-110.0,-110.0,-110.0,-650.0,475.0,-110.0,-110.0
NBA,2025-11-10 13:35:05,2025-11-10 19:10,Charlotte Hornets,Los Angeles Lakers,No,2121.4,Yes,-108.56,-111.22,282.22,-359.33,-111.33,-108.78,East,Southeast,West,Pacific,-108.0,-112.0,280.0,-355.0,-112.0,-108.0,-101.0,-111.0,282.0,-342.0,-113.0,-102.0,-105.0,-115.0,278.0,-345.0,-115.0,-105.0,-110.0,-110.0,275.0,-357.0,-110.0,-110.0,-115.0,-105.0,290.0,-375.0,-110.0,-110.0,-106.0,-114.0,300.0,-375.0,-110.0,-110.0,-117,-109,275,-375,-112,-114,-105.0,-115.0,280.0,-360.0,-110.0,-110.0,-110.0,-110.0,280.0,-350.0,-110.0,-110.0
NBA,2025-11-10 13:35:05,2025-11-10 19:10,Orlando Magic,Portland Trail Blazers,No,2528.5,Yes,-84.67,-112.89,-128.89,108.0,-112.78,-85.11,East,Southeast,West,Northwest,-102.0,-118.0,-130.0,110.0,-120.0,100.0,102.0,-114.0,-128.0,112.0,-113.0,-102.0,-102.0,-118.0,-130.0,110.0,-115.0,-105.0,-110.0,-110.0,-128.0,105.0,-110.0,-110.0,-105.0,-115.0,-130.0,105.0,-115.0,-105.0,-108.0,-112.0,-130.0,110.0,-110.0,-110.0,-112,-114,-129,105,-112,-114,-115.0,-105.0,-130.0,110.0,-110.0,-110.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0
NBA,2025-11-10 13:35:05,2025-11-10 19:30,Miami Heat,Cleveland Cavaliers,No,1086.5,Yes,-108.44,-111.33,237.67,-294.44,-109.33,-110.44,East,Southeast,East,Central,-105.0,-115.0,240.0,-298.0,-108.0,-112.0,-101.0,-111.0,241.0,-287.0,-105.0,-109.0,-105.0,-115.0,237.0,-290.0,-108.0,-112.0,-110.0,-110.0,246.0,-315.0,-110.0,-110.0,-110.0,-110.0,230.0,-285.0,-110.0,-110.0,-108.0,-112.0,235.0,-290.0,-108.0,-112.0,-117,-109,230,-305,-110,-114,-110.0,-110.0,240.0,-290.0,-115.0,-105.0,-110.0,-110.0,240.0,-290.0,-110.0,-110.0
NBA,2025-11-10 13:35:05,2025-11-10 20:10,Chicago Bulls,San Antonio Spurs,No,1048.8,Yes,-111.67,-108.0,147.56,-175.89,-110.11,-109.89,East,Central,West,Southwest,-115.0,-105.0,145.0,-175.0,-110.0,-110.0,-108.0,-104.0,150.0,-170.0,-109.0,-105.0,-112.0,-108.0,149.0,-170.0,-112.0,-108.0,-110.0,-110.0,150.0,-185.0,-110.0,-110.0,-115.0,-105.0,150.0,-185.0,-105.0,-115.0,-110.0,-110.0,150.0,-178.0,-106.0,-114.0,-115,-110,143,-180,-114,-112,-110.0,-110.0,145.0,-170.0,-115.0,-105.0,-110.0,-110.0,146.0,-170.0,-110.0,-110.0
NBA,2025-11-10 13:35:05,2025-11-10 20:30,Dallas Mavericks,Milwaukee Bucks,No,856.9,Yes,-109.22,-110.56,118.44,-140.33,-109.67,-110.33,West,Southwest,East,Central,-105.0,-115.0,120.0,-142.0,-108.0,-112.0,-106.0,-106.0,122.0,-138.0,-107.0,-107.0,-110.0,-110.0,120.0,-140.0,-105.0,-115.0,-110.0,-110.0,118.0,-144.0,-110.0,-110.0,-105.0,-115.0,120.0,-145.0,-110.0,-110.0,-110.0,-110.0,120.0,-142.0,-114.0,-106.0,-112,-114,106,-132,-113,-113,-115.0,-105.0,120.0,-140.0,-110.0,-110.0,-110.0,-110.0,120.0,-140.0,-110.0,-110.0
NBA,2025-11-10 13:35:05,2025-11-10 21:00,Utah Jazz,Minnesota Timberwolves,Yes,986.7,Yes,-110.44,-109.22,247.67,-306.89,-108.33,-111.78,West,Northwest,West,Northwest,-112.0,-108.0,245.0,-305.0,-108.0,-112.0,-108.0,-104.0,256.0,-307.0,-102.0,-113.0,-112.0,-108.0,252.0,-310.0,-105.0,-115.0,-110.0,-110.0,251.0,-325.0,-110.0,-110.0,-110.0,-110.0,240.0,-300.0,-110.0,-110.0,-112.0,-108.0,245.0,-300.0,-108.0,-112.0,-115,-110,240,-315,-112,-114,-105.0,-115.0,250.0,-300.0,-110.0,-110.0,-110.0,-110.0,250.0,-300.0,-110.0,-110.0
NBA,2025-11-10 13:35:05,2025-11-10 21:10,Phoenix Suns,New Orleans Pelicans,No,1315.0,Yes,-110.11,-109.67,-357.67,281.44,-110.33,-109.78,West,Pacific,West,Southwest,-112.0,-108.0,-360.0,285.0,-115.0,-105.0,-108.0,-104.0,-345.0,285.0,-102.0,-113.0,-112.0,-108.0,-350.0,280.0,-105.0,-115.0,-110.0,-110.0,-374.0,283.0,-110.0,-110.0,-110.0,-110.0,-350.0,275.0,-115.0,-105.0,-112.0,-108.0,-375.0,300.0,-112.0,-108.0,-112,-114,-345,260,-114,-112,-105.0,-115.0,-370.0,285.0,-110.0,-110.0,-110.0,-110.0,-350.0,280.0,-110.0,-110.0
NBA,2025-11-10 13:35:05,2025-11-10 22:30,Los Angeles Clippers,Atlanta Hawks,No,1943.0,Yes,-110.78,-109.0,-187.89,157.78,-109.22,-110.89,West,Pacific,East,Southeast,-118.0,-102.0,-185.0,154.0,-112.0,-108.0,-106.0,-106.0,-183.0,161.0,-102.0,-113.0,-110.0,-110.0,-183.0,160.0,-105.0,-115.0,-110.0,-110.0,-192.0,155.0,-110.0,-110.0,-118.0,-102.0,-190.0,154.0,-110.0,-110.0,-108.0,-112.0,-188.0,158.0,-110.0,-110.0,-112,-114,-195,155,-114,-112,-105.0,-115.0,-185.0,160.0,-110.0,-110.0,-110.0,-110.0,-190.0,163.0,-110.0,-110.0
NBA,2025-11-10 13:35:05,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,
