League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-11 13:37:30,2025-12-11 20:10,Milwaukee Bucks,Boston Celtics,No,857.9,Yes,-111.33,-108.44,312.56,-402.11,-110.22,-109.78,East,Central,East,Atlantic,-106,-114,300,-375,-106,-114,-118,-102,320,-410,-108,-112,-117,-109,295,-400,-114,-112,-110.0,-110.0,318.0,-424.0,-110.0,-110.0,-115.0,-105.0,310.0,-400.0,-115.0,-105.0,-106.0,-106.0,325.0,-400.0,-108.0,-106.0,-110.0,-110.0,320.0,-405.0,-111.0,-109.0,-110.0,-110.0,300.0,-400.0,-110.0,-110.0,-110.0,-110.0,325.0,-405.0,-110.0,-110.0
NBA,2025-12-11 13:37:30,2025-12-11 20:10,Houston Rockets,Los Angeles Clippers,No,1378.7,Yes,-108.33,-111.33,-413.22,318.56,-110.22,-109.78,West,Southwest,West,Pacific,-106,-114,-420,330,-105,-115,-108,-112,-410,320,-112,-108,-115,-110,-420,300,-113,-113,-110.0,-110.0,-439.0,330.0,-110.0,-110.0,-105.0,-115.0,-425.0,325.0,-110.0,-110.0,-106.0,-106.0,-395.0,321.0,-107.0,-107.0,-110.0,-110.0,-400.0,316.0,-110.0,-110.0,-105.0,-115.0,-410.0,305.0,-115.0,-105.0,-110.0,-110.0,-400.0,320.0,-110.0,-110.0
NBA,2025-12-11 13:37:30,2025-12-11 20:10,New Orleans Pelicans,Portland Trail Blazers,No,2062.1,Yes,-108.56,-111.22,145.11,-172.78,-110.78,-109.22,West,Southwest,West,Northwest,-110,-110,146,-174,-114,-106,-105,-115,145,-175,-112,-108,-114,-112,148,-186,-114,-112,-110.0,-110.0,144.0,-180.0,-110.0,-110.0,-102.0,-118.0,145.0,-175.0,-110.0,-110.0,-106.0,-106.0,146.0,-165.0,-107.0,-107.0,-110.0,-110.0,145.0,-165.0,-110.0,-110.0,-110.0,-110.0,145.0,-170.0,-110.0,-110.0,-110.0,-110.0,142.0,-165.0,-110.0,-110.0
NBA,2025-12-11 13:37:30,2025-12-11 22:10,Sacramento Kings,Denver Nuggets,No,888.1,Yes,-110.67,-109.0,358.78,-473.89,-109.89,-110.11,West,Pacific,West,Northwest,-110,-110,390,-510,-110,-110,-112,-108,370,-485,-110,-110,-113,-112,310,-435,-112,-114,-110.0,-110.0,345.0,-476.0,-110.0,-110.0,-115.0,-105.0,360.0,-475.0,-110.0,-110.0,-106.0,-106.0,370.0,-464.0,-107.0,-107.0,-110.0,-110.0,364.0,-470.0,-110.0,-110.0,-110.0,-110.0,350.0,-480.0,-110.0,-110.0,-110.0,-110.0,370.0,-470.0,-110.0,-110.0
NBA,2025-12-11 13:37:30,2025-12-12 19:10,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,-110.4,-109.2,-223.33,182.0,-109.6,-110.4,East,Central,East,Southeast,-112,-108,-210,176,-112,-108,-102,-118,-250,205,-105,-115,-112,-114,-210,165,-114,-112,,,,,,,,,,,,,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,,,,,,,,,,,,
NBA,2025-12-11 13:37:30,2025-12-12 19:10,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-112.0,-110.0,103.0,-124.0,-112.0,-110.0,East,Southeast,East,Central,-110,-110,100,-118,-112,-108,-112,-108,105,-125,-110,-110,-114,-112,104,-129,-114,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 13:37:30,2025-12-12 19:10,Washington Wizards,Cleveland Cavaliers,No,305.1,Yes,-110.8,-108.4,583.33,-878.33,-109.4,-110.6,East,Southeast,East,Central,-114,-106,610,-900,-110,-110,-110,-110,600,-900,-108,-112,-114,-110,540,-835,-112,-114,,,,,,,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,,,,,,,
NBA,2025-12-11 13:37:30,2025-12-12 19:10,Philadelphia 76ers,Indiana Pacers,No,583.9,Yes,-110.67,-111.0,-273.33,218.33,-111.33,-110.67,East,Atlantic,East,Central,-110,-110,-280,230,-110,-110,-112,-108,-245,200,-110,-110,-110,-115,-295,225,-114,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 13:37:30,2025-12-12 20:10,Memphis Grizzlies,Utah Jazz,No,1251.0,Yes,-108.0,-113.67,-258.33,208.33,-111.0,-111.0,West,Southwest,West,Northwest,-112,-108,-260,215,-110,-110,-102,-118,-250,205,-110,-110,-110,-115,-265,205,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-11 13:37:30,2025-12-12 20:40,Dallas Mavericks,Brooklyn Nets,No,1374.0,Yes,-109.6,-109.8,-282.0,225.0,-109.8,-110.2,West,Southwest,East,Atlantic,-112,-108,-270,220,-110,-110,-105,-115,-298,240,-108,-112,-115,-110,-278,215,-114,-112,,,,,,,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,,,,,,,
