League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-20 08:20:21,2026-05-20 20:40,51176769d0f89d3e39adc8e90922f84d,Oklahoma City Thunder,San Antonio Spurs,No,419.4,Yes,West,Northwest,West,Southwest,-110.44,-109.11,-6.5,6.5,-244.67,200.56,-109.67,-110.0,216.28,-112,-112,-250,195,-113,-110,-115,-105,-250,205,-110,-110,-110,-110,-238,195,-108,-112,-107,-105,-238,202,-109,-105,-110,-110,-250,200,-105,-115,-110,-110,-240,200,-112,-108,-110,-110,-250,210,-110,-110,-110,-110,-246,195,-110,-110,-110.0,-110.0,-240.0,203.0,-110.0,-110.0
NBA,2026-05-20 08:20:21,2026-05-21 20:10,dc45982e3723fb38d8477a1a75395594,New York Knicks,Cleveland Cavaliers,No,404.7,Yes,East,Atlantic,East,Central,-107.12,-112.25,-6.19,6.19,-229.75,188.0,-109.62,-110.0,214.25,-110,-113,-235,185,-110,-113,-106,-114,-220,184,-110,-110,-105,-115,-225,185,-110,-110,-106,-106,-232,198,-107,-107,-105,-115,-235,190,-110,-110,-110,-110,-235,195,-110,-110,-105,-115,-220,180,-110,-110,-110,-110,-236,187,-110,-110,,,,,,
