League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-11-06 20:53:14,2025-11-06 21:00,Phoenix Suns,Los Angeles Clippers,Yes,362.6,Yes,-110.44,-109.33,-144.11,121.67,-111.67,-108.44,West,Pacific,West,Pacific,-110.0,-110.0,-148.0,124.0,-112.0,-108.0,-108.0,-104.0,-141.0,124.0,-113.0,-102.0,-112.0,-108.0,-142.0,122.0,-115.0,-105.0,-110.0,-110.0,-138.0,118.0,-112.0,-108.0,-115.0,-105.0,-145.0,125.0,-110.0,-110.0,-110.0,-110.0,-145.0,119.0,-110.0,-110.0,-110.0,-110.0,-145.0,120.0,-110.0,-110.0,-110.0,-110.0,-145.0,125.0,-110.0,-110.0,-109,-117,-148,118,-113,-113
NBA,2025-11-06 20:53:14,2025-11-07 19:10,Orlando Magic,Boston Celtics,No,1115.0,Yes,-110.11,-109.56,-166.67,138.0,-110.11,-109.89,East,Southeast,East,Atlantic,-110.0,-110.0,-166.0,140.0,-105.0,-115.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-162.0,136.0,-112.0,-108.0,-110.0,-110.0,-170.0,145.0,-110.0,-110.0,-110.0,-110.0,-167.0,135.0,-110.0,-110.0,-110.0,-110.0,-170.0,140.0,-115.0,-105.0,-110.0,-110.0,,,-110.0,-110.0,-115,-110,-165,132,-112,-114
NBA,2025-11-06 20:53:14,2025-11-07 19:10,Washington Wizards,Cleveland Cavaliers,No,305.1,Yes,-108.56,-111.0,536.67,-800.5,-110.67,-109.33,East,Southeast,East,Central,-102.0,-118.0,550.0,-800.0,-115.0,-105.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,570.0,-800.0,-110.0,-110.0,-110.0,-110.0,525.0,-800.0,-110.0,-110.0,-110.0,-110.0,525.0,-833.0,-110.0,-110.0,-110.0,-110.0,550.0,-800.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-109,-115,500,-770,-114,-112
NBA,2025-11-06 20:53:14,2025-11-07 19:40,Atlanta Hawks,Toronto Raptors,No,733.5,Yes,-110.33,-109.44,-115.67,-71.5,-109.89,-110.11,East,Southeast,East,Atlantic,-102.0,-118.0,-115.0,-105.0,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,-110.0,-110.0,-118.0,100.0,-110.0,-110.0,-115.0,-105.0,-115.0,-105.0,-110.0,-110.0,-110.0,-110.0,-119.0,-102.0,-110.0,-110.0,-102.0,-118.0,-115.0,-105.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-118,-108,-112,-112,-112,-114
NBA,2025-11-06 20:53:14,2025-11-07 19:40,Brooklyn Nets,Detroit Pistons,No,484.4,Yes,-109.89,-109.89,356.17,-479.33,-109.44,-110.56,East,Atlantic,East,Central,-110.0,-110.0,350.0,-455.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-114.0,370.0,-480.0,-110.0,-110.0,-110.0,-110.0,370.0,-510.0,-105.0,-115.0,-110.0,-110.0,347.0,-476.0,-110.0,-110.0,-110.0,-110.0,360.0,-475.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-117,-109,340,-480,-113,-113
NBA,2025-11-06 20:53:14,2025-11-07 19:40,San Antonio Spurs,Houston Rockets,Yes,186.5,Yes,-106.89,-112.89,122.33,-146.33,-108.56,-111.33,West,Southwest,West,Southwest,-105.0,-115.0,124.0,-148.0,-105.0,-115.0,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,-108.0,-112.0,124.0,-146.0,-110.0,-110.0,-110.0,-110.0,130.0,-150.0,-110.0,-110.0,-110.0,-110.0,119.0,-145.0,-110.0,-110.0,-105.0,-115.0,125.0,-150.0,-105.0,-115.0,-105.0,-115.0,,,-110.0,-110.0,-113,-113,112,-139,-110,-115
NBA,2025-11-06 20:53:14,2025-11-07 20:10,Miami Heat,Charlotte Hornets,Yes,651.7,Yes,-111.33,-108.44,-204.0,167.83,-110.22,-109.56,East,Southeast,East,Southeast,-118.0,-102.0,-205.0,170.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-205.0,172.0,-110.0,-110.0,-110.0,-110.0,-200.0,170.0,-115.0,-105.0,-110.0,-110.0,-204.0,165.0,-110.0,-110.0,-115.0,-105.0,-210.0,170.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-113,-113,-200,160,-110,-114
NBA,2025-11-06 20:53:14,2025-11-07 20:10,Milwaukee Bucks,Chicago Bulls,Yes,81.3,Yes,-111.56,-108.22,-172.17,142.33,-110.22,-109.56,East,Central,East,Central,-118.0,-102.0,-166.0,140.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-168.0,142.0,-106.0,-114.0,-105.0,-115.0,-170.0,145.0,-115.0,-105.0,-110.0,-110.0,-179.0,144.0,-110.0,-110.0,-118.0,-102.0,-170.0,140.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-117,-109,-180,143,-114,-110
NBA,2025-11-06 20:53:14,2025-11-07 20:10,Memphis Grizzlies,Dallas Mavericks,Yes,420.5,Yes,-110.67,-109.0,-174.0,143.83,-109.22,-110.78,West,Southwest,West,Southwest,-115.0,-105.0,-175.0,145.0,-108.0,-112.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,-186.0,156.0,-110.0,-110.0,-110.0,-110.0,-170.0,145.0,-105.0,-115.0,-110.0,-110.0,-179.0,144.0,-110.0,-110.0,-110.0,-110.0,-175.0,145.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-115,-110,-159,128,-113,-113
NBA,2025-11-06 20:53:14,2025-11-07 20:10,Minnesota Timberwolves,Utah Jazz,Yes,986.7,Yes,-111.22,-108.56,-629.17,444.67,-109.56,-110.44,West,Northwest,West,Northwest,-110.0,-110.0,-625.0,455.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-112.0,-108.0,-560.0,420.0,-106.0,-114.0,-115.0,-105.0,-625.0,430.0,-110.0,-110.0,-110.0,-110.0,-625.0,438.0,-110.0,-110.0,-115.0,-105.0,-625.0,450.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-113,-113,-715,475,-113,-113
