League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-07 01:34:28,2025-12-07 12:10,New York Knicks,Orlando Magic,No,940.3,No,-111.89,-107.89,-163.67,137.78,-112.56,-107.56,East,Atlantic,East,Southeast,-112,-108,-164,138,-114,-106,-110.0,-110.0,-167.0,134.0,-110.0,-110.0,-112,-108,-162,136,-108,-112,-112,-114,-175,138,-113,-113,-111.0,-101.0,-160.0,141.0,-113.0,-102.0,-115.0,-105.0,-160.0,140.0,-115.0,-105.0,-110.0,-110.0,-160.0,135.0,-115.0,-105.0,-110.0,-110.0,-165.0,140.0,-110.0,-110.0,-115.0,-105.0,-160.0,138.0,-115.0,-105.0
NBA,2025-12-07 01:34:28,2025-12-07 15:40,Toronto Raptors,Boston Celtics,Yes,430.3,No,-111.44,-108.33,116.0,-137.67,-111.44,-108.67,East,Atlantic,East,Atlantic,-110,-110,118,-138,-106,-114,-110.0,-110.0,110.0,-135.0,-110.0,-110.0,-115,-105,114,-135,-110,-110,-112,-114,115,-143,-114,-112,-106.0,-106.0,117.0,-133.0,-113.0,-102.0,-110.0,-110.0,115.0,-135.0,-115.0,-105.0,-115.0,-105.0,115.0,-140.0,-110.0,-110.0,-115.0,-105.0,125.0,-145.0,-110.0,-110.0,-110.0,-110.0,115.0,-135.0,-115.0,-105.0
NBA,2025-12-07 01:34:28,2025-12-07 18:10,Charlotte Hornets,Denver Nuggets,No,1359.8,No,-110.56,-109.11,371.56,-490.89,-111.67,-108.33,East,Southeast,West,Northwest,-114,-106,360,-460,-110,-110,-110.0,-110.0,366.0,-500.0,-110.0,-110.0,-115,-105,370,-485,-115,-105,-110,-115,360,-500,-113,-113,-106.0,-106.0,384.0,-483.0,-107.0,-107.0,-110.0,-110.0,377.0,-490.0,-110.0,-110.0,-110.0,-110.0,375.0,-500.0,-115.0,-105.0,-110.0,-110.0,370.0,-510.0,-115.0,-105.0,-110.0,-110.0,382.0,-490.0,-110.0,-110.0
NBA,2025-12-07 01:34:28,2025-12-07 18:10,Memphis Grizzlies,Portland Trail Blazers,No,1849.4,No,-108.33,-111.33,-115.44,-104.56,-108.33,-111.78,West,Southwest,West,Northwest,-110,-110,-116,-102,-110,-110,-110.0,-110.0,-118.0,-104.0,-110.0,-110.0,-105,-115,-115,-105,-110,-110,-113,-112,-118,-106,-113,-113,-104.0,-108.0,-111.0,-105.0,-102.0,-113.0,-108.0,-112.0,-113.0,-107.0,-105.0,-115.0,-105.0,-115.0,-118.0,-102.0,-110.0,-110.0,-110.0,-110.0,-115.0,-105.0,-110.0,-110.0,-110.0,-110.0,-115.0,-105.0,-105.0,-115.0
NBA,2025-12-07 01:34:28,2025-12-07 19:10,Chicago Bulls,Golden State Warriors,No,1855.4,Yes,-111.29,-108.43,-45.71,-117.0,-110.0,-110.0,East,Central,West,Pacific,-110,-110,100,-118,-108,-112,,,,,,,-115,-105,-105,-115,-112,-108,-113,-113,-105,-120,-113,-113,-106.0,-106.0,-103.0,-113.0,-107.0,-107.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-115.0,-105.0,-102.0,-118.0,-110.0,-110.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,,,,,,
NBA,2025-12-07 01:34:28,2025-12-07 19:40,Philadelphia 76ers,Los Angeles Lakers,No,2394.9,Yes,-110.44,-109.22,144.44,-171.22,-110.0,-110.0,East,Atlantic,West,Pacific,-110,-110,138,-164,-110,-110,-110.0,-110.0,142.0,-175.0,-110.0,-110.0,-115,-105,145,-175,-110,-110,-113,-112,135,-167,-113,-113,-106.0,-106.0,150.0,-170.0,-107.0,-107.0,-110.0,-110.0,149.0,-170.0,-110.0,-110.0,-115.0,-105.0,145.0,-175.0,-110.0,-110.0,-105.0,-115.0,150.0,-175.0,-110.0,-110.0,-110.0,-110.0,146.0,-170.0,-110.0,-110.0
NBA,2025-12-07 01:34:28,2025-12-07 20:10,Utah Jazz,Oklahoma City Thunder,Yes,863.6,Yes,-108.56,-111.22,378.56,-509.0,-110.56,-109.44,West,Northwest,West,Northwest,-108,-112,370,-480,-112,-108,-110.0,-110.0,404.0,-588.0,-110.0,-110.0,-105,-115,380,-500,-112,-108,-113,-113,360,-530,-114,-112,-106.0,-106.0,390.0,-493.0,-107.0,-107.0,-110.0,-110.0,383.0,-500.0,-110.0,-110.0,-110.0,-110.0,375.0,-500.0,-110.0,-110.0,-105.0,-115.0,355.0,-490.0,-110.0,-110.0,-110.0,-110.0,390.0,-500.0,-110.0,-110.0
NBA,2025-12-07 01:34:28,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-113.0,-108.67,-216.67,177.0,-109.67,-112.33,East,Southeast,East,Southeast,-114,-106,-210,176,-110,-110,,,,,,,-115,-105,-225,185,-105,-115,-110,-115,-215,170,-114,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-07 01:34:28,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-112.67,-109.33,123.33,-149.33,-110.0,-111.33,East,Atlantic,East,Atlantic,-110,-110,126,-148,-110,-110,,,,,,,-115,-105,124,-148,-110,-110,-113,-113,120,-152,-110,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-07 01:34:28,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-112.67,-109.0,-1216.67,716.67,-110.0,-111.33,West,Northwest,West,Pacific,-110,-110,-1200,750,-110,-110,,,,,,,-115,-105,-1200,750,-110,-110,-113,-112,-1250,650,-110,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
